CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,028;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,028;0,026
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,028;0,094
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,028;0,026
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,028;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,028;0,012
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,028;0,031
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,028;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,028;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,028;0,016
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,056;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,085;0,080
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,028;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,056;0,055
SP00057;SP;4525,000;2909,000;1616,000;2485,000;6,000;0,241;0,169;0,206
SP00058;SP;5387,000;3548,000;1839,000;3095,000;8,000;0,258;0,226;0,225
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,056;0,050
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,056;0,050
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,028;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,028;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,056;0,065
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,028;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;0,085;0,032
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,028;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,028;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,028;0,018
SP00090;SP;5982,000;4272,000;1710,000;3906,000;3,000;0,077;0,085;0,070
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,028;0,021
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,028;0,035
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,028;0,030
