CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,429;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,858;0,033
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,429;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;1,288;0,074
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,429;0,029
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,429;0,021
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,429;0,034
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,429;0,016
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,429;0,021
SP00319;SP;2366,000;1775,000;591,000;1580,000;1,000;0,063;0,429;0,056
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,429;0,033
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,429;0,030
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,429;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,429;0,027
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,429;0,028
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,429;0,058
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,429;0,032
SP00431;SP;4417,000;3122,000;1295,000;2760,000;1,000;0,036;0,429;0,032
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,429;0,025
SP00486;SP;4286,000;3178,000;1108,000;2833,000;1,000;0,035;0,429;0,031
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,429;0,025
SP00586;SP;2592,000;1953,000;639,000;1703,000;1,000;0,059;0,429;0,051
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,429;0,023
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,429;0,041
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,429;0,026
SP00644;SP;5516,000;3931,000;1585,000;3555,000;1,000;0,028;0,429;0,025
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,429;0,031
SP00663;SP;4883,000;3374,000;1509,000;3029,000;1,000;0,033;0,429;0,030
SP00668;SP;5384,000;3806,000;1578,000;3465,000;1,000;0,029;0,429;0,026
SP00679;SP;4304,000;3017,000;1287,000;2683,000;1,000;0,037;0,429;0,033
SP00703;SP;3713,000;2640,000;1073,000;2200,000;2,000;0,091;0,858;0,076
SP00707;SP;6988,000;4980,000;2008,000;4238,000;1,000;0,024;0,429;0,020
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;0,429;0,024
SP00730;SP;5502,000;4153,000;1349,000;3563,000;1,000;0,028;0,429;0,024
SP00733;SP;6587,000;4986,000;1601,000;4131,000;2,000;0,048;0,858;0,040
SP00738;SP;8744,000;6776,000;1968,000;5693,000;3,000;0,053;1,288;0,044
SP00741;SP;4300,000;3373,000;927,000;2832,000;1,000;0,035;0,429;0,030
SP00774;SP;7854,000;5792,000;2062,000;5026,000;6,000;0,119;2,575;0,104
SP00777;SP;5853,000;4038,000;1815,000;3381,000;1,000;0,030;0,429;0,025
SP00788;SP;6979,000;5171,000;1808,000;4203,000;1,000;0,024;0,429;0,019
SP00795;SP;5107,000;3746,000;1361,000;3093,000;1,000;0,032;0,429;0,027
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,429;0,018
SP00861;SP;3884,000;2990,000;894,000;2383,000;1,000;0,042;0,429;0,033
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;0,429;0,031
SP00916;SP;1311,000;995,000;316,000;820,000;1,000;0,122;0,429;0,101
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;0,429;0,025
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,429;0,020
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,429;0,030
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,429;0,012
SP00991;SP;3538,000;2527,000;1011,000;2242,000;1,000;0,045;0,429;0,040
SP01143;SP;3097,000;2339,000;758,000;2010,000;1,000;0,050;0,429;0,043
SP01154;SP;7187,000;5411,000;1776,000;4524,000;1,000;0,022;0,429;0,018
SP01163;SP;4114,000;2788,000;1326,000;2400,000;2,000;0,083;0,858;0,072
SP01167;SP;6259,000;4450,000;1809,000;3620,000;2,000;0,055;0,858;0,045
SP01168;SP;5911,000;4089,000;1822,000;3473,000;1,000;0,029;0,429;0,024
SP01171;SP;6620,000;4759,000;1861,000;3966,000;2,000;0,050;0,858;0,042
SP01178;SP;7018,000;4887,000;2131,000;4032,000;1,000;0,025;0,429;0,020
SP01238;SP;4275,000;3201,000;1074,000;2644,000;1,000;0,038;0,429;0,031
SP01257;SP;3540,000;2731,000;809,000;2179,000;1,000;0,046;0,429;0,037
SP01271;SP;3998,000;2821,000;1177,000;2451,000;1,000;0,041;0,429;0,035
SP01276;SP;5814,000;4245,000;1569,000;3567,000;1,000;0,028;0,429;0,024
SP01281;SP;6196,000;4845,000;1351,000;4089,000;2,000;0,049;0,858;0,041
SP01298;SP;4397,000;3285,000;1112,000;2749,000;1,000;0,036;0,429;0,030
SP01300;SP;3153,000;2400,000;753,000;2048,000;1,000;0,049;0,429;0,042
SP01322;SP;6445,000;4994,000;1451,000;4166,000;1,000;0,024;0,429;0,020
SP01323;SP;6741,000;5078,000;1663,000;4301,000;1,000;0,023;0,429;0,020
SP01329;SP;3596,000;2704,000;892,000;2290,000;1,000;0,044;0,429;0,037
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;0,429;0,013
SP01340;SP;6735,000;5134,000;1601,000;4118,000;1,000;0,024;0,429;0,019
SP01353;SP;3717,000;2767,000;950,000;2349,000;1,000;0,043;0,429;0,036
SP01354;SP;7702,000;5819,000;1883,000;4593,000;1,000;0,022;0,429;0,017
SP01366;SP;6944,000;5099,000;1845,000;4243,000;1,000;0,024;0,429;0,020
SP01370;SP;6243,000;4702,000;1541,000;3926,000;1,000;0,025;0,429;0,021
SP01413;SP;5838,000;4146,000;1692,000;3467,000;1,000;0,029;0,429;0,024
SP01420;SP;3530,000;2622,000;908,000;2168,000;1,000;0,046;0,429;0,038
SP01442;SP;5335,000;4064,000;1271,000;3369,000;1,000;0,030;0,429;0,025
SP01443;SP;6125,000;4668,000;1457,000;3875,000;1,000;0,026;0,429;0,021
SP01466;SP;5214,000;3923,000;1291,000;3163,000;2,000;0,063;0,858;0,051
SP01762;SP;1989,000;1411,000;578,000;1185,000;1,000;0,084;0,429;0,071
SP01832;SP;6225,000;4582,000;1643,000;3756,000;1,000;0,027;0,429;0,022
SP01849;SP;3121,000;2123,000;998,000;1729,000;1,000;0,058;0,429;0,047
SP01858;SP;8697,000;5871,000;2826,000;5026,000;1,000;0,020;0,429;0,017
SP01859;SP;6287,000;4438,000;1849,000;3780,000;4,000;0,106;1,717;0,090
SP01860;SP;6782,000;4893,000;1889,000;4316,000;2,000;0,046;0,858;0,041
SP01861;SP;5487,000;3813,000;1674,000;3319,000;5,000;0,151;2,146;0,131
SP01862;SP;5013,000;3647,000;1366,000;3119,000;6,000;0,192;2,575;0,165
SP01863;SP;5889,000;4259,000;1630,000;3651,000;20,000;0,548;8,584;0,470
SP01864;SP;4267,000;3041,000;1226,000;2596,000;1,000;0,039;0,429;0,033
SP01865;SP;4732,000;3337,000;1395,000;2900,000;7,000;0,241;3,004;0,210
SP01866;SP;4946,000;3465,000;1481,000;3008,000;1,000;0,033;0,429;0,029
SP01868;SP;4200,000;3182,000;1018,000;2758,000;1,000;0,036;0,429;0,031
SP01869;SP;5661,000;4238,000;1423,000;3691,000;4,000;0,108;1,717;0,094
SP01870;SP;4686,000;3652,000;1034,000;3133,000;6,000;0,192;2,575;0,164
SP01871;SP;7738,000;5921,000;1817,000;5048,000;2,000;0,040;0,858;0,034
SP01872;SP;7613,000;5835,000;1778,000;5033,000;4,000;0,079;1,717;0,069
SP01875;SP;5494,000;4292,000;1202,000;3611,000;4,000;0,111;1,717;0,093
SP01877;SP;5858,000;4452,000;1406,000;3755,000;27,000;0,719;11,588;0,606
SP01879;SP;5975,000;4650,000;1325,000;3979,000;1,000;0,025;0,429;0,022
SP01883;SP;5157,000;3842,000;1315,000;3197,000;9,000;0,282;3,863;0,234
SP01884;SP;7365,000;5467,000;1898,000;4519,000;21,000;0,465;9,013;0,384
SP01886;SP;1564,000;1211,000;353,000;1003,000;1,000;0,100;0,429;0,083
SP01918;SP;5928,000;4224,000;1704,000;3607,000;1,000;0,028;0,429;0,024
SP01921;SP;5497,000;3880,000;1617,000;3373,000;1,000;0,030;0,429;0,026
SP01922;SP;4328,000;3109,000;1219,000;2674,000;2,000;0,075;0,858;0,064
