CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,250;0,024
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,250;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,250;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,250;0,025
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,250;0,023
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,500;0,041
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,250;0,020
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,250;0,030
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,250;0,029
SP00726;SP;4468,000;3025,000;1443,000;2675,000;1,000;0,037;0,250;0,033
SP00727;SP;5267,000;3869,000;1398,000;3416,000;1,000;0,029;0,250;0,026
SP00728;SP;4919,000;3629,000;1290,000;3093,000;1,000;0,032;0,250;0,028
SP00734;SP;3871,000;2912,000;959,000;2509,000;1,000;0,040;0,250;0,034
SP00737;SP;6265,000;4846,000;1419,000;4149,000;5,000;0,121;1,250;0,103
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,250;0,015
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,250;0,033
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,250;0,026
SP00751;SP;1977,000;1546,000;431,000;1291,000;1,000;0,077;0,250;0,065
SP00755;SP;2817,000;2116,000;701,000;1822,000;2,000;0,110;0,500;0,095
SP00756;SP;3235,000;2278,000;957,000;1971,000;1,000;0,051;0,250;0,044
SP00757;SP;3284,000;2523,000;761,000;2167,000;5,000;0,231;1,250;0,198
SP00759;SP;3490,000;2694,000;796,000;2242,000;2,000;0,089;0,500;0,074
SP00760;SP;6093,000;4322,000;1771,000;3614,000;5,000;0,138;1,250;0,116
SP00762;SP;4199,000;3275,000;924,000;2719,000;4,000;0,147;1,000;0,122
SP00763;SP;2894,000;2276,000;618,000;1887,000;9,000;0,477;2,250;0,395
SP00778;SP;7392,000;5180,000;2212,000;4241,000;1,000;0,024;0,250;0,019
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;0,250;0,032
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;0,250;0,020
SP00980;SP;4362,000;2972,000;1390,000;2771,000;1,000;0,036;0,250;0,034
SP01170;SP;7817,000;5560,000;2257,000;4585,000;1,000;0,022;0,250;0,018
SP01179;SP;3692,000;2867,000;825,000;2431,000;1,000;0,041;0,250;0,035
SP01207;SP;4349,000;3294,000;1055,000;2669,000;1,000;0,037;0,250;0,030
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,250;0,019
SP01212;SP;7434,000;5663,000;1771,000;4627,000;1,000;0,022;0,250;0,018
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;0,250;0,020
SP01223;SP;3886,000;2757,000;1129,000;2228,000;1,000;0,045;0,250;0,036
SP01273;SP;6832,000;4837,000;1995,000;4051,000;2,000;0,049;0,500;0,041
SP01275;SP;8215,000;5845,000;2370,000;4919,000;3,000;0,061;0,750;0,051
SP01277;SP;5451,000;4180,000;1271,000;3551,000;2,000;0,056;0,500;0,048
SP01279;SP;7160,000;5349,000;1811,000;4413,000;1,000;0,023;0,250;0,019
SP01285;SP;4343,000;3311,000;1032,000;2805,000;2,000;0,071;0,500;0,060
SP01287;SP;4630,000;3599,000;1031,000;3061,000;2,000;0,065;0,500;0,056
SP01288;SP;3628,000;2787,000;841,000;2393,000;1,000;0,042;0,250;0,036
SP01290;SP;5911,000;4545,000;1366,000;3870,000;3,000;0,078;0,750;0,066
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;0,250;0,024
SP01303;SP;4518,000;3486,000;1032,000;2977,000;2,000;0,067;0,500;0,057
