CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,926;0,024
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,926;0,023
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,926;0,033
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,926;0,037
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,926;0,014
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,926;0,012
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,926;0,026
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,926;0,015
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,926;0,018
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,926;0,018
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,926;0,180
SP00189;SP;5717,000;3833,000;1884,000;3381,000;2,000;0,059;1,852;0,052
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,926;0,030
SP00197;SP;4829,000;3340,000;1489,000;3099,000;2,000;0,065;1,852;0,060
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;1,852;0,030
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,926;0,044
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,926;0,078
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,926;0,029
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,926;0,024
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,926;0,067
SP00294;SP;5157,000;3659,000;1498,000;3309,000;1,000;0,030;0,926;0,027
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,926;0,030
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,926;0,044
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,926;0,035
SP00381;SP;4728,000;3340,000;1388,000;3119,000;1,000;0,032;0,926;0,030
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,926;0,032
SP00462;SP;5168,000;3650,000;1518,000;3226,000;1,000;0,031;0,926;0,027
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,926;0,018
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,926;0,026
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,926;0,028
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;0,926;0,023
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,926;0,024
SP00578;SP;2949,000;2238,000;711,000;2000,000;1,000;0,050;0,926;0,045
SP00585;SP;4746,000;3318,000;1428,000;2911,000;1,000;0,034;0,926;0,030
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,926;0,026
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,926;0,023
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,926;0,025
SP00636;SP;7155,000;4893,000;2262,000;4473,000;2,000;0,045;1,852;0,041
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,926;0,016
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,926;0,033
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,926;0,032
SP00670;SP;5766,000;4219,000;1547,000;3799,000;1,000;0,026;0,926;0,024
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,926;0,025
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,926;0,016
SP00728;SP;4919,000;3629,000;1290,000;3093,000;1,000;0,032;0,926;0,028
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,926;0,052
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,926;0,018
SP00818;SP;4699,000;3648,000;1051,000;3126,000;1,000;0,032;0,926;0,027
SP00854;SP;6049,000;4219,000;1830,000;3570,000;1,000;0,028;0,926;0,024
SP00864;SP;2151,000;1674,000;477,000;1405,000;1,000;0,071;0,926;0,060
SP00907;SP;3598,000;2756,000;842,000;2283,000;1,000;0,044;0,926;0,036
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,926;0,019
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,926;0,012
SP00965;SP;6230,000;4373,000;1857,000;3908,000;4,000;0,102;3,704;0,091
SP01025;SP;3899,000;2743,000;1156,000;2367,000;1,000;0,042;0,926;0,036
SP01037;SP;5057,000;3801,000;1256,000;3294,000;1,000;0,030;0,926;0,026
SP01045;SP;4702,000;3558,000;1144,000;2953,000;1,000;0,034;0,926;0,028
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;0,926;0,020
SP01058;SP;5074,000;3597,000;1477,000;3098,000;1,000;0,032;0,926;0,028
SP01060;SP;5345,000;3929,000;1416,000;3417,000;1,000;0,029;0,926;0,025
SP01085;SP;3957,000;3131,000;826,000;2527,000;1,000;0,040;0,926;0,032
