CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,118;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,118;0,037
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,237;0,045
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,118;0,036
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,118;0,031
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,118;0,027
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,118;0,027
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,118;0,024
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,118;0,055
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,118;0,108
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,118;0,074
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,118;0,035
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,118;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,118;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,118;0,036
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,118;0,021
SP00160;SP;7072,000;5254,000;1818,000;4369,000;3,000;0,069;0,355;0,057
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,118;0,031
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,118;0,028
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,118;0,030
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,118;0,021
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,118;0,022
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,118;0,035
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,237;0,055
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,118;0,033
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,118;0,032
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,118;0,026
SP00301;SP;3036,000;2157,000;879,000;1924,000;3,000;0,156;0,355;0,139
SP00303;SP;3512,000;2379,000;1133,000;2163,000;1,000;0,046;0,118;0,042
SP00306;SP;5275,000;3647,000;1628,000;3252,000;2,000;0,062;0,237;0,055
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,118;0,031
SP00312;SP;3428,000;2474,000;954,000;2235,000;1,000;0,045;0,118;0,040
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,118;0,023
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,118;0,037
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,118;0,044
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,118;0,043
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,118;0,036
SP00404;SP;5256,000;3768,000;1488,000;3185,000;2,000;0,063;0,237;0,053
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,118;0,031
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,118;0,031
SP00478;SP;3496,000;2495,000;1001,000;2209,000;3,000;0,136;0,355;0,120
SP00482;SP;6633,000;4865,000;1768,000;4345,000;2,000;0,046;0,237;0,041
SP00483;SP;2523,000;1867,000;656,000;1612,000;1,000;0,062;0,118;0,054
SP00485;SP;1466,000;1071,000;395,000;957,000;1,000;0,104;0,118;0,093
SP00500;SP;6586,000;4736,000;1850,000;4014,000;4,000;0,100;0,474;0,084
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,118;0,020
SP00503;SP;6619,000;4634,000;1985,000;4034,000;3,000;0,074;0,355;0,065
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,118;0,014
SP00511;SP;6942,000;4878,000;2064,000;4132,000;2,000;0,048;0,237;0,041
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,118;0,019
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;0,118;0,025
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,118;0,038
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,118;0,024
SP00520;SP;3065,000;2185,000;880,000;1832,000;2,000;0,109;0,237;0,092
SP00524;SP;2811,000;2096,000;715,000;1775,000;1,000;0,056;0,118;0,048
SP00525;SP;5945,000;4545,000;1400,000;3796,000;1,000;0,026;0,118;0,022
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,118;0,052
SP00535;SP;4936,000;3367,000;1569,000;2995,000;10,000;0,334;1,185;0,297
SP00536;SP;6329,000;4580,000;1749,000;3965,000;4,000;0,101;0,474;0,087
SP00538;SP;5278,000;3612,000;1666,000;3064,000;4,000;0,131;0,474;0,111
SP00539;SP;5948,000;4112,000;1836,000;3697,000;3,000;0,081;0,355;0,073
SP00540;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,118;0,048
SP00541;SP;3175,000;2092,000;1083,000;1863,000;1,000;0,054;0,118;0,048
SP00542;SP;4842,000;3391,000;1451,000;2867,000;30,000;1,046;3,555;0,885
SP00543;SP;8077,000;5459,000;2618,000;4653,000;26,000;0,559;3,081;0,476
SP00544;SP;5536,000;3707,000;1829,000;3265,000;20,000;0,613;2,370;0,540
SP00545;SP;7097,000;4864,000;2233,000;4172,000;18,000;0,431;2,133;0,370
SP00546;SP;4580,000;3085,000;1495,000;2705,000;6,000;0,222;0,711;0,194
SP00547;SP;3238,000;2322,000;916,000;2051,000;4,000;0,195;0,474;0,172
SP00548;SP;4404,000;2954,000;1450,000;2590,000;3,000;0,116;0,355;0,102
SP00549;SP;5928,000;4010,000;1918,000;3526,000;6,000;0,170;0,711;0,150
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,118;0,029
SP00551;SP;4597,000;3270,000;1327,000;2815,000;11,000;0,391;1,303;0,336
SP00552;SP;5887,000;3978,000;1909,000;3352,000;16,000;0,477;1,896;0,402
SP00553;SP;4676,000;3124,000;1552,000;2659,000;73,000;2,745;8,649;2,337
SP00554;SP;5499,000;4102,000;1397,000;3446,000;15,000;0,435;1,777;0,366
SP00555;SP;3492,000;2514,000;978,000;2184,000;7,000;0,321;0,829;0,278
SP00556;SP;1967,000;1498,000;469,000;1290,000;4,000;0,310;0,474;0,267
SP00557;SP;5966,000;4380,000;1586,000;3694,000;24,000;0,650;2,844;0,548
SP00558;SP;5547,000;4114,000;1433,000;3404,000;18,000;0,529;2,133;0,438
SP00559;SP;6869,000;5121,000;1748,000;4262,000;18,000;0,422;2,133;0,351
SP00560;SP;4755,000;3443,000;1312,000;2876,000;12,000;0,417;1,422;0,349
SP00561;SP;4720,000;3508,000;1212,000;2955,000;15,000;0,508;1,777;0,428
SP00562;SP;3269,000;2452,000;817,000;2120,000;3,000;0,142;0,355;0,122
SP00563;SP;3945,000;2921,000;1024,000;2409,000;27,000;1,121;3,199;0,924
SP00564;SP;6019,000;4389,000;1630,000;3561,000;86,000;2,415;10,190;1,959
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,118;0,042
SP00566;SP;3965,000;2993,000;972,000;2499,000;38,000;1,521;4,502;1,270
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;0,118;0,035
SP00568;SP;4355,000;3188,000;1167,000;2856,000;2,000;0,070;0,237;0,063
SP00569;SP;2316,000;1676,000;640,000;1426,000;7,000;0,491;0,829;0,418
SP00570;SP;1547,000;1176,000;371,000;988,000;8,000;0,810;0,948;0,680
