CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;1,316;0,026
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;1,316;0,030
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;1,316;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;1,316;0,019
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;1,316;0,108
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;1,316;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;1,316;0,010
SP00087;SP;7025,000;4901,000;2124,000;4319,000;4,000;0,093;5,263;0,082
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;1,316;0,015
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;1,316;0,015
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;1,316;0,025
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;1,316;0,021
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;1,316;0,021
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;1,316;0,021
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;1,316;0,035
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;1,316;0,024
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;1,316;0,017
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;1,316;0,033
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;1,316;0,022
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;1,316;0,021
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;1,316;0,025
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;1,316;0,041
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;1,316;0,027
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;1,316;0,023
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;1,316;0,023
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;1,316;0,026
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;1,316;0,026
SP00693;SP;4634,000;3251,000;1383,000;2869,000;1,000;0,035;1,316;0,031
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;1,316;0,044
SP00730;SP;5502,000;4153,000;1349,000;3563,000;1,000;0,028;1,316;0,024
SP00982;SP;5546,000;3870,000;1676,000;3467,000;1,000;0,029;1,316;0,026
SP01005;SP;5082,000;3418,000;1664,000;3092,000;2,000;0,065;2,632;0,059
SP01006;SP;5115,000;3831,000;1284,000;3413,000;1,000;0,029;1,316;0,026
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;1,316;0,016
SP01025;SP;3899,000;2743,000;1156,000;2367,000;1,000;0,042;1,316;0,036
SP01046;SP;1567,000;1208,000;359,000;1036,000;1,000;0,097;1,316;0,083
SP01057;SP;6658,000;5029,000;1629,000;4330,000;1,000;0,023;1,316;0,020
SP01095;SP;5974,000;4274,000;1700,000;3630,000;1,000;0,028;1,316;0,023
