CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,163;0,026
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,327;0,047
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,163;0,031
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,163;0,023
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,163;0,034
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,163;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,163;0,016
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,163;0,027
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,163;0,010
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,163;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,327;0,031
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,163;0,020
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,163;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,163;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,163;0,023
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,163;0,020
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,163;0,033
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,163;0,018
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,163;0,028
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,163;0,033
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,163;0,063
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,163;0,037
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,327;0,047
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,163;0,031
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,163;0,030
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,163;0,036
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,163;0,035
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,163;0,032
