CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,493;0,028
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,493;0,024
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,493;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,493;0,021
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,493;0,031
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,985;0,068
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,493;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,985;0,037
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,493;0,030
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,493;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,493;0,011
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,493;0,027
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,985;0,041
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,493;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,493;0,017
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,493;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,493;0,020
SP00164;SP;5864,000;4364,000;1500,000;3543,000;8,000;0,226;3,941;0,183
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,493;0,026
SP00166;SP;3724,000;2789,000;935,000;2307,000;2,000;0,087;0,985;0,072
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,985;0,041
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,493;0,020
SP00171;SP;6293,000;4730,000;1563,000;3938,000;4,000;0,102;1,970;0,085
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,493;0,028
SP00174;SP;4271,000;3221,000;1050,000;2581,000;2,000;0,077;0,985;0,062
SP00175;SP;4700,000;3395,000;1305,000;2728,000;3,000;0,110;1,478;0,088
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,985;0,057
SP00177;SP;6291,000;4620,000;1671,000;3718,000;6,000;0,161;2,956;0,130
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,493;0,016
SP00181;SP;1188,000;823,000;365,000;662,000;1,000;0,151;0,493;0,122
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,493;0,175
SP00186;SP;1134,000;804,000;330,000;667,000;3,000;0,450;1,478;0,373
SP00188;SP;4302,000;3191,000;1111,000;2652,000;2,000;0,075;0,985;0,063
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,493;0,043
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,493;0,014
SP00246;SP;730,000;578,000;152,000;471,000;1,000;0,212;0,493;0,173
SP00257;SP;5556,000;4081,000;1475,000;3166,000;2,000;0,063;0,985;0,049
SP00270;SP;6129,000;4512,000;1617,000;3803,000;3,000;0,079;1,478;0,066
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,493;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,493;0,027
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,493;0,043
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,493;0,023
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,493;0,013
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,493;0,017
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,493;0,031
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,493;0,033
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;0,493;0,026
SP00524;SP;2811,000;2096,000;715,000;1775,000;1,000;0,056;0,493;0,048
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,493;0,030
SP00555;SP;3492,000;2514,000;978,000;2184,000;1,000;0,046;0,493;0,040
SP00610;SP;4996,000;3877,000;1119,000;3393,000;2,000;0,059;0,985;0,052
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,493;0,025
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,493;0,020
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,493;0,027
SP00689;SP;6259,000;4395,000;1864,000;3885,000;1,000;0,026;0,493;0,023
SP00702;SP;3281,000;2263,000;1018,000;2012,000;1,000;0,050;0,493;0,044
SP00704;SP;5896,000;4329,000;1567,000;3685,000;1,000;0,027;0,493;0,023
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,493;0,025
SP00724;SP;3664,000;2699,000;965,000;2432,000;1,000;0,041;0,493;0,037
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,493;0,024
SP00801;SP;3726,000;2817,000;909,000;2456,000;1,000;0,041;0,493;0,035
SP00808;SP;5967,000;4362,000;1605,000;3844,000;2,000;0,052;0,985;0,046
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,493;0,043
SP00822;SP;1894,000;1440,000;454,000;1247,000;3,000;0,241;1,478;0,208
SP00832;SP;4365,000;3114,000;1251,000;2744,000;1,000;0,036;0,493;0,032
SP00839;SP;942,000;694,000;248,000;608,000;1,000;0,164;0,493;0,144
SP00892;SP;4485,000;3072,000;1413,000;2701,000;1,000;0,037;0,493;0,033
SP00908;SP;2080,000;1573,000;507,000;1325,000;1,000;0,075;0,493;0,064
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,493;0,027
SP00943;SP;5578,000;4080,000;1498,000;3484,000;1,000;0,029;0,493;0,025
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,493;0,011
SP00954;SP;4954,000;3697,000;1257,000;3067,000;1,000;0,033;0,493;0,027
SP00977;SP;4747,000;3316,000;1431,000;2910,000;2,000;0,069;0,985;0,060
SP00982;SP;5546,000;3870,000;1676,000;3467,000;1,000;0,029;0,493;0,026
SP00988;SP;5130,000;3838,000;1292,000;3440,000;1,000;0,029;0,493;0,026
SP01008;SP;3674,000;2717,000;957,000;2363,000;1,000;0,042;0,493;0,037
SP01017;SP;3849,000;2621,000;1228,000;2231,000;1,000;0,045;0,493;0,038
SP01092;SP;5885,000;3837,000;2048,000;3221,000;1,000;0,031;0,493;0,026
SP01120;SP;6954,000;4897,000;2057,000;4084,000;1,000;0,024;0,493;0,020
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,493;0,027
SP01157;SP;6773,000;5060,000;1713,000;4280,000;2,000;0,047;0,985;0,040
SP01164;SP;5708,000;3888,000;1820,000;3284,000;1,000;0,030;0,493;0,026
SP01167;SP;6259,000;4450,000;1809,000;3620,000;1,000;0,028;0,493;0,022
SP01211;SP;4601,000;3490,000;1111,000;2769,000;1,000;0,036;0,493;0,029
SP01280;SP;5845,000;4462,000;1383,000;3757,000;1,000;0,027;0,493;0,022
SP01323;SP;6741,000;5078,000;1663,000;4301,000;3,000;0,070;1,478;0,059
SP01325;SP;2946,000;2309,000;637,000;1970,000;1,000;0,051;0,493;0,043
SP01326;SP;4913,000;3679,000;1234,000;2940,000;1,000;0,034;0,493;0,027
SP01328;SP;6187,000;4762,000;1425,000;4004,000;1,000;0,025;0,493;0,021
SP01332;SP;5043,000;3673,000;1370,000;3047,000;1,000;0,033;0,493;0,027
SP01333;SP;8821,000;6398,000;2423,000;5220,000;1,000;0,019;0,493;0,016
SP01334;SP;5470,000;3996,000;1474,000;3334,000;2,000;0,060;0,985;0,050
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;0,493;0,021
SP01337;SP;5929,000;4445,000;1484,000;3629,000;4,000;0,110;1,970;0,090
SP01341;SP;3295,000;2546,000;749,000;2084,000;2,000;0,096;0,985;0,079
SP01345;SP;3443,000;2632,000;811,000;2198,000;1,000;0,045;0,493;0,038
SP01347;SP;7950,000;5978,000;1972,000;5066,000;3,000;0,059;1,478;0,050
SP01351;SP;1693,000;1310,000;383,000;1037,000;2,000;0,193;0,985;0,153
SP01362;SP;7767,000;5488,000;2279,000;4591,000;1,000;0,022;0,493;0,018
SP01368;SP;6668,000;5077,000;1591,000;4150,000;1,000;0,024;0,493;0,020
SP01377;SP;6246,000;4413,000;1833,000;3586,000;1,000;0,028;0,493;0,023
SP01381;SP;5235,000;3846,000;1389,000;3111,000;2,000;0,064;0,985;0,052
SP01389;SP;5537,000;3939,000;1598,000;3325,000;1,000;0,030;0,493;0,025
SP01411;SP;5127,000;3922,000;1205,000;3438,000;1,000;0,029;0,493;0,025
SP01451;SP;4196,000;3104,000;1092,000;2494,000;1,000;0,040;0,493;0,032
SP01500;SP;1399,000;1031,000;368,000;873,000;1,000;0,115;0,493;0,097
SP01547;SP;2943,000;2176,000;767,000;1791,000;1,000;0,056;0,493;0,046
SP01577;SP;4405,000;3382,000;1023,000;2871,000;2,000;0,070;0,985;0,059
SP01659;SP;4975,000;3950,000;1025,000;3337,000;1,000;0,030;0,493;0,025
SP01689;SP;4779,000;3653,000;1126,000;2960,000;1,000;0,034;0,493;0,027
SP01704;SP;4240,000;3111,000;1129,000;2402,000;1,000;0,042;0,493;0,032
SP01737;SP;4533,000;3032,000;1501,000;2598,000;1,000;0,038;0,493;0,033
SP01753;SP;5888,000;4237,000;1651,000;3550,000;1,000;0,028;0,493;0,024
SP01767;SP;5732,000;4162,000;1570,000;3518,000;1,000;0,028;0,493;0,024
SP01801;SP;4591,000;3418,000;1173,000;2903,000;1,000;0,034;0,493;0,029
SP01819;SP;6180,000;4697,000;1483,000;3886,000;3,000;0,077;1,478;0,064
SP01824;SP;3725,000;2622,000;1103,000;2239,000;1,000;0,045;0,493;0,038
SP01827;SP;6711,000;4773,000;1938,000;3991,000;2,000;0,050;0,985;0,042
SP01828;SP;8402,000;6116,000;2286,000;5090,000;4,000;0,079;1,970;0,065
SP01829;SP;6875,000;5127,000;1748,000;4366,000;1,000;0,023;0,493;0,020
SP01830;SP;3740,000;2650,000;1090,000;2266,000;1,000;0,044;0,493;0,038
SP01832;SP;6225,000;4582,000;1643,000;3756,000;3,000;0,080;1,478;0,065
SP01836;SP;6148,000;4540,000;1608,000;3783,000;1,000;0,026;0,493;0,022
SP01838;SP;3079,000;2250,000;829,000;1986,000;1,000;0,050;0,493;0,044
SP01842;SP;5313,000;4084,000;1229,000;3333,000;1,000;0,030;0,493;0,024
SP01845;SP;6584,000;4733,000;1851,000;3854,000;1,000;0,026;0,493;0,021
SP01846;SP;3222,000;2484,000;738,000;1943,000;1,000;0,051;0,493;0,040
SP01847;SP;2974,000;2307,000;667,000;1836,000;2,000;0,109;0,985;0,087
SP01852;SP;3141,000;2174,000;967,000;1762,000;2,000;0,114;0,985;0,092
SP01855;SP;3678,000;2595,000;1083,000;2177,000;1,000;0,046;0,493;0,039
SP01926;SP;6354,000;4642,000;1712,000;4010,000;2,000;0,050;0,985;0,043
SP01934;SP;7848,000;5935,000;1913,000;4997,000;1,000;0,020;0,493;0,017
SP01943;SP;3522,000;2387,000;1135,000;1965,000;1,000;0,051;0,493;0,042
SP01966;SP;3725,000;2683,000;1042,000;2393,000;1,000;0,042;0,493;0,037
SP01988;SP;5876,000;4116,000;1760,000;3522,000;2,000;0,057;0,985;0,049
SP01991;SP;6762,000;5186,000;1576,000;4448,000;1,000;0,022;0,493;0,019
SP02023;SP;6925,000;5198,000;1727,000;4333,000;2,000;0,046;0,985;0,038
SP02030;SP;7717,000;5529,000;2188,000;4653,000;1,000;0,021;0,493;0,018
SP02047;SP;5031,000;3799,000;1232,000;3118,000;1,000;0,032;0,493;0,026
