CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,094;0,036
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,094;0,012
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,187;0,052
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,094;0,017
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,094;0,028
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,094;0,010
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,187;0,048
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,094;0,028
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,094;0,037
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,094;0,035
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,094;0,043
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,094;0,044
SP00111;SP;5405,000;3713,000;1692,000;3463,000;2,000;0,058;0,187;0,054
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,094;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;3,000;0,070;0,281;0,064
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,094;0,013
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,094;0,019
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,094;0,026
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,094;0,026
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,094;0,019
SP00147;SP;7272,000;5483,000;1789,000;5016,000;2,000;0,040;0,187;0,036
SP00155;SP;6109,000;4286,000;1823,000;3668,000;3,000;0,082;0,281;0,070
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,094;0,017
SP00160;SP;7072,000;5254,000;1818,000;4369,000;3,000;0,069;0,281;0,057
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,094;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;4,000;0,087;0,375;0,071
SP00165;SP;5151,000;3881,000;1270,000;3088,000;3,000;0,097;0,281;0,077
SP00166;SP;3724,000;2789,000;935,000;2307,000;2,000;0,087;0,187;0,072
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,094;0,033
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,094;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,094;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;2,000;0,051;0,187;0,042
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;0,187;0,057
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,094;0,089
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,094;0,031
