CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,130;0,024
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,130;0,024
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,130;0,019
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,130;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;3,000;0,067;0,389;0,059
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,130;0,027
SP00143;SP;8101,000;5686,000;2415,000;5122,000;2,000;0,039;0,259;0,035
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,130;0,015
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,130;0,025
SP00224;SP;4682,000;3295,000;1387,000;2841,000;2,000;0,070;0,259;0,061
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,130;0,027
SP00229;SP;6362,000;4716,000;1646,000;4007,000;4,000;0,100;0,518;0,085
SP00231;SP;4477,000;3485,000;992,000;2989,000;2,000;0,067;0,259;0,057
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,130;0,020
SP00235;SP;6359,000;4733,000;1626,000;4005,000;3,000;0,075;0,389;0,063
SP00237;SP;4589,000;3414,000;1175,000;2908,000;2,000;0,069;0,259;0,059
SP00239;SP;5869,000;4516,000;1353,000;3700,000;3,000;0,081;0,389;0,066
SP00243;SP;3895,000;2713,000;1182,000;2275,000;5,000;0,220;0,648;0,184
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,130;0,083
SP00251;SP;3854,000;2856,000;998,000;2435,000;3,000;0,123;0,389;0,105
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,130;0,032
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,130;0,020
SP00255;SP;6778,000;5044,000;1734,000;4293,000;2,000;0,047;0,259;0,040
SP00259;SP;1803,000;1399,000;404,000;1139,000;2,000;0,176;0,259;0,143
SP00260;SP;6967,000;4886,000;2081,000;4112,000;11,000;0,268;1,425;0,225
SP00261;SP;5727,000;3983,000;1744,000;3376,000;6,000;0,178;0,777;0,151
SP00262;SP;6791,000;4838,000;1953,000;4128,000;21,000;0,509;2,720;0,434
SP00263;SP;10873,000;8161,000;2712,000;7067,000;16,000;0,226;2,073;0,196
SP00264;SP;6606,000;4757,000;1849,000;3973,000;4,000;0,101;0,518;0,084
SP00265;SP;5313,000;3854,000;1459,000;3315,000;5,000;0,151;0,648;0,130
SP00267;SP;6197,000;4417,000;1780,000;3682,000;8,000;0,217;1,036;0,181
