CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,077;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,077;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,077;0,028
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,155;0,048
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,077;0,032
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,077;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,077;0,028
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,077;0,008
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,155;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,077;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,077;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;5,000;0,112;0,387;0,105
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,077;0,023
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,077;0,016
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,077;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,077;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;5,000;0,159;0,387;0,139
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,155;0,037
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;0,232;0,074
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,077;0,029
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,077;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;2,000;0,057;0,155;0,050
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,077;0,052
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,077;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,077;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,077;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,077;0,033
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,077;0,027
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,077;0,017
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,155;0,035
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,155;0,047
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,077;0,030
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,077;0,043
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,077;0,033
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,077;0,020
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,077;0,035
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,077;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,077;0,011
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,155;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;3,000;0,054;0,232;0,050
SP00128;SP;9830,000;6546,000;3284,000;5910,000;3,000;0,051;0,232;0,046
SP00129;SP;8021,000;5609,000;2412,000;5146,000;4,000;0,078;0,309;0,071
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,077;0,019
SP00132;SP;4938,000;3378,000;1560,000;3079,000;3,000;0,097;0,232;0,089
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,155;0,029
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,077;0,015
SP00144;SP;5788,000;3963,000;1825,000;3611,000;2,000;0,055;0,155;0,050
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,077;0,028
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,077;0,019
SP00150;SP;2320,000;1742,000;578,000;1615,000;2,000;0,124;0,155;0,115
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,077;0,021
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,155;0,041
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,077;0,017
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,077;0,018
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,077;0,033
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,077;0,089
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,155;0,031
SP00182;SP;780,000;558,000;222,000;444,000;1,000;0,225;0,077;0,179
SP00193;SP;4453,000;3011,000;1442,000;2715,000;2,000;0,074;0,155;0,066
SP00197;SP;4829,000;3340,000;1489,000;3099,000;4,000;0,129;0,309;0,120
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,077;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,077;0,015
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,077;0,021
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,077;0,029
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,077;0,024
SP00213;SP;4732,000;3454,000;1278,000;3107,000;2,000;0,064;0,155;0,058
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,077;0,023
SP00217;SP;1566,000;1244,000;322,000;1121,000;2,000;0,178;0,155;0,161
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,077;0,026
SP00223;SP;2666,000;1909,000;757,000;1662,000;2,000;0,120;0,155;0,105
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,077;0,029
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,077;0,021
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,077;0,034
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,077;0,032
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,077;0,012
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,077;0,023
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,077;0,031
SP00287;SP;1938,000;1490,000;448,000;1274,000;1,000;0,078;0,077;0,067
SP00297;SP;1311,000;946,000;365,000;845,000;1,000;0,118;0,077;0,106
SP00298;SP;4475,000;3118,000;1357,000;2813,000;2,000;0,071;0,155;0,064
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,077;0,064
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,077;0,026
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,077;0,056
SP00316;SP;8808,000;6530,000;2278,000;5921,000;2,000;0,034;0,155;0,031
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,077;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,077;0,037
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,077;0,032
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,077;0,045
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,077;0,035
SP00335;SP;4066,000;2940,000;1126,000;2443,000;1,000;0,041;0,077;0,034
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,077;0,037
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,077;0,044
SP00343;SP;5204,000;3721,000;1483,000;3344,000;2,000;0,060;0,155;0,054
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,077;0,024
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,077;0,055
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,077;0,082
SP00363;SP;6587,000;4335,000;2252,000;4017,000;1,000;0,025;0,077;0,023
SP00368;SP;4441,000;3045,000;1396,000;2778,000;2,000;0,072;0,155;0,066
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,077;0,018
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,077;0,028
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,077;0,030
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,077;0,030
SP00377;SP;4059,000;2893,000;1166,000;2693,000;2,000;0,074;0,155;0,069
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,077;0,035
SP00386;SP;2170,000;1708,000;462,000;1625,000;2,000;0,123;0,155;0,117
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,077;0,036
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,077;0,035
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;0,155;0,039
SP00415;SP;3888,000;2993,000;895,000;2599,000;2,000;0,077;0,155;0,067
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;0,077;0,080
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,077;0,046
SP00422;SP;10320,000;7595,000;2725,000;6744,000;3,000;0,044;0,232;0,039
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,077;0,020
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,077;0,026
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,077;0,033
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,077;0,027
SP00468;SP;5330,000;3854,000;1476,000;3503,000;2,000;0,057;0,155;0,052
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,077;0,025
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,077;0,050
SP00492;SP;847,000;671,000;176,000;585,000;1,000;0,171;0,077;0,149
SP00502;SP;6808,000;4910,000;1898,000;4207,000;2,000;0,048;0,155;0,041
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,077;0,022
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,077;0,014
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,077;0,019
SP00514;SP;5514,000;3990,000;1524,000;3430,000;2,000;0,058;0,155;0,050
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,077;0,038
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,077;0,024
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,077;0,029
SP00523;SP;4290,000;3229,000;1061,000;2690,000;2,000;0,074;0,155;0,062
SP00525;SP;5945,000;4545,000;1400,000;3796,000;4,000;0,105;0,309;0,088
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,077;0,052
SP00534;SP;4351,000;3409,000;942,000;3003,000;2,000;0,067;0,155;0,059
SP00537;SP;4344,000;3031,000;1313,000;2660,000;1,000;0,038;0,077;0,033
SP00539;SP;5948,000;4112,000;1836,000;3697,000;1,000;0,027;0,077;0,024
SP00542;SP;4842,000;3391,000;1451,000;2867,000;1,000;0,035;0,077;0,029
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,077;0,018
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,077;0,021
SP00547;SP;3238,000;2322,000;916,000;2051,000;1,000;0,049;0,077;0,043
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,077;0,025
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,077;0,024
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,077;0,041
SP00571;SP;1966,000;1470,000;496,000;1235,000;1,000;0,081;0,077;0,068
SP00587;SP;3697,000;2586,000;1111,000;2332,000;1,000;0,043;0,077;0,039
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,077;0,019
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,077;0,039
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,077;0,026
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;0,077;0,020
SP00621;SP;7468,000;5058,000;2410,000;4641,000;4,000;0,086;0,309;0,079
SP00622;SP;8525,000;5893,000;2632,000;5358,000;3,000;0,056;0,232;0,051
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,077;0,025
SP00624;SP;6339,000;4326,000;2013,000;3981,000;2,000;0,050;0,155;0,046
SP00625;SP;10784,000;7630,000;3154,000;7038,000;12,000;0,171;0,928;0,157
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,077;0,023
SP00627;SP;7090,000;4763,000;2327,000;4286,000;9,000;0,210;0,696;0,189
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,077;0,018
SP00629;SP;3705,000;2452,000;1253,000;2194,000;3,000;0,137;0,232;0,122
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,077;0,026
SP00631;SP;2522,000;1571,000;951,000;1400,000;3,000;0,214;0,232;0,191
SP00632;SP;9851,000;7134,000;2717,000;6537,000;10,000;0,153;0,773;0,140
SP00633;SP;3955,000;2796,000;1159,000;2560,000;2,000;0,078;0,155;0,072
SP00634;SP;6679,000;4545,000;2134,000;4143,000;2,000;0,048;0,155;0,044
SP00635;SP;5917,000;4054,000;1863,000;3591,000;11,000;0,306;0,851;0,271
SP00636;SP;7155,000;4893,000;2262,000;4473,000;2,000;0,045;0,155;0,041
SP00637;SP;5885,000;3783,000;2102,000;3470,000;4,000;0,115;0,309;0,106
SP00638;SP;6804,000;4640,000;2164,000;4208,000;2,000;0,048;0,155;0,043
SP00640;SP;6187,000;4214,000;1973,000;3845,000;2,000;0,052;0,155;0,047
SP00641;SP;6983,000;4703,000;2280,000;4242,000;6,000;0,141;0,464;0,128
SP00642;SP;5042,000;3746,000;1296,000;3356,000;5,000;0,149;0,387;0,133
SP00643;SP;3354,000;2459,000;895,000;2145,000;3,000;0,140;0,232;0,122
SP00645;SP;3823,000;2661,000;1162,000;2407,000;5,000;0,208;0,387;0,188
SP00646;SP;3531,000;2581,000;950,000;2320,000;2,000;0,086;0,155;0,077
SP00647;SP;7403,000;5083,000;2320,000;4634,000;3,000;0,065;0,232;0,059
SP00648;SP;3841,000;2877,000;964,000;2605,000;4,000;0,154;0,309;0,139
SP00649;SP;2648,000;1982,000;666,000;1760,000;2,000;0,114;0,155;0,101
SP00650;SP;4689,000;3535,000;1154,000;3191,000;10,000;0,313;0,773;0,283
SP00651;SP;4603,000;3022,000;1581,000;2669,000;4,000;0,150;0,309;0,132
SP00652;SP;4711,000;3356,000;1355,000;2915,000;19,000;0,652;1,469;0,566
SP00653;SP;9758,000;6871,000;2887,000;6317,000;4,000;0,063;0,309;0,058
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,077;0,025
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,077;0,033
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,077;0,018
SP00657;SP;6658,000;4729,000;1929,000;4302,000;3,000;0,070;0,232;0,063
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,077;0,033
SP00659;SP;4066,000;2843,000;1223,000;2587,000;3,000;0,116;0,232;0,106
SP00660;SP;1900,000;1365,000;535,000;1239,000;1,000;0,081;0,077;0,073
SP00662;SP;4467,000;3192,000;1275,000;2948,000;2,000;0,068;0,155;0,063
SP00665;SP;4690,000;3236,000;1454,000;2925,000;3,000;0,103;0,232;0,093
SP00666;SP;4794,000;3234,000;1560,000;2902,000;2,000;0,069;0,155;0,062
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,077;0,019
SP00668;SP;5384,000;3806,000;1578,000;3465,000;4,000;0,115;0,309;0,105
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,077;0,032
SP00671;SP;7344,000;4961,000;2383,000;4380,000;2,000;0,046;0,155;0,040
SP00672;SP;5404,000;3859,000;1545,000;3453,000;5,000;0,145;0,387;0,130
SP00678;SP;3777,000;2815,000;962,000;2493,000;2,000;0,080;0,155;0,071
SP00679;SP;4304,000;3017,000;1287,000;2683,000;2,000;0,075;0,155;0,066
SP00680;SP;11486,000;8694,000;2792,000;7821,000;4,000;0,051;0,309;0,046
SP00681;SP;5137,000;3903,000;1234,000;3542,000;3,000;0,085;0,232;0,077
SP00682;SP;2306,000;1759,000;547,000;1584,000;3,000;0,189;0,232;0,171
SP00683;SP;5169,000;3990,000;1179,000;3629,000;2,000;0,055;0,155;0,050
SP00684;SP;1542,000;1148,000;394,000;1039,000;1,000;0,096;0,077;0,087
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,077;0,015
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,077;0,027
SP00694;SP;8474,000;6228,000;2246,000;5583,000;4,000;0,072;0,309;0,064
SP00697;SP;4338,000;3181,000;1157,000;2881,000;2,000;0,069;0,155;0,063
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,077;0,038
SP00706;SP;5478,000;3976,000;1502,000;3402,000;2,000;0,059;0,155;0,050
SP00707;SP;6988,000;4980,000;2008,000;4238,000;1,000;0,024;0,077;0,020
SP00712;SP;7054,000;5112,000;1942,000;4323,000;1,000;0,023;0,077;0,020
SP00714;SP;3081,000;2248,000;833,000;1931,000;1,000;0,052;0,077;0,044
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,077;0,028
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,077;0,024
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;0,077;0,024
SP00733;SP;6587,000;4986,000;1601,000;4131,000;1,000;0,024;0,077;0,020
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,077;0,015
SP00743;SP;4240,000;3246,000;994,000;2798,000;2,000;0,071;0,155;0,062
SP00745;SP;4714,000;3481,000;1233,000;3072,000;1,000;0,033;0,077;0,029
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,077;0,026
SP00748;SP;3624,000;2591,000;1033,000;2215,000;1,000;0,045;0,077;0,039
SP00757;SP;3284,000;2523,000;761,000;2167,000;1,000;0,046;0,077;0,040
SP00765;SP;8135,000;5621,000;2514,000;4929,000;13,000;0,264;1,005;0,231
SP00766;SP;7053,000;4968,000;2085,000;4402,000;6,000;0,136;0,464;0,121
SP00767;SP;6440,000;4457,000;1983,000;3930,000;10,000;0,254;0,773;0,224
SP00769;SP;5078,000;3464,000;1614,000;3068,000;4,000;0,130;0,309;0,115
SP00770;SP;6150,000;4203,000;1947,000;3615,000;5,000;0,138;0,387;0,119
SP00771;SP;7436,000;5164,000;2272,000;4500,000;57,000;1,267;4,408;1,104
SP00772;SP;5664,000;4117,000;1547,000;3538,000;47,000;1,328;3,635;1,142
SP00773;SP;6264,000;4426,000;1838,000;3805,000;67,000;1,761;5,182;1,514
SP00774;SP;7854,000;5792,000;2062,000;5026,000;42,000;0,836;3,248;0,725
SP00775;SP;7449,000;5305,000;2144,000;4528,000;24,000;0,530;1,856;0,452
SP00776;SP;6598,000;4696,000;1902,000;4003,000;17,000;0,425;1,315;0,362
SP00777;SP;5853,000;4038,000;1815,000;3381,000;3,000;0,089;0,232;0,074
SP00778;SP;7392,000;5180,000;2212,000;4241,000;7,000;0,165;0,541;0,135
