CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;1,639;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;1,639;0,028
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;1,639;0,035
SP00097;SP;4480,000;3320,000;1160,000;2831,000;2,000;0,071;3,279;0,060
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;1,639;0,027
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;1,639;0,026
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;1,639;0,025
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;1,639;0,023
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;1,639;0,020
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;1,639;0,032
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;1,639;0,029
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;1,639;0,028
SP00439;SP;3746,000;2751,000;995,000;2414,000;1,000;0,041;1,639;0,036
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;1,639;0,026
SP00449;SP;6333,000;4838,000;1495,000;4289,000;1,000;0,023;1,639;0,021
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;1,639;0,023
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;1,639;0,020
SP00677;SP;1922,000;1504,000;418,000;1376,000;2,000;0,145;3,279;0,133
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;1,639;0,026
SP00691;SP;2030,000;1356,000;674,000;1186,000;1,000;0,084;1,639;0,074
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;1,639;0,023
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;1,639;0,019
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;1,639;0,023
SP00862;SP;4149,000;3028,000;1121,000;2481,000;1,000;0,040;1,639;0,033
SP00905;SP;5577,000;4262,000;1315,000;3604,000;1,000;0,028;1,639;0,023
SP01021;SP;5856,000;4048,000;1808,000;3411,000;1,000;0,029;1,639;0,025
SP01028;SP;4443,000;3184,000;1259,000;2685,000;1,000;0,037;1,639;0,031
SP01030;SP;3473,000;2728,000;745,000;2337,000;1,000;0,043;1,639;0,037
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;1,639;0,023
SP01055;SP;5802,000;4170,000;1632,000;3541,000;1,000;0,028;1,639;0,024
SP01057;SP;6658,000;5029,000;1629,000;4330,000;2,000;0,046;3,279;0,040
SP01065;SP;3662,000;2656,000;1006,000;2330,000;3,000;0,129;4,918;0,113
SP01073;SP;2744,000;2141,000;603,000;1865,000;1,000;0,054;1,639;0,047
SP01077;SP;3176,000;2582,000;594,000;2292,000;1,000;0,044;1,639;0,039
SP01096;SP;4179,000;2929,000;1250,000;2561,000;1,000;0,039;1,639;0,034
SP01181;SP;4741,000;3452,000;1289,000;2824,000;1,000;0,035;1,639;0,029
SP01220;SP;2623,000;2080,000;543,000;1725,000;1,000;0,058;1,639;0,048
SP01232;SP;4544,000;3180,000;1364,000;2674,000;1,000;0,037;1,639;0,031
SP01463;SP;4734,000;3558,000;1176,000;2951,000;1,000;0,034;1,639;0,028
SP01491;SP;4927,000;3538,000;1389,000;2917,000;1,000;0,034;1,639;0,028
SP01511;SP;1342,000;1040,000;302,000;869,000;4,000;0,460;6,557;0,385
SP01543;SP;6952,000;5280,000;1672,000;4396,000;1,000;0,023;1,639;0,019
SP01608;SP;2455,000;1874,000;581,000;1552,000;1,000;0,064;1,639;0,053
SP01622;SP;4052,000;2947,000;1105,000;2495,000;1,000;0,040;1,639;0,034
SP01635;SP;6200,000;4212,000;1988,000;3548,000;2,000;0,056;3,279;0,047
SP01662;SP;5362,000;3769,000;1593,000;3191,000;1,000;0,031;1,639;0,027
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;1,639;0,030
SP01833;SP;6103,000;4442,000;1661,000;3955,000;1,000;0,025;1,639;0,023
SP01857;SP;4340,000;2937,000;1403,000;2615,000;1,000;0,038;1,639;0,034
SP01865;SP;4732,000;3337,000;1395,000;2900,000;1,000;0,034;1,639;0,030
SP01872;SP;7613,000;5835,000;1778,000;5033,000;1,000;0,020;1,639;0,017
SP02013;SP;5458,000;3725,000;1733,000;3087,000;1,000;0,032;1,639;0,027
