CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;3,000;0,070;0,694;0,062
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,231;0,024
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,231;0,037
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,231;0,026
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,231;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,231;0,028
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,231;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;4,000;0,085;0,926;0,077
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,231;0,008
SP00037;SP;5446,000;3922,000;1524,000;3606,000;3,000;0,083;0,694;0,076
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,231;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,231;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,231;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,231;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;3,000;0,064;0,694;0,056
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,231;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,231;0,028
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,231;0,035
SP00107;SP;5091,000;3438,000;1653,000;3201,000;1,000;0,031;0,231;0,029
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,231;0,020
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,231;0,028
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,231;0,034
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,231;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,231;0,011
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,231;0,036
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,231;0,030
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,231;0,047
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,231;0,025
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,231;0,027
SP00157;SP;1487,000;928,000;559,000;782,000;2,000;0,256;0,463;0,216
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,231;0,029
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,231;0,028
SP00225;SP;4793,000;3416,000;1377,000;2882,000;2,000;0,069;0,463;0,059
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,231;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,231;0,021
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,231;0,025
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,231;0,024
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,463;0,055
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;0,231;0,031
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,231;0,023
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,231;0,025
