CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,741;0,015
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,741;0,017
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,741;0,008
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,741;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,741;0,025
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,741;0,025
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;1,481;0,022
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,741;0,027
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,741;0,030
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,741;0,021
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,741;0,052
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,741;0,021
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,741;0,058
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,741;0,040
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,741;0,044
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,741;0,032
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,741;0,027
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,741;0,028
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,741;0,031
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;1,481;0,039
SP00423;SP;4513,000;3158,000;1355,000;2820,000;1,000;0,035;0,741;0,032
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,741;0,055
SP00459;SP;4392,000;3188,000;1204,000;2896,000;1,000;0,035;0,741;0,031
SP00469;SP;5448,000;3854,000;1594,000;3445,000;2,000;0,058;1,481;0,052
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,741;0,074
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,741;0,030
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,741;0,020
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,741;0,030
SP00505;SP;2185,000;1532,000;653,000;1335,000;1,000;0,075;0,741;0,065
SP00510;SP;6209,000;4329,000;1880,000;3594,000;2,000;0,056;1,481;0,046
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,741;0,019
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,741;0,021
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,741;0,038
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,741;0,024
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,741;0,086
SP00572;SP;5117,000;3692,000;1425,000;3011,000;1,000;0,033;0,741;0,027
SP00640;SP;6187,000;4214,000;1973,000;3845,000;1,000;0,026;0,741;0,024
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,741;0,031
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,741;0,019
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;0,741;0,026
SP00798;SP;3561,000;2771,000;790,000;2464,000;1,000;0,041;0,741;0,036
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,741;0,022
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;0,741;0,027
SP00815;SP;4827,000;3371,000;1456,000;2943,000;1,000;0,034;0,741;0,030
SP00884;SP;6025,000;4117,000;1908,000;3528,000;6,000;0,170;4,444;0,146
SP00887;SP;2549,000;1778,000;771,000;1536,000;1,000;0,065;0,741;0,056
SP00889;SP;4118,000;2831,000;1287,000;2529,000;3,000;0,119;2,222;0,106
SP00890;SP;6506,000;4670,000;1836,000;4087,000;2,000;0,049;1,481;0,043
SP00891;SP;6195,000;4624,000;1571,000;4037,000;1,000;0,025;0,741;0,022
SP00892;SP;4485,000;3072,000;1413,000;2701,000;5,000;0,185;3,704;0,163
SP00893;SP;4866,000;3614,000;1252,000;3170,000;1,000;0,032;0,741;0,028
SP00895;SP;4545,000;3059,000;1486,000;2625,000;1,000;0,038;0,741;0,033
SP00896;SP;3683,000;2558,000;1125,000;2191,000;2,000;0,091;1,481;0,078
SP00897;SP;4232,000;3120,000;1112,000;2666,000;9,000;0,338;6,667;0,288
SP00899;SP;3360,000;2430,000;930,000;2195,000;1,000;0,046;0,741;0,041
SP00904;SP;1355,000;1053,000;302,000;902,000;1,000;0,111;0,741;0,095
SP00908;SP;2080,000;1573,000;507,000;1325,000;1,000;0,075;0,741;0,064
SP00910;SP;884,000;714,000;170,000;633,000;2,000;0,316;1,481;0,280
SP00924;SP;5898,000;4232,000;1666,000;3558,000;3,000;0,084;2,222;0,071
SP00925;SP;5327,000;3864,000;1463,000;3310,000;3,000;0,091;2,222;0,078
SP00928;SP;5132,000;3949,000;1183,000;3288,000;2,000;0,061;1,481;0,051
SP00965;SP;6230,000;4373,000;1857,000;3908,000;1,000;0,026;0,741;0,023
SP01019;SP;3579,000;2715,000;864,000;2251,000;1,000;0,044;0,741;0,037
SP01023;SP;5047,000;3502,000;1545,000;2993,000;1,000;0,033;0,741;0,029
SP01070;SP;3112,000;2381,000;731,000;2017,000;1,000;0,050;0,741;0,042
SP01094;SP;4951,000;3460,000;1491,000;3031,000;2,000;0,066;1,481;0,058
SP01097;SP;7641,000;5404,000;2237,000;4710,000;1,000;0,021;0,741;0,019
SP01101;SP;5144,000;3574,000;1570,000;3122,000;2,000;0,064;1,481;0,056
SP01198;SP;4394,000;3400,000;994,000;2835,000;1,000;0,035;0,741;0,029
SP01207;SP;4349,000;3294,000;1055,000;2669,000;1,000;0,037;0,741;0,030
SP01212;SP;7434,000;5663,000;1771,000;4627,000;3,000;0,065;2,222;0,053
SP01409;SP;4997,000;3488,000;1509,000;3043,000;1,000;0,033;0,741;0,029
SP01473;SP;5784,000;3936,000;1848,000;3286,000;2,000;0,061;1,481;0,051
SP01484;SP;4803,000;3637,000;1166,000;3023,000;1,000;0,033;0,741;0,027
SP01490;SP;5134,000;3970,000;1164,000;3327,000;1,000;0,030;0,741;0,025
SP01491;SP;4927,000;3538,000;1389,000;2917,000;1,000;0,034;0,741;0,028
SP01498;SP;5725,000;4260,000;1465,000;3481,000;1,000;0,029;0,741;0,023
