CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,940;0,045
SP00002;SP;8476,000;5539,000;2937,000;5059,000;3,000;0,059;0,940;0,054
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,313;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,313;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,313;0,024
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,313;0,026
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,627;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,627;0,045
SP00015;SP;4890,000;3200,000;1690,000;2777,000;2,000;0,072;0,627;0,062
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,313;0,031
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,313;0,026
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,313;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,313;0,095
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,313;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,940;0,024
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,313;0,023
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,313;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,313;0,017
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,313;0,030
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,313;0,050
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,313;0,019
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,313;0,025
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,313;0,029
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,313;0,043
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,313;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,313;0,010
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,313;0,022
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,313;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,313;0,018
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,313;0,030
SP00099;SP;4550,000;3344,000;1206,000;2841,000;3,000;0,106;0,940;0,090
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,313;0,035
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,313;0,043
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,313;0,033
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,313;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,313;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;4,000;0,054;1,254;0,050
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,627;0,027
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,313;0,018
SP00126;SP;3970,000;2788,000;1182,000;2578,000;3,000;0,116;0,940;0,108
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,313;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,627;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,627;0,055
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,627;0,029
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,313;0,025
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,313;0,027
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,627;0,040
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,313;0,033
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,313;0,028
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,313;0,016
SP00184;SP;781,000;570,000;211,000;453,000;2,000;0,442;0,627;0,351
SP00195;SP;3523,000;2306,000;1217,000;2013,000;2,000;0,099;0,627;0,087
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,313;0,015
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,313;0,033
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,313;0,021
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,313;0,034
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,313;0,071
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,313;0,012
SP00292;SP;3524,000;2286,000;1238,000;2056,000;3,000;0,146;0,940;0,131
SP00293;SP;2607,000;1718,000;889,000;1522,000;14,000;0,920;4,389;0,815
SP00294;SP;5157,000;3659,000;1498,000;3309,000;4,000;0,121;1,254;0,109
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,313;0,033
SP00296;SP;2387,000;1583,000;804,000;1433,000;2,000;0,140;0,627;0,126
SP00297;SP;1311,000;946,000;365,000;845,000;1,000;0,118;0,313;0,106
