CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,052;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,156;0,084
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,052;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;4,000;0,093;0,209;0,082
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,052;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,052;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,052;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;5,000;0,091;0,261;0,082
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,052;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;5,000;0,127;0,261;0,113
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,052;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,052;0,024
SP00019;SP;4798,000;3546,000;1252,000;3272,000;3,000;0,092;0,156;0,085
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,052;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,052;0,026
SP00026;SP;1515,000;1057,000;458,000;941,000;2,000;0,213;0,104;0,189
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,052;0,008
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,104;0,047
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,104;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;7,000;0,146;0,365;0,133
SP00034;SP;5401,000;3246,000;2155,000;2941,000;4,000;0,136;0,209;0,123
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,156;0,078
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,052;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,052;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,052;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,052;0,034
SP00043;SP;3049,000;2192,000;857,000;1985,000;3,000;0,151;0,156;0,137
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,104;0,035
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,052;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,104;0,033
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,104;0,060
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,104;0,032
SP00052;SP;5165,000;3133,000;2032,000;2746,000;3,000;0,109;0,156;0,096
SP00053;SP;6007,000;3594,000;2413,000;3140,000;25,000;0,796;1,304;0,696
SP00054;SP;5696,000;3753,000;1943,000;3197,000;25,000;0,782;1,304;0,666
SP00055;SP;8226,000;5391,000;2835,000;4660,000;16,000;0,343;0,835;0,297
SP00056;SP;5794,000;3640,000;2154,000;3156,000;4,000;0,127;0,209;0,110
SP00057;SP;4525,000;2909,000;1616,000;2485,000;28,000;1,127;1,461;0,963
SP00058;SP;5387,000;3548,000;1839,000;3095,000;27,000;0,872;1,408;0,761
SP00059;SP;6072,000;4040,000;2032,000;3525,000;4,000;0,113;0,209;0,099
SP00060;SP;6204,000;4150,000;2054,000;3582,000;3,000;0,084;0,156;0,072
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,104;0,059
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,052;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;4,000;0,114;0,209;0,099
SP00065;SP;3705,000;2327,000;1378,000;1980,000;2,000;0,101;0,104;0,086
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,104;0,104
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,052;0,108
SP00069;SP;2939,000;2032,000;907,000;1793,000;4,000;0,223;0,209;0,197
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,104;0,067
SP00071;SP;6547,000;4082,000;2465,000;3615,000;7,000;0,194;0,365;0,171
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,052;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,156;0,031
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,052;0,033
SP00075;SP;2374,000;1530,000;844,000;1347,000;3,000;0,223;0,156;0,196
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,052;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;3,000;0,093;0,156;0,081
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,104;0,039
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,052;0,031
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,052;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,052;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;0,104;0,034
SP00088;SP;8110,000;5666,000;2444,000;5056,000;3,000;0,059;0,156;0,053
SP00090;SP;5982,000;4272,000;1710,000;3906,000;3,000;0,077;0,156;0,070
SP00091;SP;6781,000;4661,000;2120,000;4098,000;3,000;0,073;0,156;0,064
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,104;0,035
SP00093;SP;4638,000;3524,000;1114,000;3163,000;4,000;0,126;0,209;0,114
SP00094;SP;3713,000;2680,000;1033,000;2357,000;2,000;0,085;0,104;0,075
SP00095;SP;7262,000;5378,000;1884,000;4657,000;9,000;0,193;0,469;0,167
SP00096;SP;3961,000;2845,000;1116,000;2437,000;4,000;0,164;0,209;0,141
SP00097;SP;4480,000;3320,000;1160,000;2831,000;7,000;0,247;0,365;0,211
SP00098;SP;5038,000;3701,000;1337,000;3156,000;6,000;0,190;0,313;0,162
SP00099;SP;4550,000;3344,000;1206,000;2841,000;3,000;0,106;0,156;0,090
SP00101;SP;8957,000;6780,000;2177,000;6001,000;4,000;0,067;0,209;0,059
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,052;0,035
SP00106;SP;4729,000;3001,000;1728,000;2772,000;2,000;0,072;0,104;0,067
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,052;0,020
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,052;0,027
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,104;0,043
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,052;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;3,000;0,041;0,156;0,037
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,052;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;4,000;0,076;0,209;0,071
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,052;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;3,000;0,054;0,156;0,050
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,052;0,036
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,052;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;3,000;0,058;0,156;0,053
SP00131;SP;5037,000;3622,000;1415,000;3345,000;4,000;0,120;0,209;0,110
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,052;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,052;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;4,000;0,067;0,209;0,058
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,104;0,040
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,052;0,047
SP00139;SP;7945,000;5514,000;2431,000;4905,000;6,000;0,122;0,313;0,109
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,052;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,052;0,031
SP00142;SP;4541,000;2990,000;1551,000;2638,000;4,000;0,152;0,209;0,134
SP00143;SP;8101,000;5686,000;2415,000;5122,000;3,000;0,059;0,156;0,053
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,052;0,025
SP00146;SP;7336,000;5404,000;1932,000;4752,000;5,000;0,105;0,261;0,093
SP00149;SP;3452,000;2590,000;862,000;2234,000;4,000;0,179;0,209;0,154
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,052;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,052;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,052;0,017
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,052;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,052;0,037
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,052;0,028
SP00189;SP;5717,000;3833,000;1884,000;3381,000;3,000;0,089;0,156;0,078
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,052;0,016
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,052;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,104;0,032
