CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,262;0,019
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,262;0,052
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,262;0,026
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,524;0,033
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,262;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,262;0,019
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,262;0,043
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,262;0,023
SP00321;SP;4314,000;3059,000;1255,000;2771,000;2,000;0,072;0,524;0,065
SP00322;SP;8258,000;5548,000;2710,000;4975,000;3,000;0,060;0,785;0,054
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,262;0,037
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,262;0,032
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,262;0,078
SP00335;SP;4066,000;2940,000;1126,000;2443,000;1,000;0,041;0,262;0,034
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,262;0,032
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,262;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,262;0,024
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,524;0,037
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,262;0,029
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,262;0,030
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,262;0,014
SP00508;SP;5317,000;3827,000;1490,000;3334,000;2,000;0,060;0,524;0,052
SP00530;SP;1521,000;1164,000;357,000;979,000;1,000;0,102;0,262;0,086
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,262;0,027
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,262;0,016
SP00657;SP;6658,000;4729,000;1929,000;4302,000;1,000;0,023;0,262;0,021
SP00668;SP;5384,000;3806,000;1578,000;3465,000;1,000;0,029;0,262;0,026
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,262;0,015
SP00803;SP;3495,000;2525,000;970,000;2040,000;2,000;0,098;0,524;0,079
