CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,159;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,159;0,024
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,159;0,017
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,159;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,159;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,477;0,094
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,159;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,159;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,159;0,028
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,159;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;4,000;0,124;0,636;0,104
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,159;0,008
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,159;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,159;0,031
SP00035;SP;5608,000;3859,000;1749,000;3432,000;33,000;0,962;5,246;0,855
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,318;0,042
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,318;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,318;0,046
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,159;0,034
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,159;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,159;0,039
SP00048;SP;5609,000;4361,000;1248,000;4021,000;3,000;0,075;0,477;0,069
SP00052;SP;5165,000;3133,000;2032,000;2746,000;2,000;0,073;0,318;0,064
SP00053;SP;6007,000;3594,000;2413,000;3140,000;3,000;0,096;0,477;0,083
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,159;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,159;0,019
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,318;0,056
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,159;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,159;0,025
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,159;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,159;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;3,000;0,110;0,477;0,097
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,159;0,010
SP00075;SP;2374,000;1530,000;844,000;1347,000;3,000;0,223;0,477;0,196
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,159;0,031
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,159;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,159;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,159;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,159;0,018
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,318;0,071
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,159;0,020
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,159;0,044
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,159;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;3,000;0,041;0,477;0,037
SP00124;SP;5471,000;3750,000;1721,000;3417,000;2,000;0,059;0,318;0,053
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,159;0,017
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,159;0,015
SP00140;SP;5793,000;3889,000;1904,000;3467,000;2,000;0,058;0,318;0,051
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,159;0,025
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,159;0,019
SP00147;SP;7272,000;5483,000;1789,000;5016,000;2,000;0,040;0,318;0,036
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,159;0,016
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,318;0,059
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,159;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,159;0,014
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,159;0,044
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,159;0,078
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;0,318;0,066
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,159;0,029
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,159;0,080
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,159;0,039
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,159;0,034
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,159;0,052
SP00226;SP;6504,000;4681,000;1823,000;3905,000;1,000;0,026;0,159;0,021
SP00248;SP;2993,000;2193,000;800,000;1833,000;2,000;0,109;0,318;0,091
SP00257;SP;5556,000;4081,000;1475,000;3166,000;5,000;0,158;0,795;0,123
SP00258;SP;2237,000;1521,000;716,000;1192,000;3,000;0,252;0,477;0,197
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,159;0,025
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,159;0,012
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,159;0,030
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,159;0,058
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;0,318;0,055
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,159;0,032
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,159;0,024
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,159;0,042
SP00315;SP;5861,000;4276,000;1585,000;3850,000;4,000;0,104;0,636;0,094
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,159;0,015
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;0,318;0,073
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,159;0,035
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,159;0,078
SP00340;SP;3747,000;2675,000;1072,000;2391,000;2,000;0,084;0,318;0,075
SP00341;SP;3178,000;2297,000;881,000;2077,000;2,000;0,096;0,318;0,087
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,159;0,027
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,159;0,027
SP00345;SP;7886,000;5416,000;2470,000;4892,000;3,000;0,061;0,477;0,055
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,159;0,043
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,159;0,030
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,159;0,055
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,159;0,068
SP00363;SP;6587,000;4335,000;2252,000;4017,000;3,000;0,075;0,477;0,069
SP00365;SP;5757,000;3680,000;2077,000;3504,000;1,000;0,029;0,159;0,027
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,159;0,049
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,159;0,034
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,159;0,018
SP00371;SP;7513,000;5272,000;2241,000;4897,000;7,000;0,143;1,113;0,133
SP00372;SP;5891,000;3989,000;1902,000;3708,000;9,000;0,243;1,431;0,226
SP00373;SP;5182,000;3550,000;1632,000;3328,000;5,000;0,150;0,795;0,141
