CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,067;0,045
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,045;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,022;0,028
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,045;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;4,000;0,079;0,090;0,070
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,022;0,016
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,067;0,094
SP00018;SP;5238,000;3256,000;1982,000;2906,000;3,000;0,103;0,067;0,092
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,045;0,189
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,022;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,022;0,026
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,022;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,022;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;0,112;0,040
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;0,045;0,104
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,022;0,023
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,045;0,042
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,045;0,079
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,067;0,049
SP00053;SP;6007,000;3594,000;2413,000;3140,000;3,000;0,096;0,067;0,083
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,045;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;3,000;0,064;0,067;0,056
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,045;0,055
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,022;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;2,000;0,056;0,045;0,048
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,045;0,067
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,022;0,055
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,022;0,043
SP00066;SP;2941,000;1926,000;1015,000;1623,000;3,000;0,185;0,067;0,156
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,022;0,024
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,022;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;0,045;0,054
SP00078;SP;6145,000;4471,000;1674,000;4014,000;4,000;0,100;0,090;0,089
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,022;0,031
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,022;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,022;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,022;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;3,000;0,081;0,067;0,072
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,022;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,045;0,043
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,022;0,018
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,022;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;3,000;0,064;0,067;0,056
