CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,441;0,024
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,441;0,032
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,441;0,030
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,441;0,041
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,441;0,020
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,441;0,050
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,441;0,056
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,441;0,023
SP00402;SP;4338,000;3200,000;1138,000;2741,000;3,000;0,109;1,322;0,094
SP00403;SP;6930,000;5024,000;1906,000;4268,000;2,000;0,047;0,881;0,040
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,441;0,036
SP00409;SP;5537,000;4146,000;1391,000;3428,000;3,000;0,088;1,322;0,072
SP00413;SP;5079,000;3987,000;1092,000;3298,000;3,000;0,091;1,322;0,075
SP00416;SP;1565,000;1172,000;393,000;969,000;1,000;0,103;0,441;0,085
SP00441;SP;4817,000;3411,000;1406,000;2965,000;1,000;0,034;0,441;0,029
SP00453;SP;1256,000;908,000;348,000;767,000;2,000;0,261;0,881;0,220
SP00804;SP;1445,000;1087,000;358,000;869,000;1,000;0,115;0,441;0,092
SP00811;SP;4790,000;3322,000;1468,000;2896,000;1,000;0,035;0,441;0,030
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,441;0,022
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,441;0,043
SP00821;SP;3156,000;2353,000;803,000;2019,000;1,000;0,050;0,441;0,042
SP00843;SP;5641,000;3932,000;1709,000;3203,000;1,000;0,031;0,441;0,025
SP00846;SP;7352,000;5299,000;2053,000;4323,000;5,000;0,116;2,203;0,094
SP00848;SP;5251,000;3634,000;1617,000;3006,000;1,000;0,033;0,441;0,028
SP00851;SP;5695,000;3897,000;1798,000;3271,000;2,000;0,061;0,881;0,051
SP00855;SP;3058,000;2169,000;889,000;1851,000;1,000;0,054;0,441;0,046
SP00861;SP;3884,000;2990,000;894,000;2383,000;2,000;0,084;0,881;0,067
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;0,441;0,025
SP01058;SP;5074,000;3597,000;1477,000;3098,000;2,000;0,065;0,881;0,056
SP01061;SP;4129,000;2950,000;1179,000;2515,000;1,000;0,040;0,441;0,034
SP01070;SP;3112,000;2381,000;731,000;2017,000;2,000;0,099;0,881;0,084
SP01081;SP;4604,000;3442,000;1162,000;2917,000;1,000;0,034;0,441;0,029
SP01085;SP;3957,000;3131,000;826,000;2527,000;1,000;0,040;0,441;0,032
SP01088;SP;889,000;723,000;166,000;623,000;2,000;0,321;0,881;0,277
SP01127;SP;7942,000;5676,000;2266,000;4893,000;1,000;0,020;0,441;0,018
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;0,441;0,025
SP01133;SP;5893,000;4168,000;1725,000;3571,000;1,000;0,028;0,441;0,024
SP01146;SP;4300,000;3212,000;1088,000;2676,000;1,000;0,037;0,441;0,031
SP01177;SP;4264,000;3029,000;1235,000;2602,000;1,000;0,038;0,441;0,033
SP01189;SP;5883,000;4012,000;1871,000;3366,000;1,000;0,030;0,441;0,025
SP01190;SP;5137,000;3599,000;1538,000;3067,000;2,000;0,065;0,881;0,056
