CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,040;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,040;0,019
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,040;0,023
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,040;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,040;0,008
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,040;0,023
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,040;0,027
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,040;0,025
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,040;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,040;0,017
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,040;0,020
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,040;0,021
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,040;0,035
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,040;0,030
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,040;0,035
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,080;0,039
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,080;0,040
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,040;0,047
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,040;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;5,000;0,144;0,201;0,129
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,040;0,018
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,040;0,019
SP00148;SP;4985,000;3706,000;1279,000;3293,000;2,000;0,061;0,080;0,054
SP00150;SP;2320,000;1742,000;578,000;1615,000;2,000;0,124;0,080;0,115
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,040;0,019
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,040;0,018
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,040;0,020
SP00222;SP;5627,000;4034,000;1593,000;3525,000;2,000;0,057;0,080;0,050
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,040;0,030
