CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,730;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,730;0,034
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,730;0,017
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,730;0,021
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,730;0,037
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,730;0,028
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,730;0,011
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,730;0,018
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,730;0,033
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,730;0,042
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,730;0,021
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,730;0,020
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;0,730;0,046
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,730;0,020
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,730;0,028
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,730;0,033
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,730;0,024
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,730;0,020
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,730;0,027
SP00429;SP;5111,000;3592,000;1519,000;3236,000;2,000;0,062;1,460;0,056
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,730;0,029
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,730;0,027
SP00453;SP;1256,000;908,000;348,000;767,000;1,000;0,130;0,730;0,110
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,730;0,027
SP00607;SP;2771,000;2166,000;605,000;1868,000;1,000;0,054;0,730;0,046
SP00618;SP;5671,000;3944,000;1727,000;3400,000;1,000;0,029;0,730;0,025
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,730;0,021
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,730;0,027
SP00893;SP;4866,000;3614,000;1252,000;3170,000;1,000;0,032;0,730;0,028
SP00926;SP;5575,000;3935,000;1640,000;3387,000;1,000;0,030;0,730;0,025
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;0,730;0,016
SP01013;SP;5581,000;4094,000;1487,000;3585,000;1,000;0,028;0,730;0,024
SP01015;SP;5212,000;3695,000;1517,000;3226,000;1,000;0,031;0,730;0,027
SP01021;SP;5856,000;4048,000;1808,000;3411,000;3,000;0,088;2,190;0,074
SP01022;SP;7237,000;5347,000;1890,000;4505,000;2,000;0,044;1,460;0,037
SP01029;SP;3145,000;2379,000;766,000;1989,000;2,000;0,101;1,460;0,084
SP01033;SP;4681,000;3640,000;1041,000;3143,000;3,000;0,095;2,190;0,082
SP01034;SP;3909,000;2923,000;986,000;2528,000;3,000;0,119;2,190;0,103
SP01040;SP;3542,000;2624,000;918,000;2319,000;2,000;0,086;1,460;0,076
SP01053;SP;5114,000;3307,000;1807,000;2816,000;7,000;0,249;5,109;0,212
SP01055;SP;5802,000;4170,000;1632,000;3541,000;1,000;0,028;0,730;0,024
SP01056;SP;6196,000;4361,000;1835,000;3772,000;1,000;0,027;0,730;0,023
SP01057;SP;6658,000;5029,000;1629,000;4330,000;3,000;0,069;2,190;0,060
SP01058;SP;5074,000;3597,000;1477,000;3098,000;2,000;0,065;1,460;0,056
SP01059;SP;5785,000;4403,000;1382,000;3766,000;2,000;0,053;1,460;0,045
SP01060;SP;5345,000;3929,000;1416,000;3417,000;5,000;0,146;3,650;0,127
SP01063;SP;4282,000;3023,000;1259,000;2516,000;2,000;0,079;1,460;0,066
SP01064;SP;6076,000;4508,000;1568,000;3796,000;3,000;0,079;2,190;0,067
SP01067;SP;3428,000;2676,000;752,000;2228,000;1,000;0,045;0,730;0,037
SP01071;SP;1661,000;1297,000;364,000;1142,000;4,000;0,350;2,920;0,308
SP01073;SP;2744,000;2141,000;603,000;1865,000;2,000;0,107;1,460;0,093
