CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,217;0,016
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,217;0,028
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,217;0,065
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,217;0,024
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,217;0,020
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,217;0,019
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,217;0,027
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,217;0,021
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,217;0,019
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,217;0,036
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,217;0,021
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,217;0,031
SP00190;SP;9191,000;6215,000;2976,000;5565,000;3,000;0,054;0,651;0,048
SP00195;SP;3523,000;2306,000;1217,000;2013,000;8,000;0,397;1,735;0,347
SP00196;SP;3423,000;2500,000;923,000;2236,000;2,000;0,089;0,434;0,080
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,434;0,030
SP00200;SP;4987,000;3648,000;1339,000;3251,000;2,000;0,062;0,434;0,055
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,217;0,021
SP00207;SP;4643,000;3544,000;1099,000;3043,000;2,000;0,066;0,434;0,056
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;0,434;0,066
SP00211;SP;6388,000;4682,000;1706,000;4168,000;2,000;0,048;0,434;0,043
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,217;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;4,000;0,121;0,868;0,104
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,217;0,069
SP00310;SP;5928,000;4260,000;1668,000;3647,000;1,000;0,027;0,217;0,023
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,217;0,054
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,217;0,033
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,217;0,020
SP00406;SP;3867,000;2759,000;1108,000;2325,000;2,000;0,086;0,434;0,072
SP00411;SP;1750,000;1339,000;411,000;1163,000;2,000;0,172;0,434;0,149
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,217;0,022
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,217;0,033
SP00526;SP;3210,000;2393,000;817,000;2007,000;1,000;0,050;0,217;0,042
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,217;0,019
SP00598;SP;4844,000;3433,000;1411,000;2954,000;1,000;0,034;0,217;0,029
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,217;0,032
SP00695;SP;5738,000;3934,000;1804,000;3443,000;4,000;0,116;0,868;0,102
SP00726;SP;4468,000;3025,000;1443,000;2675,000;1,000;0,037;0,217;0,033
SP00729;SP;8105,000;5929,000;2176,000;5111,000;9,000;0,176;1,952;0,152
SP00730;SP;5502,000;4153,000;1349,000;3563,000;2,000;0,056;0,434;0,048
SP00731;SP;4685,000;3466,000;1219,000;3004,000;1,000;0,033;0,217;0,029
SP00732;SP;3768,000;2783,000;985,000;2391,000;4,000;0,167;0,868;0,144
SP00733;SP;6587,000;4986,000;1601,000;4131,000;2,000;0,048;0,434;0,040
SP00735;SP;5909,000;4419,000;1490,000;3878,000;2,000;0,052;0,434;0,045
SP00738;SP;8744,000;6776,000;1968,000;5693,000;6,000;0,105;1,302;0,089
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,217;0,033
SP00742;SP;5088,000;4001,000;1087,000;3393,000;3,000;0,088;0,651;0,075
SP00745;SP;4714,000;3481,000;1233,000;3072,000;2,000;0,065;0,434;0,057
SP00747;SP;4941,000;3778,000;1163,000;3217,000;2,000;0,062;0,434;0,053
SP00755;SP;2817,000;2116,000;701,000;1822,000;1,000;0,055;0,217;0,047
SP00756;SP;3235,000;2278,000;957,000;1971,000;5,000;0,254;1,085;0,219
SP00757;SP;3284,000;2523,000;761,000;2167,000;4,000;0,185;0,868;0,159
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;0,217;0,037
SP00760;SP;6093,000;4322,000;1771,000;3614,000;5,000;0,138;1,085;0,116
SP00761;SP;3317,000;2430,000;887,000;2099,000;1,000;0,048;0,217;0,041
SP00762;SP;4199,000;3275,000;924,000;2719,000;3,000;0,110;0,651;0,092
SP00763;SP;2894,000;2276,000;618,000;1887,000;5,000;0,265;1,085;0,220
SP00774;SP;7854,000;5792,000;2062,000;5026,000;3,000;0,060;0,651;0,052
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,217;0,020
SP00787;SP;2366,000;1797,000;569,000;1532,000;1,000;0,065;0,217;0,056
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,217;0,025
SP00808;SP;5967,000;4362,000;1605,000;3844,000;1,000;0,026;0,217;0,023
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,217;0,022
SP00835;SP;4136,000;2891,000;1245,000;2501,000;3,000;0,120;0,651;0,104
SP00873;SP;5220,000;3631,000;1589,000;3139,000;1,000;0,032;0,217;0,028
SP00901;SP;4411,000;3185,000;1226,000;2668,000;3,000;0,112;0,651;0,094
SP00907;SP;3598,000;2756,000;842,000;2283,000;1,000;0,044;0,217;0,036
SP00913;SP;3776,000;2897,000;879,000;2382,000;4,000;0,168;0,868;0,138
SP00916;SP;1311,000;995,000;316,000;820,000;1,000;0,122;0,217;0,101
SP00921;SP;1221,000;862,000;359,000;673,000;1,000;0,149;0,217;0,116
SP00936;SP;6913,000;5008,000;1905,000;4173,000;1,000;0,024;0,217;0,020
SP00937;SP;5631,000;4138,000;1493,000;3493,000;1,000;0,029;0,217;0,024
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,217;0,020
SP00942;SP;6510,000;5027,000;1483,000;4307,000;1,000;0,023;0,217;0,020
SP00945;SP;6631,000;4923,000;1708,000;4190,000;1,000;0,024;0,217;0,020
SP00951;SP;6758,000;5122,000;1636,000;4246,000;1,000;0,024;0,217;0,020
SP00953;SP;6513,000;4880,000;1633,000;4005,000;1,000;0,025;0,217;0,020
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,217;0,030
SP00959;SP;7126,000;5108,000;2018,000;4199,000;5,000;0,119;1,085;0,098
SP00961;SP;1021,000;668,000;353,000;532,000;2,000;0,376;0,434;0,299
SP00975;SP;5925,000;4068,000;1857,000;3551,000;1,000;0,028;0,217;0,025
SP00983;SP;4483,000;3313,000;1170,000;2925,000;1,000;0,034;0,217;0,030
SP01000;SP;5650,000;4018,000;1632,000;3607,000;1,000;0,028;0,217;0,025
SP01106;SP;8626,000;6096,000;2530,000;4992,000;2,000;0,040;0,434;0,033
SP01110;SP;3484,000;2522,000;962,000;2110,000;1,000;0,047;0,217;0,040
SP01124;SP;6479,000;4476,000;2003,000;3780,000;1,000;0,026;0,217;0,022
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;0,217;0,025
SP01138;SP;3414,000;2601,000;813,000;2219,000;1,000;0,045;0,217;0,038
SP01151;SP;692,000;530,000;162,000;435,000;1,000;0,230;0,217;0,189
SP01168;SP;5911,000;4089,000;1822,000;3473,000;1,000;0,029;0,217;0,024
SP01177;SP;4264,000;3029,000;1235,000;2602,000;1,000;0,038;0,217;0,033
SP01184;SP;4359,000;3297,000;1062,000;2764,000;1,000;0,036;0,217;0,030
SP01271;SP;3998,000;2821,000;1177,000;2451,000;3,000;0,122;0,651;0,106
SP01273;SP;6832,000;4837,000;1995,000;4051,000;4,000;0,099;0,868;0,083
SP01274;SP;6482,000;4544,000;1938,000;3933,000;1,000;0,025;0,217;0,022
SP01275;SP;8215,000;5845,000;2370,000;4919,000;1,000;0,020;0,217;0,017
SP01276;SP;5814,000;4245,000;1569,000;3567,000;6,000;0,168;1,302;0,141
SP01277;SP;5451,000;4180,000;1271,000;3551,000;2,000;0,056;0,434;0,048
SP01278;SP;6124,000;4326,000;1798,000;3583,000;1,000;0,028;0,217;0,023
SP01280;SP;5845,000;4462,000;1383,000;3757,000;4,000;0,106;0,868;0,090
SP01281;SP;6196,000;4845,000;1351,000;4089,000;2,000;0,049;0,434;0,041
SP01282;SP;8652,000;6512,000;2140,000;5430,000;3,000;0,055;0,651;0,046
SP01286;SP;5329,000;4185,000;1144,000;3573,000;1,000;0,028;0,217;0,024
SP01287;SP;4630,000;3599,000;1031,000;3061,000;1,000;0,033;0,217;0,028
SP01288;SP;3628,000;2787,000;841,000;2393,000;2,000;0,084;0,434;0,072
SP01289;SP;8261,000;6336,000;1925,000;5214,000;11,000;0,211;2,386;0,174
SP01290;SP;5911,000;4545,000;1366,000;3870,000;2,000;0,052;0,434;0,044
SP01291;SP;2147,000;1685,000;462,000;1455,000;2,000;0,137;0,434;0,119
SP01292;SP;5775,000;4372,000;1403,000;3718,000;3,000;0,081;0,651;0,069
SP01293;SP;8374,000;6450,000;1924,000;5532,000;2,000;0,036;0,434;0,031
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;0,217;0,024
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;0,217;0,025
SP01298;SP;4397,000;3285,000;1112,000;2749,000;1,000;0,036;0,217;0,030
SP01300;SP;3153,000;2400,000;753,000;2048,000;1,000;0,049;0,217;0,042
SP01306;SP;10069,000;7542,000;2527,000;6154,000;2,000;0,032;0,434;0,027
SP01307;SP;5091,000;3887,000;1204,000;3217,000;6,000;0,187;1,302;0,154
SP01309;SP;3292,000;2582,000;710,000;2150,000;3,000;0,140;0,651;0,116
SP01310;SP;5036,000;3741,000;1295,000;3075,000;1,000;0,033;0,217;0,027
SP01313;SP;5646,000;4362,000;1284,000;3544,000;1,000;0,028;0,217;0,023
SP01314;SP;4826,000;3450,000;1376,000;2922,000;2,000;0,068;0,434;0,058
SP01315;SP;5836,000;4110,000;1726,000;3568,000;1,000;0,028;0,217;0,024
SP01317;SP;7496,000;5230,000;2266,000;4360,000;3,000;0,069;0,651;0,057
SP01318;SP;5897,000;4085,000;1812,000;3426,000;1,000;0,029;0,217;0,024
SP01320;SP;8209,000;6019,000;2190,000;5015,000;5,000;0,100;1,085;0,083
SP01323;SP;6741,000;5078,000;1663,000;4301,000;2,000;0,047;0,434;0,039
SP01325;SP;2946,000;2309,000;637,000;1970,000;1,000;0,051;0,217;0,043
SP01327;SP;5676,000;4019,000;1657,000;3252,000;1,000;0,031;0,217;0,025
SP01329;SP;3596,000;2704,000;892,000;2290,000;1,000;0,044;0,217;0,037
SP01330;SP;7538,000;5905,000;1633,000;5127,000;1,000;0,020;0,217;0,017
SP01332;SP;5043,000;3673,000;1370,000;3047,000;1,000;0,033;0,217;0,027
SP01333;SP;8821,000;6398,000;2423,000;5220,000;3,000;0,057;0,651;0,047
SP01334;SP;5470,000;3996,000;1474,000;3334,000;3,000;0,090;0,651;0,075
SP01335;SP;7407,000;5504,000;1903,000;4414,000;1,000;0,023;0,217;0,018
SP01338;SP;10511,000;7553,000;2958,000;6278,000;3,000;0,048;0,651;0,040
SP01339;SP;6726,000;4990,000;1736,000;3954,000;1,000;0,025;0,217;0,020
SP01344;SP;1994,000;1507,000;487,000;1250,000;1,000;0,080;0,217;0,066
SP01345;SP;3443,000;2632,000;811,000;2198,000;6,000;0,273;1,302;0,228
SP01348;SP;3369,000;2354,000;1015,000;1888,000;4,000;0,212;0,868;0,170
SP01349;SP;7723,000;5766,000;1957,000;4646,000;1,000;0,022;0,217;0,017
SP01350;SP;8729,000;6265,000;2464,000;5053,000;2,000;0,040;0,434;0,032
SP01354;SP;7702,000;5819,000;1883,000;4593,000;3,000;0,065;0,651;0,052
SP01359;SP;839,000;573,000;266,000;457,000;1,000;0,219;0,217;0,175
SP01361;SP;7818,000;5512,000;2306,000;4598,000;2,000;0,043;0,434;0,036
SP01365;SP;4472,000;3176,000;1296,000;2649,000;1,000;0,038;0,217;0,031
SP01366;SP;6944,000;5099,000;1845,000;4243,000;8,000;0,189;1,735;0,157
SP01367;SP;4323,000;3020,000;1303,000;2537,000;1,000;0,039;0,217;0,033
SP01370;SP;6243,000;4702,000;1541,000;3926,000;1,000;0,025;0,217;0,021
SP01372;SP;2774,000;2111,000;663,000;1744,000;1,000;0,057;0,217;0,047
SP01373;SP;6512,000;4729,000;1783,000;3906,000;2,000;0,051;0,434;0,042
SP01375;SP;4586,000;3582,000;1004,000;2958,000;4,000;0,135;0,868;0,112
SP01377;SP;6246,000;4413,000;1833,000;3586,000;2,000;0,056;0,434;0,045
SP01379;SP;1511,000;1006,000;505,000;829,000;1,000;0,121;0,217;0,099
SP01380;SP;6398,000;4752,000;1646,000;3983,000;1,000;0,025;0,217;0,021
SP01387;SP;3279,000;2548,000;731,000;2113,000;1,000;0,047;0,217;0,039
SP01388;SP;4349,000;3282,000;1067,000;2705,000;2,000;0,074;0,434;0,061
SP01389;SP;5537,000;3939,000;1598,000;3325,000;1,000;0,030;0,217;0,025
SP01391;SP;5920,000;4493,000;1427,000;3657,000;1,000;0,027;0,217;0,022
SP01393;SP;4576,000;3329,000;1247,000;2824,000;1,000;0,035;0,217;0,030
SP01395;SP;5978,000;4264,000;1714,000;3711,000;1,000;0,027;0,217;0,023
SP01422;SP;3948,000;3053,000;895,000;2612,000;1,000;0,038;0,217;0,033
SP01426;SP;4324,000;3303,000;1021,000;2818,000;1,000;0,035;0,217;0,030
SP01427;SP;13842,000;9705,000;4137,000;8556,000;1,000;0,012;0,217;0,010
SP01461;SP;6903,000;5217,000;1686,000;4301,000;1,000;0,023;0,217;0,019
SP01517;SP;8843,000;6741,000;2102,000;5697,000;6,000;0,105;1,302;0,089
SP01518;SP;6543,000;4968,000;1575,000;4096,000;3,000;0,073;0,651;0,060
SP01519;SP;3483,000;2615,000;868,000;2225,000;1,000;0,045;0,217;0,038
SP01520;SP;4453,000;3273,000;1180,000;2709,000;1,000;0,037;0,217;0,031
SP01521;SP;6526,000;4864,000;1662,000;4159,000;9,000;0,216;1,952;0,185
SP01524;SP;6877,000;5256,000;1621,000;4395,000;12,000;0,273;2,603;0,228
SP01526;SP;5784,000;4463,000;1321,000;3807,000;7,000;0,184;1,518;0,157
SP01527;SP;5330,000;3896,000;1434,000;3210,000;7,000;0,218;1,518;0,180
SP01529;SP;8092,000;6107,000;1985,000;5030,000;2,000;0,040;0,434;0,033
SP01530;SP;4997,000;3947,000;1050,000;3258,000;3,000;0,092;0,651;0,076
SP01532;SP;6761,000;4811,000;1950,000;3976,000;1,000;0,025;0,217;0,021
SP01533;SP;7786,000;5910,000;1876,000;5039,000;10,000;0,198;2,169;0,169
SP01534;SP;4049,000;2999,000;1050,000;2548,000;5,000;0,196;1,085;0,167
SP01535;SP;4410,000;3225,000;1185,000;2671,000;1,000;0,037;0,217;0,031
SP01536;SP;6545,000;4984,000;1561,000;4185,000;7,000;0,167;1,518;0,140
SP01537;SP;6049,000;4677,000;1372,000;3878,000;4,000;0,103;0,868;0,086
SP01543;SP;6952,000;5280,000;1672,000;4396,000;3,000;0,068;0,651;0,057
SP01546;SP;4679,000;3573,000;1106,000;3012,000;4,000;0,133;0,868;0,112
SP01547;SP;2943,000;2176,000;767,000;1791,000;1,000;0,056;0,217;0,046
SP01548;SP;5863,000;4587,000;1276,000;3782,000;3,000;0,079;0,651;0,065
SP01549;SP;4270,000;3162,000;1108,000;2619,000;1,000;0,038;0,217;0,032
SP01551;SP;3659,000;2697,000;962,000;2171,000;9,000;0,415;1,952;0,334
