CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,641;0,023
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,641;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,641;0,036
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,641;0,069
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,641;0,010
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;1,282;0,033
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,641;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,641;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,641;0,015
SP00134;SP;5615,000;3841,000;1774,000;3504,000;2,000;0,057;1,282;0,052
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;1,282;0,031
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,641;0,020
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,641;0,018
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,641;0,018
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,641;0,028
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,641;0,025
SP00212;SP;5586,000;4124,000;1462,000;3719,000;4,000;0,108;2,564;0,097
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,641;0,034
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,641;0,021
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,641;0,021
SP00294;SP;5157,000;3659,000;1498,000;3309,000;2,000;0,060;1,282;0,055
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,641;0,042
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,641;0,030
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,641;0,024
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,641;0,020
SP00505;SP;2185,000;1532,000;653,000;1335,000;1,000;0,075;0,641;0,065
SP00561;SP;4720,000;3508,000;1212,000;2955,000;1,000;0,034;0,641;0,029
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,641;0,033
SP00596;SP;3534,000;2596,000;938,000;2206,000;1,000;0,045;0,641;0,039
SP00604;SP;3537,000;2594,000;943,000;2222,000;1,000;0,045;0,641;0,039
SP00605;SP;4399,000;3458,000;941,000;2999,000;1,000;0,033;0,641;0,029
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;0,641;0,023
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,641;0,018
SP00632;SP;9851,000;7134,000;2717,000;6537,000;1,000;0,015;0,641;0,014
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,641;0,041
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,641;0,038
SP00650;SP;4689,000;3535,000;1154,000;3191,000;2,000;0,063;1,282;0,057
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,641;0,032
SP00673;SP;3585,000;2570,000;1015,000;2364,000;1,000;0,042;0,641;0,039
SP00686;SP;9715,000;6586,000;3129,000;5733,000;2,000;0,035;1,282;0,030
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,641;0,027
SP00691;SP;2030,000;1356,000;674,000;1186,000;1,000;0,084;0,641;0,074
SP00705;SP;2464,000;1689,000;775,000;1474,000;1,000;0,068;0,641;0,059
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,641;0,028
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;0,641;0,024
SP00723;SP;5496,000;4095,000;1401,000;3502,000;1,000;0,029;0,641;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,641;0,017
SP00730;SP;5502,000;4153,000;1349,000;3563,000;1,000;0,028;0,641;0,024
SP00733;SP;6587,000;4986,000;1601,000;4131,000;5,000;0,121;3,205;0,100
SP00738;SP;8744,000;6776,000;1968,000;5693,000;4,000;0,070;2,564;0,059
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,641;0,033
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;0,641;0,026
SP00749;SP;1955,000;1539,000;416,000;1305,000;2,000;0,153;1,282;0,130
SP00755;SP;2817,000;2116,000;701,000;1822,000;5,000;0,274;3,205;0,236
SP00756;SP;3235,000;2278,000;957,000;1971,000;3,000;0,152;1,923;0,132
SP00758;SP;4241,000;3341,000;900,000;2876,000;2,000;0,070;1,282;0,060
SP00759;SP;3490,000;2694,000;796,000;2242,000;3,000;0,134;1,923;0,111
SP00760;SP;6093,000;4322,000;1771,000;3614,000;6,000;0,166;3,846;0,139
SP00761;SP;3317,000;2430,000;887,000;2099,000;2,000;0,095;1,282;0,082
SP00762;SP;4199,000;3275,000;924,000;2719,000;1,000;0,037;0,641;0,031
SP00764;SP;1319,000;1062,000;257,000;886,000;1,000;0,113;0,641;0,094
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,641;0,018
SP00768;SP;4292,000;2930,000;1362,000;2636,000;1,000;0,038;0,641;0,034
SP00769;SP;5078,000;3464,000;1614,000;3068,000;1,000;0,033;0,641;0,029
SP00790;SP;1404,000;1020,000;384,000;912,000;1,000;0,110;0,641;0,098
SP00799;SP;7792,000;5629,000;2163,000;4646,000;2,000;0,043;1,282;0,036
SP00814;SP;3409,000;2340,000;1069,000;2047,000;1,000;0,049;0,641;0,043
SP01086;SP;4668,000;3625,000;1043,000;3064,000;1,000;0,033;0,641;0,028
SP01097;SP;7641,000;5404,000;2237,000;4710,000;2,000;0,042;1,282;0,037
SP01125;SP;3476,000;2517,000;959,000;2129,000;1,000;0,047;0,641;0,040
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;0,641;0,026
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,641;0,027
SP01153;SP;12021,000;8675,000;3346,000;7258,000;2,000;0,028;1,282;0,023
SP01158;SP;6016,000;4357,000;1659,000;3658,000;1,000;0,027;0,641;0,023
SP01168;SP;5911,000;4089,000;1822,000;3473,000;1,000;0,029;0,641;0,024
SP01276;SP;5814,000;4245,000;1569,000;3567,000;4,000;0,112;2,564;0,094
SP01285;SP;4343,000;3311,000;1032,000;2805,000;1,000;0,036;0,641;0,030
SP01292;SP;5775,000;4372,000;1403,000;3718,000;1,000;0,027;0,641;0,023
SP01294;SP;5309,000;4157,000;1152,000;3488,000;1,000;0,029;0,641;0,024
SP01305;SP;3647,000;2691,000;956,000;2223,000;1,000;0,045;0,641;0,037
SP01307;SP;5091,000;3887,000;1204,000;3217,000;1,000;0,031;0,641;0,026
SP01309;SP;3292,000;2582,000;710,000;2150,000;1,000;0,047;0,641;0,039
SP01441;SP;6375,000;4340,000;2035,000;3561,000;1,000;0,028;0,641;0,023
SP01464;SP;4055,000;2968,000;1087,000;2449,000;1,000;0,041;0,641;0,034
SP01472;SP;3226,000;2317,000;909,000;1968,000;1,000;0,051;0,641;0,043
SP01517;SP;8843,000;6741,000;2102,000;5697,000;4,000;0,070;2,564;0,059
SP01520;SP;4453,000;3273,000;1180,000;2709,000;2,000;0,074;1,282;0,061
SP01523;SP;6929,000;5448,000;1481,000;4659,000;1,000;0,021;0,641;0,018
SP01524;SP;6877,000;5256,000;1621,000;4395,000;1,000;0,023;0,641;0,019
SP01526;SP;5784,000;4463,000;1321,000;3807,000;1,000;0,026;0,641;0,022
SP01527;SP;5330,000;3896,000;1434,000;3210,000;1,000;0,031;0,641;0,026
SP01534;SP;4049,000;2999,000;1050,000;2548,000;1,000;0,039;0,641;0,033
SP01537;SP;6049,000;4677,000;1372,000;3878,000;1,000;0,026;0,641;0,021
SP01538;SP;4587,000;3519,000;1068,000;2931,000;2,000;0,068;1,282;0,057
SP01546;SP;4679,000;3573,000;1106,000;3012,000;1,000;0,033;0,641;0,028
SP01548;SP;5863,000;4587,000;1276,000;3782,000;2,000;0,053;1,282;0,044
SP01568;SP;443,000;272,000;171,000;217,000;1,000;0,461;0,641;0,368
SP01619;SP;6560,000;4738,000;1822,000;3972,000;1,000;0,025;0,641;0,021
SP01637;SP;1545,000;1206,000;339,000;1011,000;2,000;0,198;1,282;0,166
SP01740;SP;5160,000;3900,000;1260,000;3207,000;1,000;0,031;0,641;0,026
SP01752;SP;5109,000;3572,000;1537,000;2956,000;1,000;0,034;0,641;0,028
SP01868;SP;4200,000;3182,000;1018,000;2758,000;1,000;0,036;0,641;0,031
SP01869;SP;5661,000;4238,000;1423,000;3691,000;1,000;0,027;0,641;0,024
SP01881;SP;7339,000;5302,000;2037,000;4562,000;2,000;0,044;1,282;0,038
SP01916;SP;6631,000;4767,000;1864,000;4053,000;1,000;0,025;0,641;0,021
SP01984;SP;1613,000;1217,000;396,000;1072,000;2,000;0,187;1,282;0,164
SP01993;SP;5680,000;4331,000;1349,000;3584,000;1,000;0,028;0,641;0,023
