CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,202;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,202;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,202;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,202;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,202;0,008
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,202;0,018
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,202;0,046
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,202;0,034
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,202;0,029
SP00069;SP;2939,000;2032,000;907,000;1793,000;3,000;0,167;0,605;0,148
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,202;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,202;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,202;0,015
SP00143;SP;8101,000;5686,000;2415,000;5122,000;3,000;0,059;0,605;0,053
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,202;0,021
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,202;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,202;0,018
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,202;0,023
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,202;0,033
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,202;0,028
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,202;0,180
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,202;0,030
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,202;0,015
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,202;0,021
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,202;0,131
SP00216;SP;2036,000;1558,000;478,000;1384,000;1,000;0,072;0,202;0,064
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,202;0,039
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,202;0,027
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,202;0,032
SP00236;SP;4570,000;3488,000;1082,000;2996,000;2,000;0,067;0,403;0,057
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,202;0,042
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,202;0,032
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,202;0,035
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,202;0,020
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,202;0,012
SP00268;SP;6330,000;4415,000;1915,000;3742,000;2,000;0,053;0,403;0,045
SP00269;SP;4567,000;3317,000;1250,000;2813,000;2,000;0,071;0,403;0,060
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,202;0,044
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,202;0,063
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,202;0,056
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,202;0,031
SP00313;SP;5494,000;4051,000;1443,000;3634,000;3,000;0,083;0,605;0,074
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,202;0,023
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,202;0,067
SP00327;SP;1859,000;1362,000;497,000;1164,000;1,000;0,086;0,202;0,073
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,202;0,044
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,202;0,020
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,202;0,056
SP00399;SP;4200,000;2969,000;1231,000;2600,000;1,000;0,038;0,202;0,034
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,202;0,031
SP00403;SP;6930,000;5024,000;1906,000;4268,000;4,000;0,094;0,806;0,080
SP00406;SP;3867,000;2759,000;1108,000;2325,000;6,000;0,258;1,210;0,217
SP00407;SP;4191,000;3035,000;1156,000;2536,000;2,000;0,079;0,403;0,066
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;0,403;0,039
SP00409;SP;5537,000;4146,000;1391,000;3428,000;10,000;0,292;2,016;0,241
SP00410;SP;1624,000;1232,000;392,000;1026,000;4,000;0,390;0,806;0,325
SP00413;SP;5079,000;3987,000;1092,000;3298,000;2,000;0,061;0,403;0,050
SP00434;SP;5194,000;3618,000;1576,000;3183,000;2,000;0,063;0,403;0,055
SP00435;SP;7037,000;5280,000;1757,000;4647,000;3,000;0,065;0,605;0,057
SP00447;SP;4015,000;3076,000;939,000;2611,000;1,000;0,038;0,202;0,033
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,202;0,026
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,202;0,050
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;0,202;0,021
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,202;0,019
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,202;0,021
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,202;0,030
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,202;0,018
SP00564;SP;6019,000;4389,000;1630,000;3561,000;1,000;0,028;0,202;0,023
SP00586;SP;2592,000;1953,000;639,000;1703,000;1,000;0,059;0,202;0,051
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,202;0,013
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,202;0,018
SP00630;SP;5514,000;3774,000;1740,000;3466,000;3,000;0,087;0,605;0,079
SP00631;SP;2522,000;1571,000;951,000;1400,000;1,000;0,071;0,202;0,064
SP00632;SP;9851,000;7134,000;2717,000;6537,000;2,000;0,031;0,403;0,028
SP00635;SP;5917,000;4054,000;1863,000;3591,000;1,000;0,028;0,202;0,025
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,202;0,016
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,202;0,021
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,202;0,039
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,202;0,020
SP00651;SP;4603,000;3022,000;1581,000;2669,000;3,000;0,112;0,605;0,099
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,202;0,030
SP00653;SP;9758,000;6871,000;2887,000;6317,000;1,000;0,016;0,202;0,015
SP00657;SP;6658,000;4729,000;1929,000;4302,000;2,000;0,046;0,403;0,042
SP00664;SP;4189,000;2951,000;1238,000;2669,000;2,000;0,075;0,403;0,068
SP00679;SP;4304,000;3017,000;1287,000;2683,000;2,000;0,075;0,403;0,066
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,202;0,012
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,202;0,036
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,202;0,024
SP00732;SP;3768,000;2783,000;985,000;2391,000;1,000;0,042;0,202;0,036
SP00733;SP;6587,000;4986,000;1601,000;4131,000;1,000;0,024;0,202;0,020
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;0,202;0,023
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,202;0,021
SP00739;SP;1868,000;1437,000;431,000;1249,000;1,000;0,080;0,202;0,070
SP00760;SP;6093,000;4322,000;1771,000;3614,000;1,000;0,028;0,202;0,023
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,202;0,018
SP00767;SP;6440,000;4457,000;1983,000;3930,000;1,000;0,025;0,202;0,022
SP00769;SP;5078,000;3464,000;1614,000;3068,000;2,000;0,065;0,403;0,058
SP00771;SP;7436,000;5164,000;2272,000;4500,000;1,000;0,022;0,202;0,019
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;0,202;0,021
SP00777;SP;5853,000;4038,000;1815,000;3381,000;1,000;0,030;0,202;0,025
SP00778;SP;7392,000;5180,000;2212,000;4241,000;4,000;0,094;0,806;0,077
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,202;0,052
SP00794;SP;5472,000;4057,000;1415,000;3352,000;1,000;0,030;0,202;0,025
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,202;0,038
SP00799;SP;7792,000;5629,000;2163,000;4646,000;1,000;0,022;0,202;0,018
SP00800;SP;5404,000;4006,000;1398,000;3410,000;1,000;0,029;0,202;0,025
SP00803;SP;3495,000;2525,000;970,000;2040,000;1,000;0,049;0,202;0,040
SP00833;SP;5058,000;3636,000;1422,000;3107,000;3,000;0,097;0,605;0,083
SP00842;SP;6278,000;4306,000;1972,000;3669,000;1,000;0,027;0,202;0,023
SP00843;SP;5641,000;3932,000;1709,000;3203,000;1,000;0,031;0,202;0,025
SP00846;SP;7352,000;5299,000;2053,000;4323,000;1,000;0,023;0,202;0,019
SP00847;SP;4082,000;3056,000;1026,000;2550,000;1,000;0,039;0,202;0,033
SP00855;SP;3058,000;2169,000;889,000;1851,000;3,000;0,162;0,605;0,138
SP00856;SP;6062,000;4538,000;1524,000;3805,000;1,000;0,026;0,202;0,022
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;0,202;0,022
SP00860;SP;3076,000;2411,000;665,000;1994,000;1,000;0,050;0,202;0,041
SP00863;SP;3714,000;2835,000;879,000;2384,000;1,000;0,042;0,202;0,035
SP00865;SP;5331,000;4079,000;1252,000;3454,000;11,000;0,318;2,218;0,270
SP00872;SP;4150,000;2963,000;1187,000;2373,000;2,000;0,084;0,403;0,067
SP00875;SP;4489,000;3490,000;999,000;2842,000;2,000;0,070;0,403;0,057
SP00876;SP;4758,000;3686,000;1072,000;3039,000;7,000;0,230;1,411;0,190
SP00877;SP;2332,000;1762,000;570,000;1425,000;5,000;0,351;1,008;0,284
SP00879;SP;5137,000;3540,000;1597,000;2959,000;2,000;0,068;0,403;0,056
SP00880;SP;4156,000;3214,000;942,000;2672,000;1,000;0,037;0,202;0,031
SP00932;SP;3504,000;2674,000;830,000;2191,000;1,000;0,046;0,202;0,037
SP00937;SP;5631,000;4138,000;1493,000;3493,000;1,000;0,029;0,202;0,024
SP00947;SP;6568,000;4904,000;1664,000;4056,000;5,000;0,123;1,008;0,102
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,202;0,011
SP00956;SP;6086,000;4211,000;1875,000;3458,000;1,000;0,029;0,202;0,024
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;0,202;0,021
SP00960;SP;3791,000;2748,000;1043,000;2254,000;1,000;0,044;0,202;0,036
SP00961;SP;1021,000;668,000;353,000;532,000;1,000;0,188;0,202;0,150
SP00988;SP;5130,000;3838,000;1292,000;3440,000;1,000;0,029;0,202;0,026
SP00994;SP;3170,000;2321,000;849,000;2062,000;1,000;0,048;0,202;0,043
SP01021;SP;5856,000;4048,000;1808,000;3411,000;1,000;0,029;0,202;0,025
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,202;0,019
SP01030;SP;3473,000;2728,000;745,000;2337,000;1,000;0,043;0,202;0,037
SP01055;SP;5802,000;4170,000;1632,000;3541,000;1,000;0,028;0,202;0,024
SP01058;SP;5074,000;3597,000;1477,000;3098,000;1,000;0,032;0,202;0,028
SP01061;SP;4129,000;2950,000;1179,000;2515,000;1,000;0,040;0,202;0,034
SP01095;SP;5974,000;4274,000;1700,000;3630,000;1,000;0,028;0,202;0,023
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,202;0,025
SP01102;SP;3065,000;2033,000;1032,000;1773,000;3,000;0,169;0,605;0,148
SP01115;SP;2032,000;1606,000;426,000;1369,000;3,000;0,219;0,605;0,187
SP01134;SP;4563,000;3326,000;1237,000;2843,000;1,000;0,035;0,202;0,030
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;0,202;0,026
SP01169;SP;6535,000;4709,000;1826,000;3984,000;1,000;0,025;0,202;0,021
SP01183;SP;6376,000;4658,000;1718,000;4013,000;3,000;0,075;0,605;0,064
SP01190;SP;5137,000;3599,000;1538,000;3067,000;2,000;0,065;0,403;0,056
SP01199;SP;4561,000;3429,000;1132,000;2819,000;2,000;0,071;0,403;0,058
SP01200;SP;4925,000;3653,000;1272,000;2996,000;2,000;0,067;0,403;0,055
SP01206;SP;4510,000;3346,000;1164,000;2819,000;2,000;0,071;0,403;0,060
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,202;0,019
SP01211;SP;4601,000;3490,000;1111,000;2769,000;1,000;0,036;0,202;0,029
SP01212;SP;7434,000;5663,000;1771,000;4627,000;2,000;0,043;0,403;0,035
SP01213;SP;4450,000;3366,000;1084,000;2741,000;1,000;0,036;0,202;0,030
SP01214;SP;5318,000;3918,000;1400,000;3148,000;1,000;0,032;0,202;0,026
SP01216;SP;4894,000;3798,000;1096,000;2945,000;1,000;0,034;0,202;0,026
SP01223;SP;3886,000;2757,000;1129,000;2228,000;2,000;0,090;0,403;0,073
SP01246;SP;6332,000;4869,000;1463,000;4069,000;5,000;0,123;1,008;0,103
SP01276;SP;5814,000;4245,000;1569,000;3567,000;3,000;0,084;0,605;0,071
SP01280;SP;5845,000;4462,000;1383,000;3757,000;1,000;0,027;0,202;0,022
SP01285;SP;4343,000;3311,000;1032,000;2805,000;5,000;0,178;1,008;0,151
SP01291;SP;2147,000;1685,000;462,000;1455,000;2,000;0,137;0,403;0,119
SP01292;SP;5775,000;4372,000;1403,000;3718,000;1,000;0,027;0,202;0,023
SP01301;SP;2227,000;1757,000;470,000;1464,000;2,000;0,137;0,403;0,114
SP01303;SP;4518,000;3486,000;1032,000;2977,000;3,000;0,101;0,605;0,086
SP01305;SP;3647,000;2691,000;956,000;2223,000;4,000;0,180;0,806;0,149
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,202;0,030
SP01320;SP;8209,000;6019,000;2190,000;5015,000;1,000;0,020;0,202;0,017
SP01337;SP;5929,000;4445,000;1484,000;3629,000;1,000;0,028;0,202;0,022
SP01360;SP;4177,000;2805,000;1372,000;2337,000;1,000;0,043;0,202;0,036
SP01361;SP;7818,000;5512,000;2306,000;4598,000;8,000;0,174;1,613;0,145
SP01368;SP;6668,000;5077,000;1591,000;4150,000;2,000;0,048;0,403;0,039
SP01369;SP;3307,000;2556,000;751,000;2150,000;1,000;0,047;0,202;0,039
SP01371;SP;7808,000;5764,000;2044,000;4744,000;2,000;0,042;0,403;0,035
SP01375;SP;4586,000;3582,000;1004,000;2958,000;2,000;0,068;0,403;0,056
SP01380;SP;6398,000;4752,000;1646,000;3983,000;4,000;0,100;0,806;0,084
SP01384;SP;1615,000;1256,000;359,000;1024,000;1,000;0,098;0,202;0,080
SP01386;SP;5463,000;4021,000;1442,000;3254,000;1,000;0,031;0,202;0,025
SP01446;SP;4917,000;3793,000;1124,000;3157,000;1,000;0,032;0,202;0,026
SP01447;SP;4389,000;3373,000;1016,000;2834,000;1,000;0,035;0,202;0,030
SP01452;SP;5785,000;4402,000;1383,000;3633,000;1,000;0,028;0,202;0,023
SP01454;SP;4757,000;3785,000;972,000;3186,000;2,000;0,063;0,403;0,053
SP01457;SP;4727,000;3479,000;1248,000;2704,000;1,000;0,037;0,202;0,029
SP01461;SP;6903,000;5217,000;1686,000;4301,000;1,000;0,023;0,202;0,019
SP01475;SP;3961,000;2752,000;1209,000;2310,000;1,000;0,043;0,202;0,036
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;0,202;0,035
SP01616;SP;5568,000;4270,000;1298,000;3582,000;2,000;0,056;0,403;0,047
SP01617;SP;6274,000;4569,000;1705,000;3806,000;6,000;0,158;1,210;0,131
SP01618;SP;8129,000;6088,000;2041,000;4942,000;9,000;0,182;1,815;0,148
SP01620;SP;3851,000;2955,000;896,000;2529,000;6,000;0,237;1,210;0,203
SP01625;SP;5942,000;4747,000;1195,000;4037,000;1,000;0,025;0,202;0,021
SP01630;SP;1721,000;1304,000;417,000;1090,000;2,000;0,183;0,403;0,153
SP01631;SP;3548,000;2705,000;843,000;2284,000;31,000;1,357;6,250;1,146
SP01632;SP;5894,000;4098,000;1796,000;3431,000;5,000;0,146;1,008;0,122
SP01633;SP;5184,000;3704,000;1480,000;3122,000;4,000;0,128;0,806;0,108
SP01636;SP;4041,000;3118,000;923,000;2633,000;2,000;0,076;0,403;0,064
SP01638;SP;2663,000;1969,000;694,000;1626,000;2,000;0,123;0,403;0,102
SP01641;SP;5788,000;4414,000;1374,000;3629,000;2,000;0,055;0,403;0,045
SP01644;SP;6058,000;4635,000;1423,000;3858,000;6,000;0,156;1,210;0,129
SP01646;SP;4342,000;3429,000;913,000;2817,000;7,000;0,248;1,411;0,204
SP01648;SP;5393,000;4065,000;1328,000;3385,000;1,000;0,030;0,202;0,025
SP01649;SP;3698,000;2822,000;876,000;2374,000;4,000;0,168;0,806;0,142
SP01650;SP;1635,000;1317,000;318,000;1109,000;1,000;0,090;0,202;0,076
SP01652;SP;5410,000;3880,000;1530,000;3273,000;1,000;0,031;0,202;0,026
SP01654;SP;4908,000;3591,000;1317,000;3061,000;3,000;0,098;0,605;0,084
SP01655;SP;3529,000;2415,000;1114,000;2058,000;1,000;0,049;0,202;0,041
SP01656;SP;5925,000;4175,000;1750,000;3558,000;6,000;0,169;1,210;0,144
SP01659;SP;4975,000;3950,000;1025,000;3337,000;2,000;0,060;0,403;0,051
SP01662;SP;5362,000;3769,000;1593,000;3191,000;2,000;0,063;0,403;0,053
SP01663;SP;4863,000;3380,000;1483,000;2815,000;1,000;0,036;0,202;0,030
SP01664;SP;4100,000;3227,000;873,000;2743,000;3,000;0,109;0,605;0,093
SP01665;SP;2933,000;2048,000;885,000;1706,000;1,000;0,059;0,202;0,049
SP01671;SP;2362,000;1793,000;569,000;1520,000;2,000;0,132;0,403;0,112
SP01672;SP;4183,000;3049,000;1134,000;2483,000;1,000;0,040;0,202;0,033
SP01696;SP;3501,000;2635,000;866,000;2139,000;1,000;0,047;0,202;0,038
SP01701;SP;5870,000;4471,000;1399,000;3616,000;1,000;0,028;0,202;0,022
SP01706;SP;6272,000;4442,000;1830,000;3788,000;6,000;0,158;1,210;0,135
SP01707;SP;5330,000;3733,000;1597,000;3140,000;6,000;0,191;1,210;0,161
SP01708;SP;4897,000;3752,000;1145,000;3009,000;3,000;0,100;0,605;0,080
SP01709;SP;5123,000;4026,000;1097,000;3430,000;1,000;0,029;0,202;0,025
SP01714;SP;3989,000;2965,000;1024,000;2432,000;1,000;0,041;0,202;0,034
SP01715;SP;3987,000;2703,000;1284,000;2302,000;1,000;0,043;0,202;0,037
SP01719;SP;5072,000;3667,000;1405,000;3138,000;1,000;0,032;0,202;0,027
SP01728;SP;3507,000;2774,000;733,000;2436,000;1,000;0,041;0,202;0,036
SP01729;SP;3858,000;2903,000;955,000;2392,000;1,000;0,042;0,202;0,034
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;0,202;0,028
SP01734;SP;4835,000;3770,000;1065,000;3245,000;1,000;0,031;0,202;0,027
SP01756;SP;6967,000;5286,000;1681,000;4434,000;1,000;0,023;0,202;0,019
SP01763;SP;6217,000;4767,000;1450,000;4102,000;1,000;0,024;0,202;0,021
SP01765;SP;3450,000;2545,000;905,000;2124,000;1,000;0,047;0,202;0,039
SP01771;SP;2820,000;2169,000;651,000;1788,000;2,000;0,112;0,403;0,092
SP01772;SP;6424,000;4687,000;1737,000;3846,000;3,000;0,078;0,605;0,064
SP01782;SP;1588,000;1131,000;457,000;923,000;1,000;0,108;0,202;0,088
SP01788;SP;4509,000;3253,000;1256,000;2662,000;1,000;0,038;0,202;0,031
SP01829;SP;6875,000;5127,000;1748,000;4366,000;2,000;0,046;0,403;0,039
SP01835;SP;6616,000;4983,000;1633,000;4177,000;1,000;0,024;0,202;0,020
SP01836;SP;6148,000;4540,000;1608,000;3783,000;2,000;0,053;0,403;0,044
SP01838;SP;3079,000;2250,000;829,000;1986,000;1,000;0,050;0,202;0,044
SP01839;SP;3350,000;2459,000;891,000;2084,000;2,000;0,096;0,403;0,081
SP01841;SP;1166,000;817,000;349,000;691,000;1,000;0,145;0,202;0,122
SP01845;SP;6584,000;4733,000;1851,000;3854,000;4,000;0,104;0,806;0,085
SP01853;SP;3021,000;2306,000;715,000;2050,000;1,000;0,049;0,202;0,043
SP01858;SP;8697,000;5871,000;2826,000;5026,000;1,000;0,020;0,202;0,017
SP01869;SP;5661,000;4238,000;1423,000;3691,000;1,000;0,027;0,202;0,024
SP01878;SP;4970,000;3583,000;1387,000;2983,000;1,000;0,034;0,202;0,028
SP01890;SP;5322,000;3800,000;1522,000;3207,000;1,000;0,031;0,202;0,026
SP01892;SP;7589,000;5302,000;2287,000;4472,000;1,000;0,022;0,202;0,019
SP01903;SP;5816,000;4296,000;1520,000;3620,000;1,000;0,028;0,202;0,023
SP01915;SP;3924,000;2794,000;1130,000;2392,000;2,000;0,084;0,403;0,072
SP01932;SP;6660,000;4948,000;1712,000;3975,000;1,000;0,025;0,202;0,020
