CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,649;0,034
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,649;0,026
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,649;0,019
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,649;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;1,299;0,049
SP00074;SP;4599,000;3060,000;1539,000;2770,000;3,000;0,108;1,948;0,098
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,649;0,011
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,649;0,034
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,649;0,027
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,649;0,012
SP00153;SP;6503,000;4705,000;1798,000;3830,000;2,000;0,052;1,299;0,043
SP00155;SP;6109,000;4286,000;1823,000;3668,000;3,000;0,082;1,948;0,070
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;1,299;0,038
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,649;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,649;0,018
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,649;0,020
SP00169;SP;6507,000;4898,000;1609,000;3997,000;2,000;0,050;1,299;0,041
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,649;0,037
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,649;0,030
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,649;0,015
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,649;0,015
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,649;0,025
SP00282;SP;6521,000;4899,000;1622,000;4004,000;2,000;0,050;1,299;0,041
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,649;0,040
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,649;0,055
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,649;0,033
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,649;0,040
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,649;0,036
SP00408;SP;7217,000;5129,000;2088,000;4414,000;2,000;0,045;1,299;0,039
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,649;0,025
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;1,299;0,026
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,649;0,033
SP00508;SP;5317,000;3827,000;1490,000;3334,000;1,000;0,030;0,649;0,026
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,649;0,024
SP00529;SP;3155,000;2369,000;786,000;2087,000;1,000;0,048;0,649;0,042
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,649;0,032
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,649;0,031
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,649;0,024
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,649;0,019
SP00596;SP;3534,000;2596,000;938,000;2206,000;1,000;0,045;0,649;0,039
SP00635;SP;5917,000;4054,000;1863,000;3591,000;3,000;0,084;1,948;0,074
SP00680;SP;11486,000;8694,000;2792,000;7821,000;3,000;0,038;1,948;0,035
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,649;0,017
SP00763;SP;2894,000;2276,000;618,000;1887,000;1,000;0,053;0,649;0,044
SP00768;SP;4292,000;2930,000;1362,000;2636,000;1,000;0,038;0,649;0,034
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,649;0,024
SP00781;SP;4179,000;2991,000;1188,000;2524,000;1,000;0,040;0,649;0,033
SP00803;SP;3495,000;2525,000;970,000;2040,000;1,000;0,049;0,649;0,040
SP00849;SP;3277,000;2481,000;796,000;2090,000;1,000;0,048;0,649;0,040
SP00872;SP;4150,000;2963,000;1187,000;2373,000;1,000;0,042;0,649;0,034
SP00899;SP;3360,000;2430,000;930,000;2195,000;1,000;0,046;0,649;0,041
SP00901;SP;4411,000;3185,000;1226,000;2668,000;1,000;0,037;0,649;0,031
SP00906;SP;1659,000;1267,000;392,000;1089,000;1,000;0,092;0,649;0,079
SP00915;SP;1861,000;1401,000;460,000;1187,000;1,000;0,084;0,649;0,071
SP00925;SP;5327,000;3864,000;1463,000;3310,000;4,000;0,121;2,597;0,104
SP00932;SP;3504,000;2674,000;830,000;2191,000;1,000;0,046;0,649;0,037
SP00938;SP;7741,000;5514,000;2227,000;4610,000;2,000;0,043;1,299;0,036
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,649;0,020
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,649;0,019
SP00943;SP;5578,000;4080,000;1498,000;3484,000;1,000;0,029;0,649;0,025
SP00955;SP;4285,000;3238,000;1047,000;2757,000;1,000;0,036;0,649;0,031
SP00973;SP;4361,000;3051,000;1310,000;2752,000;1,000;0,036;0,649;0,033
SP00976;SP;3374,000;2549,000;825,000;2299,000;2,000;0,087;1,299;0,078
SP00991;SP;3538,000;2527,000;1011,000;2242,000;1,000;0,045;0,649;0,040
SP01009;SP;3257,000;2457,000;800,000;2139,000;1,000;0,047;0,649;0,041
SP01010;SP;2767,000;2011,000;756,000;1774,000;1,000;0,056;0,649;0,050
SP01022;SP;7237,000;5347,000;1890,000;4505,000;1,000;0,022;0,649;0,019
SP01043;SP;1572,000;1215,000;357,000;1043,000;1,000;0,096;0,649;0,082
SP01076;SP;3137,000;2436,000;701,000;2116,000;3,000;0,142;1,948;0,123
SP01092;SP;5885,000;3837,000;2048,000;3221,000;1,000;0,031;0,649;0,026
SP01094;SP;4951,000;3460,000;1491,000;3031,000;1,000;0,033;0,649;0,029
SP01185;SP;3511,000;2582,000;929,000;2032,000;1,000;0,049;0,649;0,039
SP01195;SP;5991,000;4371,000;1620,000;3710,000;2,000;0,054;1,299;0,046
SP01201;SP;5937,000;4477,000;1460,000;3616,000;1,000;0,028;0,649;0,022
SP01245;SP;7927,000;6126,000;1801,000;5200,000;1,000;0,019;0,649;0,016
SP01248;SP;6322,000;4741,000;1581,000;3875,000;1,000;0,026;0,649;0,021
SP01281;SP;6196,000;4845,000;1351,000;4089,000;1,000;0,024;0,649;0,021
SP01292;SP;5775,000;4372,000;1403,000;3718,000;1,000;0,027;0,649;0,023
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,649;0,030
