CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,207;0,015
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,207;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,207;0,032
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,413;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,207;0,008
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,207;0,021
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,207;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,207;0,017
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,413;0,060
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,207;0,050
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,207;0,025
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,207;0,043
SP00066;SP;2941,000;1926,000;1015,000;1623,000;3,000;0,185;0,620;0,156
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,207;0,108
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,207;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,207;0,010
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,207;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,207;0,027
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,413;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,207;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,207;0,031
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,207;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;8,000;0,096;1,653;0,086
SP00084;SP;8514,000;5960,000;2554,000;5282,000;4,000;0,076;0,826;0,067
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,207;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;5,000;0,116;1,033;0,102
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,207;0,018
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,207;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,207;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;2,000;0,040;0,413;0,035
SP00098;SP;5038,000;3701,000;1337,000;3156,000;3,000;0,095;0,620;0,081
