CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,067;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,067;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,067;0,024
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,067;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,134;0,045
SP00022;SP;5474,000;3858,000;1616,000;3218,000;2,000;0,062;0,134;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,067;0,012
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,067;0,021
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,067;0,023
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,067;0,046
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,067;0,027
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,134;0,037
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,067;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,067;0,028
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,067;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,067;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,134;0,059
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,067;0,034
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,067;0,025
SP00065;SP;3705,000;2327,000;1378,000;1980,000;2,000;0,101;0,134;0,086
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,067;0,052
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,067;0,108
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,067;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,134;0,020
SP00076;SP;7781,000;5170,000;2611,000;4521,000;3,000;0,066;0,202;0,058
SP00078;SP;6145,000;4471,000;1674,000;4014,000;4,000;0,100;0,269;0,089
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,134;0,063
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,067;0,018
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,067;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,067;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,067;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;2,000;0,049;0,134;0,043
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,067;0,018
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,067;0,034
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,067;0,020
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,067;0,035
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,134;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,067;0,013
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,067;0,020
SP00121;SP;4046,000;2658,000;1388,000;2420,000;2,000;0,083;0,134;0,075
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,067;0,017
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,134;0,036
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,067;0,015
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,067;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,067;0,018
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,134;0,056
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,067;0,018
SP00149;SP;3452,000;2590,000;862,000;2234,000;2,000;0,090;0,134;0,077
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,067;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,067;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,067;0,021
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,067;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,067;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,067;0,017
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,067;0,018
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,067;0,023
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,067;0,033
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,067;0,028
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,067;0,029
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,067;0,028
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,134;0,031
SP00185;SP;785,000;570,000;215,000;463,000;1,000;0,216;0,067;0,175
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,067;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,067;0,026
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,067;0,015
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,067;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;4,000;0,067;0,269;0,061
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,067;0,018
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,067;0,028
SP00211;SP;6388,000;4682,000;1706,000;4168,000;2,000;0,048;0,134;0,043
SP00214;SP;5779,000;4297,000;1482,000;3759,000;2,000;0,053;0,134;0,047
SP00218;SP;3583,000;2575,000;1008,000;2277,000;2,000;0,088;0,134;0,078
SP00221;SP;3925,000;2950,000;975,000;2531,000;2,000;0,079;0,134;0,068
SP00222;SP;5627,000;4034,000;1593,000;3525,000;3,000;0,085;0,202;0,074
SP00224;SP;4682,000;3295,000;1387,000;2841,000;2,000;0,070;0,134;0,061
SP00227;SP;5078,000;3646,000;1432,000;3077,000;2,000;0,065;0,134;0,055
SP00229;SP;6362,000;4716,000;1646,000;4007,000;2,000;0,050;0,134;0,042
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,067;0,032
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,067;0,020
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,067;0,021
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,067;0,029
SP00237;SP;4589,000;3414,000;1175,000;2908,000;2,000;0,069;0,134;0,059
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,067;0,021
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,067;0,034
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,067;0,046
SP00250;SP;4023,000;3125,000;898,000;2566,000;4,000;0,156;0,269;0,128
SP00251;SP;3854,000;2856,000;998,000;2435,000;2,000;0,082;0,134;0,070
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,067;0,032
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,067;0,030
SP00259;SP;1803,000;1399,000;404,000;1139,000;4,000;0,351;0,269;0,286
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,067;0,020
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,067;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;7,000;0,170;0,470;0,145
SP00264;SP;6606,000;4757,000;1849,000;3973,000;3,000;0,076;0,202;0,063
SP00265;SP;5313,000;3854,000;1459,000;3315,000;2,000;0,060;0,134;0,052
SP00266;SP;6960,000;5099,000;1861,000;4318,000;5,000;0,116;0,336;0,098
SP00267;SP;6197,000;4417,000;1780,000;3682,000;3,000;0,081;0,202;0,068
SP00268;SP;6330,000;4415,000;1915,000;3742,000;4,000;0,107;0,269;0,091
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,067;0,030
SP00270;SP;6129,000;4512,000;1617,000;3803,000;3,000;0,079;0,202;0,066
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,067;0,021
SP00273;SP;5615,000;4390,000;1225,000;3670,000;3,000;0,082;0,202;0,068
SP00274;SP;5083,000;4027,000;1056,000;3417,000;3,000;0,088;0,202;0,074
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,067;0,030
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,067;0,031
SP00277;SP;4274,000;3219,000;1055,000;2691,000;2,000;0,074;0,134;0,062
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,067;0,035
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;0,067;0,035
SP00280;SP;6493,000;4855,000;1638,000;3966,000;2,000;0,050;0,134;0,041
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,067;0,024
SP00283;SP;4282,000;3227,000;1055,000;2653,000;3,000;0,113;0,202;0,093
SP00284;SP;4514,000;3367,000;1147,000;2775,000;12,000;0,432;0,806;0,356
SP00288;SP;2503,000;1898,000;605,000;1542,000;1,000;0,065;0,067;0,053
SP00289;SP;3751,000;2887,000;864,000;2359,000;3,000;0,127;0,202;0,104
SP00290;SP;2127,000;1639,000;488,000;1389,000;4,000;0,288;0,269;0,244
SP00295;SP;4636,000;3029,000;1607,000;2673,000;2,000;0,075;0,134;0,066
SP00296;SP;2387,000;1583,000;804,000;1433,000;4,000;0,279;0,269;0,253
SP00300;SP;5119,000;3795,000;1324,000;3340,000;2,000;0,060;0,134;0,053
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,067;0,037
SP00310;SP;5928,000;4260,000;1668,000;3647,000;3,000;0,082;0,202;0,070
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;0,067;0,031
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,067;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,067;0,037
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,067;0,032
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,067;0,036
SP00333;SP;2049,000;1351,000;698,000;1203,000;2,000;0,166;0,134;0,148
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,067;0,078
SP00335;SP;4066,000;2940,000;1126,000;2443,000;4,000;0,164;0,269;0,136
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,067;0,018
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,067;0,030
SP00355;SP;1892,000;1470,000;422,000;1316,000;2,000;0,152;0,134;0,136
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,067;0,019
SP00364;SP;1999,000;1353,000;646,000;1259,000;1,000;0,079;0,067;0,074
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,067;0,030
