CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,199;0,030
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,099;0,028
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,099;0,021
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,199;0,074
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,199;0,033
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,199;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,199;0,045
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,099;0,024
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,099;0,045
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,298;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,298;0,024
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,199;0,047
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,099;0,019
SP00038;SP;8044,000;5650,000;2394,000;5177,000;4,000;0,077;0,398;0,071
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,099;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,099;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;3,000;0,098;0,298;0,090
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,099;0,023
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,099;0,034
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,199;0,050
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,099;0,052
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,099;0,019
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,199;0,039
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,099;0,074
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,099;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,199;0,035
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,099;0,023
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,099;0,018
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,099;0,019
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,099;0,035
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,199;0,054
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,099;0,035
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,199;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,199;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,099;0,013
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,199;0,072
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,099;0,026
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,099;0,026
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,099;0,018
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,099;0,023
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,099;0,020
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,099;0,027
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,199;0,037
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,099;0,021
SP00216;SP;2036,000;1558,000;478,000;1384,000;1,000;0,072;0,099;0,064
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,099;0,052
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,099;0,032
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,099;0,021
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,099;0,038
