CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;2,273;0,028
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;2,273;0,024
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;2,273;0,024
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;2,273;0,035
SP00133;SP;4191,000;2905,000;1286,000;2648,000;2,000;0,076;4,545;0,069
SP00135;SP;10099,000;6853,000;3246,000;5983,000;3,000;0,050;6,818;0,044
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;2,273;0,026
SP00149;SP;3452,000;2590,000;862,000;2234,000;2,000;0,090;4,545;0,077
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;2,273;0,015
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;2,273;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;2,273;0,015
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;2,273;0,069
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;2,273;0,042
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;2,273;0,017
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;2,273;0,031
SP00461;SP;4042,000;2899,000;1143,000;2649,000;1,000;0,038;2,273;0,034
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;2,273;0,031
SP00562;SP;3269,000;2452,000;817,000;2120,000;2,000;0,094;4,545;0,082
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;2,273;0,019
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;2,273;0,026
SP00733;SP;6587,000;4986,000;1601,000;4131,000;1,000;0,024;2,273;0,020
SP00891;SP;6195,000;4624,000;1571,000;4037,000;1,000;0,025;2,273;0,022
SP00957;SP;6423,000;4747,000;1676,000;3930,000;1,000;0,025;2,273;0,021
SP00981;SP;4660,000;3036,000;1624,000;2763,000;1,000;0,036;2,273;0,033
SP01020;SP;1678,000;1325,000;353,000;1100,000;1,000;0,091;2,273;0,075
SP01086;SP;4668,000;3625,000;1043,000;3064,000;1,000;0,033;2,273;0,028
SP01090;SP;4652,000;3593,000;1059,000;2985,000;1,000;0,034;2,273;0,028
SP01132;SP;5881,000;4069,000;1812,000;3481,000;1,000;0,029;2,273;0,025
SP01211;SP;4601,000;3490,000;1111,000;2769,000;3,000;0,108;6,818;0,086
SP01221;SP;4891,000;3743,000;1148,000;3051,000;1,000;0,033;2,273;0,027
SP01321;SP;5117,000;3907,000;1210,000;3326,000;1,000;0,030;2,273;0,026
SP01363;SP;5696,000;3998,000;1698,000;3277,000;1,000;0,031;2,273;0,025
SP01416;SP;3507,000;2633,000;874,000;2204,000;1,000;0,045;2,273;0,038
SP01925;SP;5445,000;4056,000;1389,000;3565,000;1,000;0,028;2,273;0,025
SP02010;SP;1994,000;1540,000;454,000;1280,000;3,000;0,234;6,818;0,195
