CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;3,000;0,049;0,057;0,045
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,038;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,038;0,056
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,038;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;6,000;0,118;0,114;0,105
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,019;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,019;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,038;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,038;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,019;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;3,000;0,108;0,057;0,094
SP00016;SP;4976,000;3125,000;1851,000;2763,000;4,000;0,145;0,076;0,128
SP00017;SP;6847,000;4140,000;2707,000;3704,000;4,000;0,108;0,076;0,097
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;0,038;0,061
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,038;0,189
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,019;0,036
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,019;0,069
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,019;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,038;0,016
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,019;0,023
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,019;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,019;0,039
SP00046;SP;8211,000;6097,000;2114,000;5678,000;4,000;0,070;0,076;0,066
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,019;0,023
SP00050;SP;1956,000;1443,000;513,000;1344,000;2,000;0,149;0,038;0,139
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,038;0,037
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,019;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;5,000;0,142;0,095;0,124
SP00061;SP;5110,000;3413,000;1697,000;2995,000;2,000;0,067;0,038;0,059
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,019;0,055
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,019;0,025
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,019;0,052
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,019;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,019;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;6,000;0,067;0,114;0,061
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,019;0,033
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,038;0,039
SP00083;SP;12710,000;9298,000;3412,000;8373,000;3,000;0,036;0,057;0,032
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,019;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,038;0,036
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,038;0,041
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,019;0,023
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,019;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,019;0,028
SP00098;SP;5038,000;3701,000;1337,000;3156,000;2,000;0,063;0,038;0,054
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,019;0,015
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,019;0,058
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,019;0,033
SP00108;SP;7706,000;4996,000;2710,000;4672,000;3,000;0,064;0,057;0,060
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,019;0,027
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,019;0,034
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,019;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;3,000;0,070;0,057;0,064
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,019;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;5,000;0,068;0,095;0,062
SP00118;SP;11540,000;7496,000;4044,000;6933,000;2,000;0,029;0,038;0,027
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,019;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;3,000;0,054;0,057;0,050
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,019;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;4,000;0,085;0,076;0,078
SP00128;SP;9830,000;6546,000;3284,000;5910,000;4,000;0,068;0,076;0,061
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,038;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;3,000;0,062;0,057;0,056
SP00131;SP;5037,000;3622,000;1415,000;3345,000;6,000;0,179;0,114;0,166
SP00132;SP;4938,000;3378,000;1560,000;3079,000;2,000;0,065;0,038;0,059
SP00134;SP;5615,000;3841,000;1774,000;3504,000;7,000;0,200;0,133;0,182
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,019;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;3,000;0,052;0,057;0,046
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,038;0,040
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,038;0,036
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,019;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,019;0,031
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,019;0,033
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,019;0,025
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,038;0,056
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,019;0,019
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,019;0,027
SP00152;SP;857,000;541,000;316,000;441,000;1,000;0,227;0,019;0,185
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,019;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;2,000;0,050;0,038;0,042
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,019;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,019;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;2,000;0,041;0,038;0,035
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,019;0,019
SP00162;SP;7705,000;5622,000;2083,000;4624,000;2,000;0,043;0,038;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,019;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,019;0,033
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,019;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;7,000;0,178;0,133;0,148
SP00172;SP;4627,000;3517,000;1110,000;2935,000;9,000;0,307;0,171;0,256
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,019;0,031
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;0,019;0,029
SP00176;SP;4725,000;3530,000;1195,000;2946,000;1,000;0,034;0,019;0,028
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,019;0,050
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,019;0,175
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,019;0,180
SP00189;SP;5717,000;3833,000;1884,000;3381,000;6,000;0,177;0,114;0,157
SP00190;SP;9191,000;6215,000;2976,000;5565,000;8,000;0,144;0,152;0,129
SP00191;SP;4893,000;3386,000;1507,000;3120,000;3,000;0,096;0,057;0,089
SP00192;SP;3326,000;2267,000;1059,000;2028,000;2,000;0,099;0,038;0,088
SP00193;SP;4453,000;3011,000;1442,000;2715,000;3,000;0,110;0,057;0,100
SP00194;SP;8615,000;6268,000;2347,000;5780,000;7,000;0,121;0,133;0,112
SP00195;SP;3523,000;2306,000;1217,000;2013,000;3,000;0,149;0,057;0,130
SP00196;SP;3423,000;2500,000;923,000;2236,000;3,000;0,134;0,057;0,120
SP00197;SP;4829,000;3340,000;1489,000;3099,000;2,000;0,065;0,038;0,060
SP00198;SP;9846,000;7057,000;2789,000;6333,000;10,000;0,158;0,189;0,142
SP00199;SP;9351,000;6697,000;2654,000;6031,000;15,000;0,249;0,284;0,224
SP00200;SP;4987,000;3648,000;1339,000;3251,000;4,000;0,123;0,076;0,110
SP00201;SP;9459,000;6572,000;2887,000;5989,000;4,000;0,067;0,076;0,061
SP00202;SP;7973,000;5469,000;2504,000;5015,000;5,000;0,100;0,095;0,091
SP00203;SP;7005,000;4837,000;2168,000;4332,000;4,000;0,092;0,076;0,083
SP00204;SP;4526,000;3486,000;1040,000;3183,000;8,000;0,251;0,152;0,229
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,019;0,044
SP00206;SP;3004,000;2207,000;797,000;2000,000;2,000;0,100;0,038;0,091
SP00207;SP;4643,000;3544,000;1099,000;3043,000;2,000;0,066;0,038;0,056
SP00210;SP;2712,000;2153,000;559,000;1857,000;7,000;0,377;0,133;0,325
SP00211;SP;6388,000;4682,000;1706,000;4168,000;10,000;0,240;0,189;0,214
SP00212;SP;5586,000;4124,000;1462,000;3719,000;9,000;0,242;0,171;0,218
SP00213;SP;4732,000;3454,000;1278,000;3107,000;12,000;0,386;0,227;0,347
SP00214;SP;5779,000;4297,000;1482,000;3759,000;21,000;0,559;0,398;0,489
SP00215;SP;993,000;761,000;232,000;665,000;1,000;0,150;0,019;0,131
SP00216;SP;2036,000;1558,000;478,000;1384,000;4,000;0,289;0,076;0,257
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,019;0,080
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,019;0,039
