CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,427;0,015
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,427;0,026
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,427;0,032
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,427;0,008
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,427;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,855;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,427;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,427;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,427;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,427;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,427;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,427;0,023
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,855;0,068
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,427;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,427;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,855;0,056
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,427;0,025
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,427;0,011
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,427;0,020
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,427;0,024
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,427;0,033
SP00107;SP;5091,000;3438,000;1653,000;3201,000;2,000;0,062;0,855;0,058
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,855;0,040
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,427;0,044
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,427;0,035
SP00111;SP;5405,000;3713,000;1692,000;3463,000;3,000;0,087;1,282;0,081
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,427;0,034
SP00116;SP;13458,000;8809,000;4649,000;8195,000;5,000;0,061;2,137;0,057
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,855;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,427;0,013
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,427;0,018
SP00120;SP;7492,000;5053,000;2439,000;4694,000;5,000;0,107;2,137;0,099
SP00122;SP;2338,000;1648,000;690,000;1510,000;2,000;0,132;0,855;0,121
SP00128;SP;9830,000;6546,000;3284,000;5910,000;3,000;0,051;1,282;0,046
SP00133;SP;4191,000;2905,000;1286,000;2648,000;2,000;0,076;0,855;0,069
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,427;0,015
SP00144;SP;5788,000;3963,000;1825,000;3611,000;2,000;0,055;0,855;0,050
SP00150;SP;2320,000;1742,000;578,000;1615,000;2,000;0,124;0,855;0,115
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,427;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,427;0,020
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,427;0,030
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,427;0,033
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,427;0,018
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,427;0,029
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,427;0,026
SP00225;SP;4793,000;3416,000;1377,000;2882,000;1,000;0,035;0,427;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;5,000;0,135;2,137;0,111
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,427;0,020
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,427;0,021
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,427;0,025
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,427;0,031
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,427;0,032
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,427;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,427;0,037
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,427;0,037
SP00356;SP;6871,000;5190,000;1681,000;4713,000;2,000;0,042;0,855;0,039
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,427;0,082
SP00363;SP;6587,000;4335,000;2252,000;4017,000;2,000;0,050;0,855;0,046
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,427;0,026
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,427;0,034
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,427;0,018
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,427;0,025
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,427;0,037
SP00381;SP;4728,000;3340,000;1388,000;3119,000;2,000;0,064;0,855;0,060
SP00383;SP;3490,000;2283,000;1207,000;2113,000;1,000;0,047;0,427;0,044
SP00389;SP;2663,000;1942,000;721,000;1788,000;1,000;0,056;0,427;0,051
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,427;0,027
SP00417;SP;1590,000;1256,000;334,000;1074,000;1,000;0,093;0,427;0,080
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,427;0,027
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;0,427;0,042
SP00529;SP;3155,000;2369,000;786,000;2087,000;1,000;0,048;0,427;0,042
SP00551;SP;4597,000;3270,000;1327,000;2815,000;1,000;0,036;0,427;0,031
SP00587;SP;3697,000;2586,000;1111,000;2332,000;1,000;0,043;0,427;0,039
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,427;0,023
SP00616;SP;3937,000;3054,000;883,000;2687,000;1,000;0,037;0,427;0,033
SP00622;SP;8525,000;5893,000;2632,000;5358,000;4,000;0,075;1,709;0,068
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;0,427;0,023
SP00625;SP;10784,000;7630,000;3154,000;7038,000;3,000;0,043;1,282;0,039
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,427;0,023
SP00635;SP;5917,000;4054,000;1863,000;3591,000;1,000;0,028;0,427;0,025
