CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,120;0,024
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,120;0,024
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,120;0,034
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,239;0,053
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,239;0,037
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,120;0,024
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,120;0,034
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,120;0,028
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,120;0,014
SP00216;SP;2036,000;1558,000;478,000;1384,000;1,000;0,072;0,120;0,064
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,120;0,025
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,120;0,120
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,120;0,032
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,120;0,030
SP00325;SP;4286,000;3094,000;1192,000;2780,000;1,000;0,036;0,120;0,032
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,120;0,030
SP00381;SP;4728,000;3340,000;1388,000;3119,000;1,000;0,032;0,120;0,030
SP00507;SP;9953,000;7335,000;2618,000;6265,000;1,000;0,016;0,120;0,014
SP00510;SP;6209,000;4329,000;1880,000;3594,000;1,000;0,028;0,120;0,023
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,120;0,024
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,120;0,028
SP00523;SP;4290,000;3229,000;1061,000;2690,000;1,000;0,037;0,120;0,031
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,120;0,019
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,120;0,029
SP00568;SP;4355,000;3188,000;1167,000;2856,000;2,000;0,070;0,239;0,063
SP00595;SP;3557,000;2586,000;971,000;2244,000;1,000;0,045;0,120;0,039
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,120;0,016
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,120;0,025
SP00696;SP;1384,000;1069,000;315,000;972,000;1,000;0,103;0,120;0,094
