CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;3,226;0,018
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;3,226;0,030
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;3,226;0,028
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;3,226;0,052
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;3,226;0,020
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;3,226;0,022
SP00279;SP;3855,000;2853,000;1002,000;2307,000;1,000;0,043;3,226;0,035
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;3,226;0,058
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;3,226;0,028
SP00439;SP;3746,000;2751,000;995,000;2414,000;1,000;0,041;3,226;0,036
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;3,226;0,055
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;3,226;0,020
SP00561;SP;4720,000;3508,000;1212,000;2955,000;1,000;0,034;3,226;0,029
SP00947;SP;6568,000;4904,000;1664,000;4056,000;1,000;0,025;3,226;0,020
SP00988;SP;5130,000;3838,000;1292,000;3440,000;1,000;0,029;3,226;0,026
SP01144;SP;3086,000;2381,000;705,000;2043,000;1,000;0,049;3,226;0,042
SP01205;SP;6483,000;4885,000;1598,000;4000,000;1,000;0,025;3,226;0,020
SP01239;SP;6020,000;4603,000;1417,000;3712,000;1,000;0,027;3,226;0,022
SP01260;SP;5635,000;4150,000;1485,000;3295,000;1,000;0,030;3,226;0,024
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;3,226;0,025
SP01306;SP;10069,000;7542,000;2527,000;6154,000;1,000;0,016;3,226;0,013
SP01363;SP;5696,000;3998,000;1698,000;3277,000;1,000;0,031;3,226;0,025
SP01367;SP;4323,000;3020,000;1303,000;2537,000;1,000;0,039;3,226;0,033
SP01421;SP;9984,000;7349,000;2635,000;6353,000;1,000;0,016;3,226;0,014
SP01480;SP;6794,000;4702,000;2092,000;3955,000;1,000;0,025;3,226;0,021
SP01482;SP;6480,000;4781,000;1699,000;3882,000;1,000;0,026;3,226;0,021
SP01610;SP;3105,000;2321,000;784,000;1935,000;1,000;0,052;3,226;0,043
SP01624;SP;7719,000;5518,000;2201,000;4630,000;1,000;0,022;3,226;0,018
SP01774;SP;3149,000;2395,000;754,000;1983,000;2,000;0,101;6,452;0,084
SP01978;SP;2051,000;1584,000;467,000;1332,000;1,000;0,075;3,226;0,063
