CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,543;0,034
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,543;0,052
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,543;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;1,087;0,039
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,543;0,027
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,543;0,021
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,543;0,050
SP00424;SP;4823,000;3449,000;1374,000;3041,000;2,000;0,066;1,087;0,058
SP00449;SP;6333,000;4838,000;1495,000;4289,000;2,000;0,047;1,087;0,041
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,543;0,045
SP00454;SP;6000,000;4085,000;1915,000;3524,000;2,000;0,057;1,087;0,049
SP00455;SP;4145,000;2936,000;1209,000;2668,000;1,000;0,037;0,543;0,034
SP00456;SP;4320,000;3095,000;1225,000;2792,000;2,000;0,072;1,087;0,065
SP00457;SP;2816,000;1940,000;876,000;1732,000;2,000;0,115;1,087;0,103
SP00458;SP;8529,000;5970,000;2559,000;5339,000;2,000;0,037;1,087;0,034
SP00459;SP;4392,000;3188,000;1204,000;2896,000;3,000;0,104;1,630;0,094
SP00460;SP;6386,000;4591,000;1795,000;4104,000;10,000;0,244;5,435;0,218
SP00461;SP;4042,000;2899,000;1143,000;2649,000;1,000;0,038;0,543;0,034
SP00462;SP;5168,000;3650,000;1518,000;3226,000;20,000;0,620;10,870;0,548
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,543;0,018
SP00468;SP;5330,000;3854,000;1476,000;3503,000;2,000;0,057;1,087;0,052
SP00469;SP;5448,000;3854,000;1594,000;3445,000;3,000;0,087;1,630;0,078
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,543;0,031
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,543;0,025
SP00475;SP;5821,000;4091,000;1730,000;3609,000;6,000;0,166;3,261;0,147
SP00476;SP;5975,000;4311,000;1664,000;3817,000;2,000;0,052;1,087;0,046
SP00480;SP;1874,000;1351,000;523,000;1236,000;1,000;0,081;0,543;0,074
SP00481;SP;1516,000;1132,000;384,000;999,000;1,000;0,100;0,543;0,088
SP00482;SP;6633,000;4865,000;1768,000;4345,000;2,000;0,046;1,087;0,041
SP00489;SP;1525,000;1226,000;299,000;1101,000;6,000;0,545;3,261;0,489
SP00539;SP;5948,000;4112,000;1836,000;3697,000;2,000;0,054;1,087;0,049
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;0,543;0,020
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,543;0,041
SP00587;SP;3697,000;2586,000;1111,000;2332,000;1,000;0,043;0,543;0,039
SP00610;SP;4996,000;3877,000;1119,000;3393,000;2,000;0,059;1,087;0,052
SP00716;SP;6085,000;4740,000;1345,000;4111,000;1,000;0,024;0,543;0,021
SP00803;SP;3495,000;2525,000;970,000;2040,000;1,000;0,049;0,543;0,040
SP00880;SP;4156,000;3214,000;942,000;2672,000;1,000;0,037;0,543;0,031
SP00990;SP;3164,000;2358,000;806,000;2053,000;1,000;0,049;0,543;0,042
SP01000;SP;5650,000;4018,000;1632,000;3607,000;1,000;0,028;0,543;0,025
SP01002;SP;3956,000;2855,000;1101,000;2507,000;1,000;0,040;0,543;0,035
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;0,543;0,016
SP01040;SP;3542,000;2624,000;918,000;2319,000;1,000;0,043;0,543;0,038
SP01098;SP;5642,000;4016,000;1626,000;3546,000;2,000;0,056;1,087;0,050
SP01116;SP;3795,000;3002,000;793,000;2684,000;1,000;0,037;0,543;0,033
SP01477;SP;6382,000;4456,000;1926,000;3738,000;1,000;0,027;0,543;0,022
SP01628;SP;974,000;709,000;265,000;596,000;1,000;0,168;0,543;0,141
SP01634;SP;1387,000;1023,000;364,000;842,000;1,000;0,119;0,543;0,098
SP01648;SP;5393,000;4065,000;1328,000;3385,000;1,000;0,030;0,543;0,025
SP01672;SP;4183,000;3049,000;1134,000;2483,000;1,000;0,040;0,543;0,033
SP01957;SP;4354,000;2954,000;1400,000;2548,000;3,000;0,118;1,630;0,102
SP01958;SP;5003,000;3525,000;1478,000;3046,000;3,000;0,098;1,630;0,085
SP01959;SP;5593,000;3840,000;1753,000;3364,000;3,000;0,089;1,630;0,078
SP01961;SP;5779,000;4031,000;1748,000;3463,000;3,000;0,087;1,630;0,074
SP01962;SP;7108,000;5093,000;2015,000;4362,000;4,000;0,092;2,174;0,079
SP01963;SP;6175,000;4386,000;1789,000;3833,000;1,000;0,026;0,543;0,023
SP01964;SP;5289,000;3773,000;1516,000;3360,000;1,000;0,030;0,543;0,027
SP01965;SP;6052,000;4377,000;1675,000;3858,000;3,000;0,078;1,630;0,069
SP01966;SP;3725,000;2683,000;1042,000;2393,000;1,000;0,042;0,543;0,037
SP01967;SP;4971,000;3676,000;1295,000;3320,000;1,000;0,030;0,543;0,027
SP01968;SP;6332,000;4433,000;1899,000;3881,000;7,000;0,180;3,804;0,158
SP01969;SP;4540,000;3384,000;1156,000;3029,000;2,000;0,066;1,087;0,059
SP01970;SP;5176,000;3902,000;1274,000;3434,000;13,000;0,379;7,065;0,333
SP01971;SP;4710,000;3628,000;1082,000;3134,000;3,000;0,096;1,630;0,083
SP01974;SP;6477,000;4953,000;1524,000;4205,000;3,000;0,071;1,630;0,061
SP01975;SP;3160,000;2466,000;694,000;2160,000;13,000;0,602;7,065;0,527
SP01976;SP;1818,000;1441,000;377,000;1274,000;2,000;0,157;1,087;0,139
SP01978;SP;2051,000;1584,000;467,000;1332,000;4,000;0,300;2,174;0,253
SP01979;SP;3299,000;2595,000;704,000;2305,000;1,000;0,043;0,543;0,039
SP01980;SP;3089,000;2298,000;791,000;1947,000;2,000;0,103;1,087;0,087
SP02005;SP;4698,000;3512,000;1186,000;2845,000;1,000;0,035;0,543;0,028
SP02024;SP;5319,000;3670,000;1649,000;3226,000;1,000;0,031;0,543;0,027
SP02025;SP;4781,000;3417,000;1364,000;3034,000;1,000;0,033;0,543;0,029
SP02026;SP;6348,000;4500,000;1848,000;3840,000;1,000;0,026;0,543;0,022
SP02032;SP;4842,000;3184,000;1658,000;2718,000;2,000;0,074;1,087;0,063
