CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,075;0,030
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,038;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,038;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,038;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,038;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,038;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,038;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,075;0,033
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,075;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,075;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,075;0,016
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,038;0,023
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,038;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,038;0,026
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,075;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,038;0,023
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,038;0,034
SP00046;SP;8211,000;6097,000;2114,000;5678,000;5,000;0,088;0,188;0,082
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,038;0,023
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,038;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,038;0,025
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,038;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,038;0,033
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,038;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,038;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,038;0,019
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,075;0,039
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,038;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;3,000;0,057;0,113;0,050
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,038;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,038;0,020
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,075;0,037
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;0,075;0,060
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,038;0,034
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,038;0,015
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,038;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,038;0,058
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,038;0,043
SP00107;SP;5091,000;3438,000;1653,000;3201,000;2,000;0,062;0,075;0,058
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,075;0,040
SP00109;SP;3531,000;2268,000;1263,000;2068,000;3,000;0,145;0,113;0,132
SP00112;SP;5370,000;3564,000;1806,000;3242,000;4,000;0,123;0,151;0,112
SP00113;SP;4368,000;2914,000;1454,000;2731,000;3,000;0,110;0,113;0,103
SP00114;SP;11524,000;7280,000;4244,000;6663,000;5,000;0,075;0,188;0,069
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,038;0,021
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,038;0,011
SP00118;SP;11540,000;7496,000;4044,000;6933,000;5,000;0,072;0,188;0,067
SP00120;SP;7492,000;5053,000;2439,000;4694,000;5,000;0,107;0,188;0,099
SP00122;SP;2338,000;1648,000;690,000;1510,000;3,000;0,199;0,113;0,182
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,038;0,057
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,038;0,027
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,038;0,015
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,038;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,038;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,038;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,038;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,038;0,020
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,038;0,025
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,038;0,019
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,038;0,039
SP00151;SP;4988,000;3688,000;1300,000;3066,000;3,000;0,098;0,113;0,081
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,038;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,038;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,038;0,023
SP00158;SP;5902,000;3987,000;1915,000;3372,000;2,000;0,059;0,075;0,050
SP00159;SP;8207,000;5759,000;2448,000;4847,000;3,000;0,062;0,113;0,052
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,075;0,038
SP00161;SP;7454,000;5453,000;2001,000;4461,000;2,000;0,045;0,075;0,037
SP00162;SP;7705,000;5622,000;2083,000;4624,000;24,000;0,519;0,903;0,427
SP00163;SP;6612,000;4970,000;1642,000;4153,000;2,000;0,048;0,075;0,040
SP00164;SP;5864,000;4364,000;1500,000;3543,000;5,000;0,141;0,188;0,115
SP00165;SP;5151,000;3881,000;1270,000;3088,000;6,000;0,194;0,226;0,155
SP00166;SP;3724,000;2789,000;935,000;2307,000;8,000;0,347;0,301;0,287
SP00167;SP;6528,000;4883,000;1645,000;3930,000;3,000;0,076;0,113;0,061
SP00168;SP;4204,000;3050,000;1154,000;2550,000;3,000;0,118;0,113;0,098
SP00169;SP;6507,000;4898,000;1609,000;3997,000;2,000;0,050;0,075;0,041
SP00170;SP;3660,000;2732,000;928,000;2322,000;2,000;0,086;0,075;0,073
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,038;0,021
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,038;0,028
SP00174;SP;4271,000;3221,000;1050,000;2581,000;2,000;0,077;0,075;0,062
SP00175;SP;4700,000;3395,000;1305,000;2728,000;4,000;0,147;0,151;0,118
SP00176;SP;4725,000;3530,000;1195,000;2946,000;4,000;0,136;0,151;0,113
SP00177;SP;6291,000;4620,000;1671,000;3718,000;4,000;0,108;0,151;0,087
SP00178;SP;8552,000;6363,000;2189,000;5204,000;8,000;0,154;0,301;0,126
SP00180;SP;2715,000;1992,000;723,000;1618,000;3,000;0,185;0,113;0,151
SP00183;SP;1181,000;745,000;436,000;604,000;1,000;0,166;0,038;0,134
SP00186;SP;1134,000;804,000;330,000;667,000;1,000;0,150;0,038;0,124
SP00187;SP;792,000;555,000;237,000;428,000;1,000;0,234;0,038;0,180
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,038;0,031
SP00190;SP;9191,000;6215,000;2976,000;5565,000;5,000;0,090;0,188;0,080
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,075;0,032
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,038;0,043
SP00197;SP;4829,000;3340,000;1489,000;3099,000;3,000;0,097;0,113;0,090
SP00198;SP;9846,000;7057,000;2789,000;6333,000;4,000;0,063;0,151;0,057
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,075;0,030
SP00200;SP;4987,000;3648,000;1339,000;3251,000;2,000;0,062;0,075;0,055
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,038;0,021
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,038;0,029
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;0,075;0,066
SP00212;SP;5586,000;4124,000;1462,000;3719,000;5,000;0,134;0,188;0,121
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,038;0,029
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,038;0,023
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,038;0,080
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,038;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;2,000;0,060;0,075;0,052
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,038;0,034
SP00222;SP;5627,000;4034,000;1593,000;3525,000;6,000;0,170;0,226;0,149
SP00223;SP;2666,000;1909,000;757,000;1662,000;4,000;0,241;0,151;0,210
SP00224;SP;4682,000;3295,000;1387,000;2841,000;8,000;0,282;0,301;0,243
SP00226;SP;6504,000;4681,000;1823,000;3905,000;4,000;0,102;0,151;0,085
SP00227;SP;5078,000;3646,000;1432,000;3077,000;4,000;0,130;0,151;0,110
SP00228;SP;3772,000;2679,000;1093,000;2265,000;3,000;0,132;0,113;0,112
SP00229;SP;6362,000;4716,000;1646,000;4007,000;4,000;0,100;0,151;0,085
SP00230;SP;4442,000;3139,000;1303,000;2668,000;2,000;0,075;0,075;0,064
SP00231;SP;4477,000;3485,000;992,000;2989,000;2,000;0,067;0,075;0,057
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,038;0,020
SP00233;SP;2180,000;1518,000;662,000;1306,000;1,000;0,077;0,038;0,066
SP00234;SP;1126,000;832,000;294,000;718,000;1,000;0,139;0,038;0,120
SP00235;SP;6359,000;4733,000;1626,000;4005,000;6,000;0,150;0,226;0,127
SP00236;SP;4570,000;3488,000;1082,000;2996,000;7,000;0,234;0,263;0,201
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,038;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;5,000;0,127;0,188;0,107
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,038;0,022
SP00240;SP;3251,000;2449,000;802,000;2056,000;7,000;0,340;0,263;0,286
SP00241;SP;3798,000;2913,000;885,000;2413,000;5,000;0,207;0,188;0,172
SP00242;SP;4031,000;3017,000;1014,000;2461,000;1,000;0,041;0,038;0,033
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,038;0,037
SP00245;SP;1860,000;1458,000;402,000;1167,000;2,000;0,171;0,075;0,137
SP00247;SP;3039,000;2356,000;683,000;1915,000;3,000;0,157;0,113;0,127
SP00249;SP;3623,000;2627,000;996,000;2284,000;2,000;0,088;0,075;0,076
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,038;0,035
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,038;0,032
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,038;0,029
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,038;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;2,000;0,075;0,075;0,061
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,038;0,025
SP00258;SP;2237,000;1521,000;716,000;1192,000;3,000;0,252;0,113;0,197
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,038;0,025
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,038;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,038;0,021
SP00266;SP;6960,000;5099,000;1861,000;4318,000;7,000;0,162;0,263;0,137
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,038;0,030
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,038;0,023
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,038;0,031
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,038;0,035
SP00280;SP;6493,000;4855,000;1638,000;3966,000;10,000;0,252;0,376;0,206
SP00281;SP;5656,000;4194,000;1462,000;3612,000;2,000;0,055;0,075;0,048
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,038;0,031
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,038;0,056
SP00294;SP;5157,000;3659,000;1498,000;3309,000;1,000;0,030;0,038;0,027
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,038;0,032
SP00308;SP;4601,000;3237,000;1364,000;2784,000;4,000;0,144;0,151;0,124
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,038;0,037
SP00310;SP;5928,000;4260,000;1668,000;3647,000;3,000;0,082;0,113;0,070
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,038;0,025
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;0,038;0,023
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,038;0,067
SP00321;SP;4314,000;3059,000;1255,000;2771,000;3,000;0,108;0,113;0,098
SP00322;SP;8258,000;5548,000;2710,000;4975,000;5,000;0,101;0,188;0,090
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,075;0,065
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;0,075;0,073
SP00338;SP;4592,000;3124,000;1468,000;2780,000;4,000;0,144;0,151;0,128
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,038;0,044
SP00340;SP;3747,000;2675,000;1072,000;2391,000;1,000;0,042;0,038;0,037
SP00344;SP;5849,000;4118,000;1731,000;3729,000;3,000;0,080;0,113;0,073
SP00345;SP;7886,000;5416,000;2470,000;4892,000;4,000;0,082;0,151;0,074
SP00348;SP;4643,000;3365,000;1278,000;3024,000;2,000;0,066;0,075;0,059
SP00350;SP;1278,000;961,000;317,000;845,000;1,000;0,118;0,038;0,104
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,038;0,055
SP00356;SP;6871,000;5190,000;1681,000;4713,000;3,000;0,064;0,113;0,058
SP00365;SP;5757,000;3680,000;2077,000;3504,000;2,000;0,057;0,075;0,054
SP00367;SP;3181,000;2043,000;1138,000;1835,000;3,000;0,163;0,113;0,147
SP00369;SP;4203,000;2956,000;1247,000;2789,000;2,000;0,072;0,075;0,068
SP00370;SP;7693,000;5691,000;2002,000;5410,000;2,000;0,037;0,075;0,035
SP00372;SP;5891,000;3989,000;1902,000;3708,000;2,000;0,054;0,075;0,050
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,038;0,028
SP00374;SP;4011,000;2670,000;1341,000;2516,000;2,000;0,079;0,075;0,075
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,038;0,030
SP00376;SP;4805,000;3354,000;1451,000;3098,000;3,000;0,097;0,113;0,089
SP00379;SP;4356,000;2992,000;1364,000;2717,000;2,000;0,074;0,075;0,067
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,038;0,035
SP00391;SP;3539,000;2437,000;1102,000;2119,000;1,000;0,047;0,038;0,041
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,038;0,023
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,038;0,031
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,038;0,020
