CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,671;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,671;0,021
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,671;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,671;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;3,000;0,109;2,013;0,096
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,671;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,671;0,026
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,671;0,026
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,671;0,010
SP00105;SP;3570,000;2330,000;1240,000;2184,000;1,000;0,046;0,671;0,043
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,671;0,015
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,671;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,671;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;7,000;0,120;4,698;0,108
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,671;0,021
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,671;0,031
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,671;0,021
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,671;0,021
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,671;0,030
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,671;0,024
SP00472;SP;2507,000;1806,000;701,000;1593,000;3,000;0,188;2,013;0,166
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,671;0,023
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,671;0,050
SP00527;SP;3105,000;2475,000;630,000;2136,000;2,000;0,094;1,342;0,081
SP00631;SP;2522,000;1571,000;951,000;1400,000;3,000;0,214;2,013;0,191
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,671;0,032
SP00682;SP;2306,000;1759,000;547,000;1584,000;1,000;0,063;0,671;0,057
SP00729;SP;8105,000;5929,000;2176,000;5111,000;2,000;0,039;1,342;0,034
SP00746;SP;1614,000;1302,000;312,000;1139,000;1,000;0,088;0,671;0,077
SP00759;SP;3490,000;2694,000;796,000;2242,000;1,000;0,045;0,671;0,037
SP00777;SP;5853,000;4038,000;1815,000;3381,000;2,000;0,059;1,342;0,050
SP00793;SP;2523,000;1921,000;602,000;1605,000;2,000;0,125;1,342;0,104
SP00803;SP;3495,000;2525,000;970,000;2040,000;1,000;0,049;0,671;0,040
SP00804;SP;1445,000;1087,000;358,000;869,000;1,000;0,115;0,671;0,092
SP00920;SP;6672,000;4828,000;1844,000;3916,000;2,000;0,051;1,342;0,041
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;1,342;0,033
SP01014;SP;3487,000;2551,000;936,000;2157,000;1,000;0,046;0,671;0,039
SP01097;SP;7641,000;5404,000;2237,000;4710,000;2,000;0,042;1,342;0,037
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,671;0,025
SP01105;SP;5682,000;4024,000;1658,000;3544,000;1,000;0,028;0,671;0,025
SP01167;SP;6259,000;4450,000;1809,000;3620,000;1,000;0,028;0,671;0,022
SP01168;SP;5911,000;4089,000;1822,000;3473,000;2,000;0,058;1,342;0,049
SP01180;SP;4666,000;3372,000;1294,000;2690,000;1,000;0,037;0,671;0,030
SP01205;SP;6483,000;4885,000;1598,000;4000,000;1,000;0,025;0,671;0,020
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,671;0,019
SP01211;SP;4601,000;3490,000;1111,000;2769,000;1,000;0,036;0,671;0,029
SP01229;SP;5709,000;4410,000;1299,000;3576,000;1,000;0,028;0,671;0,023
SP01243;SP;4912,000;3806,000;1106,000;3153,000;1,000;0,032;0,671;0,026
SP01256;SP;6264,000;4532,000;1732,000;3688,000;2,000;0,054;1,342;0,044
SP01258;SP;3588,000;2646,000;942,000;2112,000;1,000;0,047;0,671;0,038
SP01276;SP;5814,000;4245,000;1569,000;3567,000;1,000;0,028;0,671;0,024
SP01304;SP;3849,000;2885,000;964,000;2389,000;1,000;0,042;0,671;0,035
SP01316;SP;6703,000;4570,000;2133,000;3887,000;1,000;0,026;0,671;0,022
SP01330;SP;7538,000;5905,000;1633,000;5127,000;1,000;0,020;0,671;0,017
SP01357;SP;2333,000;1739,000;594,000;1398,000;1,000;0,072;0,671;0,058
SP01444;SP;5456,000;4304,000;1152,000;3559,000;1,000;0,028;0,671;0,023
SP01517;SP;8843,000;6741,000;2102,000;5697,000;1,000;0,018;0,671;0,015
SP01534;SP;4049,000;2999,000;1050,000;2548,000;1,000;0,039;0,671;0,033
SP01536;SP;6545,000;4984,000;1561,000;4185,000;1,000;0,024;0,671;0,020
SP01543;SP;6952,000;5280,000;1672,000;4396,000;1,000;0,023;0,671;0,019
SP01621;SP;5101,000;3838,000;1263,000;3203,000;1,000;0,031;0,671;0,026
SP01625;SP;5942,000;4747,000;1195,000;4037,000;1,000;0,025;0,671;0,021
SP01635;SP;6200,000;4212,000;1988,000;3548,000;1,000;0,028;0,671;0,024
SP01652;SP;5410,000;3880,000;1530,000;3273,000;1,000;0,031;0,671;0,026
SP01671;SP;2362,000;1793,000;569,000;1520,000;1,000;0,066;0,671;0,056
SP01675;SP;7296,000;5435,000;1861,000;4628,000;1,000;0,022;0,671;0,018
SP01709;SP;5123,000;4026,000;1097,000;3430,000;4,000;0,117;2,685;0,099
SP01711;SP;2862,000;2103,000;759,000;1740,000;1,000;0,057;0,671;0,048
SP01721;SP;3300,000;2518,000;782,000;2118,000;1,000;0,047;0,671;0,040
SP01757;SP;6189,000;4696,000;1493,000;4013,000;6,000;0,150;4,027;0,128
SP01758;SP;4558,000;3594,000;964,000;3021,000;1,000;0,033;0,671;0,028
SP01761;SP;6449,000;4860,000;1589,000;3968,000;1,000;0,025;0,671;0,021
