CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00030;SP;2911,000;1924,000;987,000;1764,000;2,000;0,113;1,235;0,104
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,617;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;11,000;0,321;6,790;0,285
SP00036;SP;6716,000;4776,000;1940,000;4457,000;7,000;0,157;4,321;0,147
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,617;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;6,000;0,116;3,704;0,106
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,617;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;1,235;0,037
SP00041;SP;4585,000;3191,000;1394,000;2950,000;7,000;0,237;4,321;0,219
SP00042;SP;3797,000;2921,000;876,000;2677,000;11,000;0,411;6,790;0,377
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;1,235;0,079
SP00048;SP;5609,000;4361,000;1248,000;4021,000;3,000;0,075;1,852;0,069
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,617;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,617;0,032
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,617;0,034
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,617;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,617;0,010
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,617;0,023
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,617;0,037
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;1,235;0,073
SP00330;SP;4062,000;2873,000;1189,000;2547,000;1,000;0,039;0,617;0,035
SP00338;SP;4592,000;3124,000;1468,000;2780,000;2,000;0,072;1,235;0,064
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,617;0,044
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,617;0,030
SP00364;SP;1999,000;1353,000;646,000;1259,000;1,000;0,079;0,617;0,074
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,617;0,025
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,617;0,028
SP00506;SP;4319,000;3065,000;1254,000;2647,000;1,000;0,038;0,617;0,033
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,617;0,038
SP00548;SP;4404,000;2954,000;1450,000;2590,000;1,000;0,039;0,617;0,034
SP00554;SP;5499,000;4102,000;1397,000;3446,000;1,000;0,029;0,617;0,024
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,617;0,033
SP00612;SP;2164,000;1540,000;624,000;1327,000;1,000;0,075;0,617;0,065
SP00619;SP;1692,000;1227,000;465,000;1055,000;1,000;0,095;0,617;0,081
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,617;0,026
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,617;0,023
SP00812;SP;6537,000;4507,000;2030,000;3857,000;1,000;0,026;0,617;0,022
SP00813;SP;5405,000;3715,000;1690,000;3298,000;1,000;0,030;0,617;0,027
SP00840;SP;990,000;792,000;198,000;676,000;1,000;0,148;0,617;0,126
SP00841;SP;6587,000;5004,000;1583,000;4195,000;1,000;0,024;0,617;0,020
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,617;0,027
SP00906;SP;1659,000;1267,000;392,000;1089,000;1,000;0,092;0,617;0,079
SP00954;SP;4954,000;3697,000;1257,000;3067,000;1,000;0,033;0,617;0,027
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,617;0,025
SP01319;SP;6497,000;4542,000;1955,000;3670,000;1,000;0,027;0,617;0,022
SP01320;SP;8209,000;6019,000;2190,000;5015,000;1,000;0,020;0,617;0,017
SP01331;SP;1932,000;1420,000;512,000;1196,000;1,000;0,084;0,617;0,070
SP01336;SP;6381,000;4725,000;1656,000;3753,000;1,000;0,027;0,617;0,021
SP01366;SP;6944,000;5099,000;1845,000;4243,000;1,000;0,024;0,617;0,020
SP01475;SP;3961,000;2752,000;1209,000;2310,000;1,000;0,043;0,617;0,036
SP01476;SP;4315,000;3049,000;1266,000;2546,000;1,000;0,039;0,617;0,033
SP01478;SP;7765,000;5221,000;2544,000;4345,000;2,000;0,046;1,235;0,038
SP01481;SP;2868,000;2080,000;788,000;1681,000;2,000;0,119;1,235;0,096
SP01482;SP;6480,000;4781,000;1699,000;3882,000;1,000;0,026;0,617;0,021
SP01483;SP;5423,000;3997,000;1426,000;3341,000;2,000;0,060;1,235;0,050
SP01484;SP;4803,000;3637,000;1166,000;3023,000;1,000;0,033;0,617;0,027
SP01486;SP;6492,000;4955,000;1537,000;4168,000;1,000;0,024;0,617;0,020
SP01488;SP;4853,000;3805,000;1048,000;3190,000;1,000;0,031;0,617;0,026
SP01490;SP;5134,000;3970,000;1164,000;3327,000;1,000;0,030;0,617;0,025
SP01491;SP;4927,000;3538,000;1389,000;2917,000;3,000;0,103;1,852;0,085
SP01493;SP;3722,000;2712,000;1010,000;2272,000;1,000;0,044;0,617;0,037
SP01494;SP;6825,000;4925,000;1900,000;4104,000;3,000;0,073;1,852;0,061
SP01495;SP;5651,000;4282,000;1369,000;3551,000;1,000;0,028;0,617;0,023
SP01498;SP;5725,000;4260,000;1465,000;3481,000;1,000;0,029;0,617;0,023
SP01503;SP;5963,000;4430,000;1533,000;3628,000;2,000;0,055;1,235;0,045
SP01505;SP;1275,000;993,000;282,000;808,000;1,000;0,124;0,617;0,101
SP01506;SP;3179,000;2206,000;973,000;1905,000;1,000;0,052;0,617;0,045
SP01508;SP;2503,000;1903,000;600,000;1596,000;6,000;0,376;3,704;0,315
SP01512;SP;1736,000;1367,000;369,000;1142,000;2,000;0,175;1,235;0,146
SP01514;SP;980,000;606,000;374,000;480,000;1,000;0,208;0,617;0,165
SP01536;SP;6545,000;4984,000;1561,000;4185,000;1,000;0,024;0,617;0,020
SP01589;SP;5101,000;3963,000;1138,000;3337,000;1,000;0,030;0,617;0,025
SP01595;SP;3343,000;2577,000;766,000;2170,000;1,000;0,046;0,617;0,039
SP01628;SP;974,000;709,000;265,000;596,000;1,000;0,168;0,617;0,141
SP01713;SP;4285,000;3322,000;963,000;2877,000;1,000;0,035;0,617;0,030
SP01716;SP;3015,000;2185,000;830,000;1849,000;2,000;0,108;1,235;0,092
SP01719;SP;5072,000;3667,000;1405,000;3138,000;3,000;0,096;1,852;0,082
SP01720;SP;4886,000;3771,000;1115,000;3270,000;1,000;0,031;0,617;0,027
SP01722;SP;4433,000;3424,000;1009,000;2973,000;2,000;0,067;1,235;0,058
SP01724;SP;5829,000;4472,000;1357,000;3791,000;1,000;0,026;0,617;0,022
SP01726;SP;4123,000;3080,000;1043,000;2542,000;1,000;0,039;0,617;0,032
SP01729;SP;3858,000;2903,000;955,000;2392,000;2,000;0,084;1,235;0,069
SP01731;SP;1980,000;1505,000;475,000;1257,000;2,000;0,159;1,235;0,133
SP01732;SP;5337,000;4122,000;1215,000;3348,000;5,000;0,149;3,086;0,121
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;0,617;0,028
SP01734;SP;4835,000;3770,000;1065,000;3245,000;1,000;0,031;0,617;0,027
SP01737;SP;4533,000;3032,000;1501,000;2598,000;2,000;0,077;1,235;0,066
SP01798;SP;7205,000;5180,000;2025,000;4415,000;1,000;0,023;0,617;0,019
SP01811;SP;6412,000;4710,000;1702,000;3911,000;1,000;0,026;0,617;0,021
SP01998;SP;6178,000;4568,000;1610,000;3831,000;1,000;0,026;0,617;0,022
SP02029;SP;6908,000;4822,000;2086,000;4034,000;1,000;0,025;0,617;0,021
SP02041;SP;2020,000;1558,000;462,000;1334,000;1,000;0,075;0,617;0,064
SP02058;SP;3951,000;2944,000;1007,000;2403,000;1,000;0,042;0,617;0,034
