CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,240;0,049
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,120;0,019
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,120;0,027
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,120;0,019
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,240;0,035
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,120;0,018
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,240;0,041
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,120;0,019
SP00184;SP;781,000;570,000;211,000;453,000;1,000;0,221;0,120;0,175
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,120;0,030
SP00227;SP;5078,000;3646,000;1432,000;3077,000;1,000;0,032;0,120;0,027
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,120;0,022
SP00260;SP;6967,000;4886,000;2081,000;4112,000;4,000;0,097;0,481;0,082
SP00261;SP;5727,000;3983,000;1744,000;3376,000;4,000;0,118;0,481;0,100
SP00262;SP;6791,000;4838,000;1953,000;4128,000;6,000;0,145;0,721;0,124
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,120;0,012
SP00267;SP;6197,000;4417,000;1780,000;3682,000;5,000;0,136;0,601;0,113
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,120;0,022
SP00271;SP;6516,000;4689,000;1827,000;3929,000;6,000;0,153;0,721;0,128
SP00272;SP;3513,000;2773,000;740,000;2324,000;3,000;0,129;0,361;0,108
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,120;0,023
SP00274;SP;5083,000;4027,000;1056,000;3417,000;3,000;0,088;0,361;0,074
SP00278;SP;3874,000;2884,000;990,000;2434,000;2,000;0,082;0,240;0,069
SP00280;SP;6493,000;4855,000;1638,000;3966,000;2,000;0,050;0,240;0,041
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,120;0,024
SP00282;SP;6521,000;4899,000;1622,000;4004,000;2,000;0,050;0,240;0,041
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,120;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;2,000;0,072;0,240;0,059
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,120;0,056
SP00288;SP;2503,000;1898,000;605,000;1542,000;2,000;0,130;0,240;0,105
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,120;0,025
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,120;0,036
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,120;0,020
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,120;0,024
SP00429;SP;5111,000;3592,000;1519,000;3236,000;1,000;0,031;0,120;0,028
SP00438;SP;3263,000;2333,000;930,000;2012,000;2,000;0,099;0,240;0,086
SP00440;SP;4147,000;2940,000;1207,000;2548,000;1,000;0,039;0,120;0,034
SP00465;SP;7597,000;5474,000;2123,000;4737,000;1,000;0,021;0,120;0,018
SP00509;SP;4399,000;3005,000;1394,000;2554,000;1,000;0,039;0,120;0,033
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;0,120;0,035
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,120;0,015
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,120;0,020
SP00796;SP;1001,000;710,000;291,000;595,000;1,000;0,168;0,120;0,141
SP00865;SP;5331,000;4079,000;1252,000;3454,000;1,000;0,029;0,120;0,025
SP00882;SP;1968,000;1497,000;471,000;1197,000;1,000;0,084;0,120;0,067
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;0,120;0,029
SP01012;SP;9040,000;6338,000;2702,000;5575,000;4,000;0,072;0,481;0,063
SP01015;SP;5212,000;3695,000;1517,000;3226,000;1,000;0,031;0,120;0,027
SP01016;SP;7681,000;5440,000;2241,000;4570,000;1,000;0,022;0,120;0,018
SP01019;SP;3579,000;2715,000;864,000;2251,000;1,000;0,044;0,120;0,037
SP01021;SP;5856,000;4048,000;1808,000;3411,000;5,000;0,147;0,601;0,124
SP01022;SP;7237,000;5347,000;1890,000;4505,000;2,000;0,044;0,240;0,037
SP01024;SP;1053,000;748,000;305,000;632,000;1,000;0,158;0,120;0,134
SP01025;SP;3899,000;2743,000;1156,000;2367,000;1,000;0,042;0,120;0,036
SP01026;SP;4576,000;3267,000;1309,000;2774,000;3,000;0,108;0,361;0,092
SP01029;SP;3145,000;2379,000;766,000;1989,000;1,000;0,050;0,120;0,042
SP01032;SP;4988,000;3787,000;1201,000;3216,000;7,000;0,218;0,841;0,185
SP01033;SP;4681,000;3640,000;1041,000;3143,000;4,000;0,127;0,481;0,110
SP01034;SP;3909,000;2923,000;986,000;2528,000;1,000;0,040;0,120;0,034
SP01035;SP;6691,000;4957,000;1734,000;4181,000;3,000;0,072;0,361;0,061
SP01036;SP;4224,000;3283,000;941,000;2773,000;1,000;0,036;0,120;0,030
SP01038;SP;3517,000;2693,000;824,000;2279,000;1,000;0,044;0,120;0,037
SP01039;SP;3823,000;2910,000;913,000;2407,000;2,000;0,083;0,240;0,069
SP01043;SP;1572,000;1215,000;357,000;1043,000;2,000;0,192;0,240;0,165
SP01045;SP;4702,000;3558,000;1144,000;2953,000;3,000;0,102;0,361;0,084
SP01046;SP;1567,000;1208,000;359,000;1036,000;1,000;0,097;0,120;0,083
SP01049;SP;2385,000;1831,000;554,000;1538,000;2,000;0,130;0,240;0,109
SP01050;SP;1959,000;1503,000;456,000;1281,000;1,000;0,078;0,120;0,067
SP01051;SP;3156,000;2436,000;720,000;2042,000;1,000;0,049;0,120;0,041
SP01054;SP;4275,000;2952,000;1323,000;2509,000;1,000;0,040;0,120;0,034
SP01070;SP;3112,000;2381,000;731,000;2017,000;1,000;0,050;0,120;0,042
SP01072;SP;1029,000;793,000;236,000;657,000;1,000;0,152;0,120;0,126
SP01078;SP;10615,000;7516,000;3099,000;6404,000;1,000;0,016;0,120;0,013
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,120;0,016
SP01080;SP;3811,000;2747,000;1064,000;2336,000;1,000;0,043;0,120;0,036
SP01083;SP;3114,000;2088,000;1026,000;1808,000;2,000;0,111;0,240;0,096
SP01088;SP;889,000;723,000;166,000;623,000;2,000;0,321;0,240;0,277
SP01139;SP;2703,000;2011,000;692,000;1677,000;1,000;0,060;0,120;0,050
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,120;0,027
SP01157;SP;6773,000;5060,000;1713,000;4280,000;1,000;0,023;0,120;0,020
SP01199;SP;4561,000;3429,000;1132,000;2819,000;1,000;0,035;0,120;0,029
SP01205;SP;6483,000;4885,000;1598,000;4000,000;1,000;0,025;0,120;0,020
SP01207;SP;4349,000;3294,000;1055,000;2669,000;1,000;0,037;0,120;0,030
SP01208;SP;6891,000;5231,000;1660,000;4256,000;1,000;0,023;0,120;0,019
SP01209;SP;7838,000;5777,000;2061,000;4668,000;2,000;0,043;0,240;0,035
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;0,120;0,020
SP01227;SP;4013,000;2907,000;1106,000;2421,000;1,000;0,041;0,120;0,034
SP01228;SP;4077,000;2878,000;1199,000;2288,000;1,000;0,044;0,120;0,035
SP01231;SP;4357,000;2845,000;1512,000;2387,000;1,000;0,042;0,120;0,035
SP01232;SP;4544,000;3180,000;1364,000;2674,000;1,000;0,037;0,120;0,031
SP01237;SP;5922,000;4157,000;1765,000;3352,000;1,000;0,030;0,120;0,024
SP01243;SP;4912,000;3806,000;1106,000;3153,000;2,000;0,063;0,240;0,053
SP01248;SP;6322,000;4741,000;1581,000;3875,000;1,000;0,026;0,120;0,021
SP01258;SP;3588,000;2646,000;942,000;2112,000;1,000;0,047;0,120;0,038
SP01288;SP;3628,000;2787,000;841,000;2393,000;1,000;0,042;0,120;0,036
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,120;0,030
SP01446;SP;4917,000;3793,000;1124,000;3157,000;1,000;0,032;0,120;0,026
SP01452;SP;5785,000;4402,000;1383,000;3633,000;2,000;0,055;0,240;0,045
SP01456;SP;5392,000;4124,000;1268,000;3409,000;6,000;0,176;0,721;0,145
SP01460;SP;3158,000;2407,000;751,000;1981,000;1,000;0,050;0,120;0,042
SP01469;SP;5075,000;3731,000;1344,000;2913,000;1,000;0,034;0,120;0,027
SP01471;SP;1901,000;1496,000;405,000;1225,000;1,000;0,082;0,120;0,067
SP01488;SP;4853,000;3805,000;1048,000;3190,000;1,000;0,031;0,120;0,026
SP01502;SP;4069,000;3074,000;995,000;2489,000;1,000;0,040;0,120;0,033
SP01546;SP;4679,000;3573,000;1106,000;3012,000;3,000;0,100;0,361;0,084
SP01555;SP;3529,000;2670,000;859,000;2199,000;1,000;0,045;0,120;0,037
SP01633;SP;5184,000;3704,000;1480,000;3122,000;1,000;0,032;0,120;0,027
SP01635;SP;6200,000;4212,000;1988,000;3548,000;1,000;0,028;0,120;0,024
SP01642;SP;2330,000;1658,000;672,000;1391,000;1,000;0,072;0,120;0,060
SP01645;SP;4193,000;2916,000;1277,000;2472,000;2,000;0,081;0,240;0,069
SP01646;SP;4342,000;3429,000;913,000;2817,000;1,000;0,035;0,120;0,029
SP01647;SP;3641,000;2859,000;782,000;2359,000;2,000;0,085;0,240;0,070
SP01655;SP;3529,000;2415,000;1114,000;2058,000;3,000;0,146;0,361;0,124
SP01659;SP;4975,000;3950,000;1025,000;3337,000;1,000;0,030;0,120;0,025
SP01665;SP;2933,000;2048,000;885,000;1706,000;1,000;0,059;0,120;0,049
SP01671;SP;2362,000;1793,000;569,000;1520,000;1,000;0,066;0,120;0,056
SP01676;SP;7202,000;5553,000;1649,000;4501,000;1,000;0,022;0,120;0,018
SP01678;SP;6291,000;4642,000;1649,000;3951,000;2,000;0,051;0,240;0,043
SP01679;SP;6584,000;5223,000;1361,000;4406,000;2,000;0,045;0,240;0,038
SP01694;SP;6468,000;4848,000;1620,000;4112,000;1,000;0,024;0,120;0,021
SP01697;SP;6299,000;4729,000;1570,000;4049,000;1,000;0,025;0,120;0,021
SP01725;SP;6477,000;4901,000;1576,000;4149,000;2,000;0,048;0,240;0,041
SP01731;SP;1980,000;1505,000;475,000;1257,000;1,000;0,080;0,120;0,066
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;0,120;0,028
SP01734;SP;4835,000;3770,000;1065,000;3245,000;1,000;0,031;0,120;0,027
SP01756;SP;6967,000;5286,000;1681,000;4434,000;1,000;0,023;0,120;0,019
SP01760;SP;3464,000;2593,000;871,000;2106,000;2,000;0,095;0,240;0,077
SP01761;SP;6449,000;4860,000;1589,000;3968,000;1,000;0,025;0,120;0,021
SP01762;SP;1989,000;1411,000;578,000;1185,000;3,000;0,253;0,361;0,213
SP01764;SP;5036,000;3884,000;1152,000;3281,000;1,000;0,030;0,120;0,026
SP01769;SP;4801,000;3442,000;1359,000;2891,000;8,000;0,277;0,962;0,232
SP01774;SP;3149,000;2395,000;754,000;1983,000;2,000;0,101;0,240;0,084
SP01776;SP;5029,000;3736,000;1293,000;3151,000;3,000;0,095;0,361;0,080
