CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,645;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,645;0,028
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,645;0,008
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;1,290;0,047
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,645;0,017
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,645;0,029
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,645;0,043
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,645;0,027
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,645;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,645;0,019
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,645;0,036
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,645;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,645;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;1,290;0,055
SP00132;SP;4938,000;3378,000;1560,000;3079,000;2,000;0,065;1,290;0,059
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,645;0,028
SP00201;SP;9459,000;6572,000;2887,000;5989,000;3,000;0,050;1,935;0,046
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,645;0,029
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,645;0,044
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,645;0,033
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,645;0,042
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,645;0,030
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,645;0,025
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,645;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,645;0,021
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,645;0,023
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,645;0,058
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,645;0,026
SP00395;SP;7319,000;5036,000;2283,000;4255,000;2,000;0,047;1,290;0,040
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,645;0,075
SP00459;SP;4392,000;3188,000;1204,000;2896,000;1,000;0,035;0,645;0,031
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;0,645;0,042
SP00502;SP;6808,000;4910,000;1898,000;4207,000;2,000;0,048;1,290;0,041
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,645;0,022
SP00507;SP;9953,000;7335,000;2618,000;6265,000;2,000;0,032;1,290;0,027
SP00511;SP;6942,000;4878,000;2064,000;4132,000;1,000;0,024;0,645;0,021
SP00543;SP;8077,000;5459,000;2618,000;4653,000;2,000;0,043;1,290;0,037
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,645;0,029
SP00568;SP;4355,000;3188,000;1167,000;2856,000;2,000;0,070;1,290;0,063
SP00574;SP;4916,000;3364,000;1552,000;2734,000;1,000;0,037;0,645;0,030
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;0,645;0,020
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,645;0,017
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,645;0,025
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,645;0,031
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,645;0,027
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,645;0,017
SP00741;SP;4300,000;3373,000;927,000;2832,000;1,000;0,035;0,645;0,030
SP00772;SP;5664,000;4117,000;1547,000;3538,000;1,000;0,028;0,645;0,024
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,645;0,052
SP00849;SP;3277,000;2481,000;796,000;2090,000;1,000;0,048;0,645;0,040
SP00862;SP;4149,000;3028,000;1121,000;2481,000;1,000;0,040;0,645;0,033
SP00903;SP;1833,000;1397,000;436,000;1247,000;1,000;0,080;0,645;0,072
SP00920;SP;6672,000;4828,000;1844,000;3916,000;1,000;0,026;0,645;0,021
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,645;0,027
SP00935;SP;6922,000;4974,000;1948,000;4152,000;1,000;0,024;0,645;0,020
SP00939;SP;6851,000;5005,000;1846,000;4282,000;1,000;0,023;0,645;0,020
SP00952;SP;13315,000;8912,000;4403,000;7365,000;1,000;0,014;0,645;0,011
SP00965;SP;6230,000;4373,000;1857,000;3908,000;1,000;0,026;0,645;0,023
SP00978;SP;4720,000;3350,000;1370,000;2972,000;1,000;0,034;0,645;0,030
SP01017;SP;3849,000;2621,000;1228,000;2231,000;1,000;0,045;0,645;0,038
SP01026;SP;4576,000;3267,000;1309,000;2774,000;1,000;0,036;0,645;0,031
SP01038;SP;3517,000;2693,000;824,000;2279,000;1,000;0,044;0,645;0,037
SP01052;SP;6139,000;4367,000;1772,000;3809,000;1,000;0,026;0,645;0,023
SP01065;SP;3662,000;2656,000;1006,000;2330,000;1,000;0,043;0,645;0,038
SP01129;SP;6181,000;4505,000;1676,000;3834,000;1,000;0,026;0,645;0,022
SP01175;SP;4660,000;3409,000;1251,000;2858,000;1,000;0,035;0,645;0,029
SP01196;SP;6441,000;4626,000;1815,000;3945,000;1,000;0,025;0,645;0,022
SP01232;SP;4544,000;3180,000;1364,000;2674,000;1,000;0,037;0,645;0,031
SP01239;SP;6020,000;4603,000;1417,000;3712,000;1,000;0,027;0,645;0,022
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;0,645;0,020
SP01242;SP;3576,000;2712,000;864,000;2164,000;1,000;0,046;0,645;0,037
SP01256;SP;6264,000;4532,000;1732,000;3688,000;1,000;0,027;0,645;0,022
SP01275;SP;8215,000;5845,000;2370,000;4919,000;1,000;0,020;0,645;0,017
SP01319;SP;6497,000;4542,000;1955,000;3670,000;2,000;0,054;1,290;0,044
SP01321;SP;5117,000;3907,000;1210,000;3326,000;1,000;0,030;0,645;0,026
SP01326;SP;4913,000;3679,000;1234,000;2940,000;2,000;0,068;1,290;0,054
SP01336;SP;6381,000;4725,000;1656,000;3753,000;7,000;0,187;4,516;0,148
SP01343;SP;2274,000;1747,000;527,000;1438,000;1,000;0,070;0,645;0,057
SP01344;SP;1994,000;1507,000;487,000;1250,000;2,000;0,160;1,290;0,133
SP01350;SP;8729,000;6265,000;2464,000;5053,000;1,000;0,020;0,645;0,016
SP01354;SP;7702,000;5819,000;1883,000;4593,000;1,000;0,022;0,645;0,017
SP01394;SP;3196,000;2477,000;719,000;2018,000;1,000;0,050;0,645;0,040
SP01397;SP;8800,000;6245,000;2555,000;5280,000;1,000;0,019;0,645;0,016
SP01399;SP;8543,000;6119,000;2424,000;5176,000;2,000;0,039;1,290;0,033
SP01410;SP;6568,000;4871,000;1697,000;4389,000;1,000;0,023;0,645;0,021
SP01411;SP;5127,000;3922,000;1205,000;3438,000;2,000;0,058;1,290;0,051
SP01413;SP;5838,000;4146,000;1692,000;3467,000;1,000;0,029;0,645;0,024
SP01423;SP;3120,000;2433,000;687,000;2133,000;2,000;0,094;1,290;0,082
SP01456;SP;5392,000;4124,000;1268,000;3409,000;1,000;0,029;0,645;0,024
SP01487;SP;5209,000;4004,000;1205,000;3388,000;1,000;0,030;0,645;0,025
SP01518;SP;6543,000;4968,000;1575,000;4096,000;1,000;0,024;0,645;0,020
SP01529;SP;8092,000;6107,000;1985,000;5030,000;2,000;0,040;1,290;0,033
SP01535;SP;4410,000;3225,000;1185,000;2671,000;1,000;0,037;0,645;0,031
SP01538;SP;4587,000;3519,000;1068,000;2931,000;1,000;0,034;0,645;0,028
SP01613;SP;5274,000;3845,000;1429,000;3229,000;1,000;0,031;0,645;0,026
SP01631;SP;3548,000;2705,000;843,000;2284,000;1,000;0,044;0,645;0,037
SP01632;SP;5894,000;4098,000;1796,000;3431,000;1,000;0,029;0,645;0,024
SP01656;SP;5925,000;4175,000;1750,000;3558,000;2,000;0,056;1,290;0,048
SP01658;SP;4665,000;3405,000;1260,000;2870,000;2,000;0,070;1,290;0,059
SP01673;SP;1979,000;1600,000;379,000;1367,000;2,000;0,146;1,290;0,125
SP01696;SP;3501,000;2635,000;866,000;2139,000;1,000;0,047;0,645;0,038
SP01697;SP;6299,000;4729,000;1570,000;4049,000;1,000;0,025;0,645;0,021
SP01700;SP;3480,000;2776,000;704,000;2319,000;1,000;0,043;0,645;0,036
SP01703;SP;2290,000;1786,000;504,000;1471,000;1,000;0,068;0,645;0,056
SP01705;SP;1680,000;1237,000;443,000;999,000;1,000;0,100;0,645;0,081
SP01727;SP;4196,000;3134,000;1062,000;2630,000;1,000;0,038;0,645;0,032
SP01728;SP;3507,000;2774,000;733,000;2436,000;1,000;0,041;0,645;0,036
SP01753;SP;5888,000;4237,000;1651,000;3550,000;1,000;0,028;0,645;0,024
SP01770;SP;6174,000;4477,000;1697,000;3720,000;1,000;0,027;0,645;0,022
SP01835;SP;6616,000;4983,000;1633,000;4177,000;1,000;0,024;0,645;0,020
SP01852;SP;3141,000;2174,000;967,000;1762,000;1,000;0,057;0,645;0,046
SP01854;SP;5482,000;3816,000;1666,000;3154,000;1,000;0,032;0,645;0,026
SP01869;SP;5661,000;4238,000;1423,000;3691,000;1,000;0,027;0,645;0,024
SP01872;SP;7613,000;5835,000;1778,000;5033,000;1,000;0,020;0,645;0,017
SP01889;SP;7228,000;5214,000;2014,000;4452,000;1,000;0,022;0,645;0,019
SP01899;SP;6018,000;4686,000;1332,000;4033,000;1,000;0,025;0,645;0,021
SP01901;SP;2685,000;2070,000;615,000;1730,000;3,000;0,173;1,935;0,145
SP01928;SP;4314,000;2942,000;1372,000;2411,000;1,000;0,041;0,645;0,034
SP01933;SP;4814,000;3526,000;1288,000;2989,000;1,000;0,033;0,645;0,028
SP01957;SP;4354,000;2954,000;1400,000;2548,000;1,000;0,039;0,645;0,034
SP01962;SP;7108,000;5093,000;2015,000;4362,000;1,000;0,023;0,645;0,020
SP01994;SP;8040,000;6246,000;1794,000;5147,000;1,000;0,019;0,645;0,016
SP01995;SP;5916,000;4532,000;1384,000;3685,000;1,000;0,027;0,645;0,022
SP02010;SP;1994,000;1540,000;454,000;1280,000;2,000;0,156;1,290;0,130
SP02027;SP;5306,000;3655,000;1651,000;3143,000;2,000;0,064;1,290;0,055
