CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,109;0,018
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,109;0,021
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,218;0,033
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,109;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,218;0,056
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,109;0,052
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;0,328;0,024
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,218;0,024
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,109;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,109;0,025
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,109;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,109;0,017
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,218;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,109;0,016
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;0,328;0,074
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,109;0,024
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,109;0,108
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,109;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,109;0,019
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,109;0,022
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,109;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;5,000;0,060;0,546;0,054
SP00085;SP;7942,000;5522,000;2420,000;4861,000;4,000;0,082;0,437;0,072
SP00087;SP;7025,000;4901,000;2124,000;4319,000;3,000;0,069;0,328;0,061
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,109;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,109;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,109;0,023
SP00092;SP;8010,000;5674,000;2336,000;5030,000;5,000;0,099;0,546;0,088
SP00093;SP;4638,000;3524,000;1114,000;3163,000;3,000;0,095;0,328;0,085
SP00094;SP;3713,000;2680,000;1033,000;2357,000;2,000;0,085;0,218;0,075
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,218;0,037
SP00100;SP;4225,000;2928,000;1297,000;2539,000;2,000;0,079;0,218;0,068
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,218;0,029
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,109;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,109;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,218;0,039
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,109;0,015
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,109;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,109;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,109;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,218;0,036
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,109;0,026
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,109;0,033
SP00145;SP;4652,000;3551,000;1101,000;3217,000;3,000;0,093;0,328;0,084
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,109;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,109;0,027
SP00165;SP;5151,000;3881,000;1270,000;3088,000;1,000;0,032;0,109;0,026
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,109;0,016
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,109;0,016
SP00194;SP;8615,000;6268,000;2347,000;5780,000;2,000;0,035;0,218;0,032
SP00209;SP;4117,000;3042,000;1075,000;2774,000;2,000;0,072;0,218;0,066
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,109;0,030
SP00225;SP;4793,000;3416,000;1377,000;2882,000;3,000;0,104;0,328;0,088
SP00231;SP;4477,000;3485,000;992,000;2989,000;1,000;0,033;0,109;0,029
SP00236;SP;4570,000;3488,000;1082,000;2996,000;2,000;0,067;0,218;0,057
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,109;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,109;0,022
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,109;0,038
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,109;0,032
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,109;0,035
SP00252;SP;4288,000;3078,000;1210,000;2638,000;2,000;0,076;0,218;0,065
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,109;0,071
SP00260;SP;6967,000;4886,000;2081,000;4112,000;2,000;0,049;0,218;0,041
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,109;0,021
SP00273;SP;5615,000;4390,000;1225,000;3670,000;1,000;0,027;0,109;0,023
SP00275;SP;4248,000;3284,000;964,000;2804,000;4,000;0,143;0,437;0,122
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,109;0,031
SP00278;SP;3874,000;2884,000;990,000;2434,000;3,000;0,123;0,328;0,104
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,109;0,031
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,109;0,056
SP00308;SP;4601,000;3237,000;1364,000;2784,000;2,000;0,072;0,218;0,062
SP00317;SP;2042,000;1501,000;541,000;1271,000;1,000;0,079;0,109;0,067
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,109;0,018
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,109;0,030
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;0,218;0,073
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,109;0,032
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,109;0,024
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,109;0,044
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,109;0,026
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,109;0,049
SP00368;SP;4441,000;3045,000;1396,000;2778,000;2,000;0,072;0,218;0,066
SP00372;SP;5891,000;3989,000;1902,000;3708,000;1,000;0,027;0,109;0,025
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,109;0,037
SP00390;SP;4307,000;3128,000;1179,000;2733,000;6,000;0,220;0,655;0,192
SP00391;SP;3539,000;2437,000;1102,000;2119,000;22,000;1,038;2,402;0,903
SP00392;SP;4859,000;3569,000;1290,000;3137,000;19,000;0,606;2,074;0,532
SP00393;SP;3958,000;2809,000;1149,000;2404,000;7,000;0,291;0,764;0,249
SP00394;SP;2651,000;1853,000;798,000;1621,000;14,000;0,864;1,528;0,756
SP00395;SP;7319,000;5036,000;2283,000;4255,000;21,000;0,494;2,293;0,417
SP00396;SP;2981,000;2015,000;966,000;1734,000;16,000;0,923;1,747;0,794
SP00397;SP;4072,000;2894,000;1178,000;2418,000;34,000;1,406;3,712;1,175
SP00398;SP;2787,000;1796,000;991,000;1541,000;7,000;0,454;0,764;0,390
SP00399;SP;4200,000;2969,000;1231,000;2600,000;6,000;0,231;0,655;0,202
SP00400;SP;2153,000;1503,000;650,000;1323,000;4,000;0,302;0,437;0,266
SP00401;SP;6075,000;4286,000;1789,000;3723,000;10,000;0,269;1,092;0,233
SP00402;SP;4338,000;3200,000;1138,000;2741,000;4,000;0,146;0,437;0,125
SP00403;SP;6930,000;5024,000;1906,000;4268,000;13,000;0,305;1,419;0,259
SP00404;SP;5256,000;3768,000;1488,000;3185,000;3,000;0,094;0,328;0,080
SP00405;SP;4680,000;3515,000;1165,000;3097,000;9,000;0,291;0,983;0,256
SP00406;SP;3867,000;2759,000;1108,000;2325,000;1,000;0,043;0,109;0,036
SP00407;SP;4191,000;3035,000;1156,000;2536,000;3,000;0,118;0,328;0,099
SP00408;SP;7217,000;5129,000;2088,000;4414,000;8,000;0,181;0,873;0,156
SP00409;SP;5537,000;4146,000;1391,000;3428,000;3,000;0,088;0,328;0,072
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,109;0,075
SP00412;SP;2247,000;1715,000;532,000;1480,000;5,000;0,338;0,546;0,292
SP00413;SP;5079,000;3987,000;1092,000;3298,000;4,000;0,121;0,437;0,100
SP00414;SP;2489,000;1977,000;512,000;1655,000;11,000;0,665;1,201;0,556
