CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,476;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,238;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,238;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,238;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;5,000;0,098;1,190;0,087
SP00014;SP;7153,000;4433,000;2720,000;3934,000;4,000;0,102;0,952;0,090
SP00015;SP;4890,000;3200,000;1690,000;2777,000;5,000;0,180;1,190;0,156
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,476;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;7,000;0,189;1,667;0,169
SP00018;SP;5238,000;3256,000;1982,000;2906,000;4,000;0,138;0,952;0,123
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,238;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,238;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;15,000;0,466;3,571;0,389
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,238;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;2,000;0,068;0,476;0,062
SP00052;SP;5165,000;3133,000;2032,000;2746,000;4,000;0,146;0,952;0,128
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,476;0,056
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,238;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,476;0,055
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;0,714;0,074
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,238;0,024
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,238;0,025
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,238;0,049
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,238;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;4,000;0,088;0,952;0,077
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,476;0,039
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,238;0,031
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,238;0,018
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,238;0,035
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,238;0,020
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,238;0,017
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,238;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,238;0,018
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,238;0,019
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,238;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,238;0,026
SP00135;SP;10099,000;6853,000;3246,000;5983,000;17,000;0,284;4,048;0,248
SP00136;SP;9241,000;6497,000;2744,000;5815,000;4,000;0,069;0,952;0,062
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,238;0,020
SP00138;SP;3114,000;2129,000;985,000;1891,000;2,000;0,106;0,476;0,094
SP00139;SP;7945,000;5514,000;2431,000;4905,000;4,000;0,082;0,952;0,073
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,238;0,026
SP00141;SP;4594,000;3186,000;1408,000;2804,000;4,000;0,143;0,952;0,126
SP00142;SP;4541,000;2990,000;1551,000;2638,000;3,000;0,114;0,714;0,100
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,238;0,018
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,238;0,025
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,238;0,028
SP00146;SP;7336,000;5404,000;1932,000;4752,000;5,000;0,105;1,190;0,093
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,238;0,027
SP00149;SP;3452,000;2590,000;862,000;2234,000;9,000;0,403;2,143;0,347
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,238;0,021
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,238;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,238;0,020
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,238;0,033
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,238;0,021
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,238;0,037
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,238;0,021
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,238;0,030
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,238;0,024
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,238;0,061
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,238;0,058
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,238;0,032
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,238;0,036
SP00367;SP;3181,000;2043,000;1138,000;1835,000;1,000;0,054;0,238;0,049
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;0,238;0,059
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,238;0,029
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,238;0,017
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,238;0,033
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,238;0,024
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,238;0,026
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,238;0,026
SP00487;SP;2063,000;1542,000;521,000;1295,000;1,000;0,077;0,238;0,065
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,238;0,021
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,238;0,030
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,238;0,052
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;0,238;0,032
SP00606;SP;2414,000;1894,000;520,000;1650,000;1,000;0,061;0,238;0,053
SP00607;SP;2771,000;2166,000;605,000;1868,000;1,000;0,054;0,238;0,046
SP00612;SP;2164,000;1540,000;624,000;1327,000;1,000;0,075;0,238;0,065
SP00636;SP;7155,000;4893,000;2262,000;4473,000;2,000;0,045;0,476;0,041
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,238;0,027
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,238;0,041
SP00649;SP;2648,000;1982,000;666,000;1760,000;2,000;0,114;0,476;0,101
SP00663;SP;4883,000;3374,000;1509,000;3029,000;1,000;0,033;0,238;0,030
SP00669;SP;4307,000;3090,000;1217,000;2819,000;1,000;0,035;0,238;0,032
SP00686;SP;9715,000;6586,000;3129,000;5733,000;1,000;0,017;0,238;0,015
SP00694;SP;8474,000;6228,000;2246,000;5583,000;1,000;0,018;0,238;0,016
SP00695;SP;5738,000;3934,000;1804,000;3443,000;1,000;0,029;0,238;0,025
SP00697;SP;4338,000;3181,000;1157,000;2881,000;1,000;0,035;0,238;0,031
SP00723;SP;5496,000;4095,000;1401,000;3502,000;2,000;0,057;0,476;0,049
SP00731;SP;4685,000;3466,000;1219,000;3004,000;1,000;0,033;0,238;0,029
SP00745;SP;4714,000;3481,000;1233,000;3072,000;2,000;0,065;0,476;0,057
SP00764;SP;1319,000;1062,000;257,000;886,000;1,000;0,113;0,238;0,094
SP00770;SP;6150,000;4203,000;1947,000;3615,000;2,000;0,055;0,476;0,048
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,238;0,019
SP00793;SP;2523,000;1921,000;602,000;1605,000;1,000;0,062;0,238;0,052
SP00797;SP;3693,000;2666,000;1027,000;2284,000;1,000;0,044;0,238;0,038
SP00804;SP;1445,000;1087,000;358,000;869,000;1,000;0,115;0,238;0,092
SP00824;SP;5510,000;4207,000;1303,000;3616,000;1,000;0,028;0,238;0,024
SP00838;SP;4893,000;3681,000;1212,000;3136,000;1,000;0,032;0,238;0,027
SP00868;SP;4537,000;3375,000;1162,000;2769,000;1,000;0,036;0,238;0,030
SP00871;SP;4180,000;3171,000;1009,000;2619,000;1,000;0,038;0,238;0,032
SP00899;SP;3360,000;2430,000;930,000;2195,000;1,000;0,046;0,238;0,041
SP00900;SP;4799,000;3561,000;1238,000;2989,000;1,000;0,033;0,238;0,028
SP00922;SP;8638,000;6089,000;2549,000;5158,000;1,000;0,019;0,238;0,016
SP00923;SP;5779,000;3898,000;1881,000;3357,000;1,000;0,030;0,238;0,026
SP00928;SP;5132,000;3949,000;1183,000;3288,000;2,000;0,061;0,476;0,051
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,238;0,019
SP00947;SP;6568,000;4904,000;1664,000;4056,000;2,000;0,049;0,476;0,041
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,238;0,030
SP00960;SP;3791,000;2748,000;1043,000;2254,000;1,000;0,044;0,238;0,036
SP00961;SP;1021,000;668,000;353,000;532,000;1,000;0,188;0,238;0,150
SP00971;SP;4461,000;3050,000;1411,000;2736,000;1,000;0,037;0,238;0,033
SP00982;SP;5546,000;3870,000;1676,000;3467,000;1,000;0,029;0,238;0,026
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;0,238;0,029
SP00991;SP;3538,000;2527,000;1011,000;2242,000;1,000;0,045;0,238;0,040
SP01013;SP;5581,000;4094,000;1487,000;3585,000;1,000;0,028;0,238;0,024
SP01036;SP;4224,000;3283,000;941,000;2773,000;2,000;0,072;0,476;0,061
SP01037;SP;5057,000;3801,000;1256,000;3294,000;1,000;0,030;0,238;0,026
SP01045;SP;4702,000;3558,000;1144,000;2953,000;1,000;0,034;0,238;0,028
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,238;0,016
SP01081;SP;4604,000;3442,000;1162,000;2917,000;1,000;0,034;0,238;0,029
SP01092;SP;5885,000;3837,000;2048,000;3221,000;1,000;0,031;0,238;0,026
SP01101;SP;5144,000;3574,000;1570,000;3122,000;1,000;0,032;0,238;0,028
SP01118;SP;3117,000;2195,000;922,000;1851,000;1,000;0,054;0,238;0,046
SP01141;SP;6662,000;5002,000;1660,000;4271,000;2,000;0,047;0,476;0,040
SP01154;SP;7187,000;5411,000;1776,000;4524,000;1,000;0,022;0,238;0,018
SP01171;SP;6620,000;4759,000;1861,000;3966,000;1,000;0,025;0,238;0,021
SP01195;SP;5991,000;4371,000;1620,000;3710,000;1,000;0,027;0,238;0,023
SP01207;SP;4349,000;3294,000;1055,000;2669,000;1,000;0,037;0,238;0,030
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;0,238;0,020
SP01237;SP;5922,000;4157,000;1765,000;3352,000;1,000;0,030;0,238;0,024
SP01289;SP;8261,000;6336,000;1925,000;5214,000;1,000;0,019;0,238;0,016
SP01293;SP;8374,000;6450,000;1924,000;5532,000;1,000;0,018;0,238;0,016
SP01305;SP;3647,000;2691,000;956,000;2223,000;1,000;0,045;0,238;0,037
SP01333;SP;8821,000;6398,000;2423,000;5220,000;1,000;0,019;0,238;0,016
SP01353;SP;3717,000;2767,000;950,000;2349,000;1,000;0,043;0,238;0,036
SP01363;SP;5696,000;3998,000;1698,000;3277,000;1,000;0,031;0,238;0,025
SP01382;SP;4773,000;3511,000;1262,000;2832,000;1,000;0,035;0,238;0,028
SP01388;SP;4349,000;3282,000;1067,000;2705,000;1,000;0,037;0,238;0,030
SP01397;SP;8800,000;6245,000;2555,000;5280,000;1,000;0,019;0,238;0,016
SP01417;SP;8205,000;6028,000;2177,000;5141,000;1,000;0,019;0,238;0,017
SP01424;SP;2544,000;1992,000;552,000;1718,000;1,000;0,058;0,238;0,050
SP01425;SP;3763,000;2914,000;849,000;2538,000;1,000;0,039;0,238;0,034
SP01438;SP;7108,000;5103,000;2005,000;4345,000;1,000;0,023;0,238;0,020
SP01450;SP;5727,000;4301,000;1426,000;3610,000;1,000;0,028;0,238;0,023
SP01451;SP;4196,000;3104,000;1092,000;2494,000;1,000;0,040;0,238;0,032
SP01459;SP;4391,000;3272,000;1119,000;2705,000;1,000;0,037;0,238;0,031
SP01464;SP;4055,000;2968,000;1087,000;2449,000;1,000;0,041;0,238;0,034
SP01466;SP;5214,000;3923,000;1291,000;3163,000;1,000;0,032;0,238;0,025
SP01473;SP;5784,000;3936,000;1848,000;3286,000;3,000;0,091;0,714;0,076
SP01478;SP;7765,000;5221,000;2544,000;4345,000;1,000;0,023;0,238;0,019
SP01481;SP;2868,000;2080,000;788,000;1681,000;5,000;0,297;1,190;0,240
SP01482;SP;6480,000;4781,000;1699,000;3882,000;7,000;0,180;1,667;0,146
SP01485;SP;4366,000;3308,000;1058,000;2767,000;1,000;0,036;0,238;0,030
SP01487;SP;5209,000;4004,000;1205,000;3388,000;14,000;0,413;3,333;0,350
SP01492;SP;6727,000;4828,000;1899,000;4030,000;14,000;0,347;3,333;0,290
SP01493;SP;3722,000;2712,000;1010,000;2272,000;1,000;0,044;0,238;0,037
SP01496;SP;5781,000;4430,000;1351,000;3721,000;3,000;0,081;0,714;0,068
SP01497;SP;5264,000;3875,000;1389,000;3261,000;3,000;0,092;0,714;0,077
SP01507;SP;2166,000;1623,000;543,000;1390,000;1,000;0,072;0,238;0,062
SP01510;SP;2124,000;1616,000;508,000;1309,000;2,000;0,153;0,476;0,124
