CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;1,724;0,024
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;1,724;0,039
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;1,724;0,019
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;1,724;0,017
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;1,724;0,030
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;1,724;0,078
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;1,724;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;1,724;0,030
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;1,724;0,026
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;1,724;0,035
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;1,724;0,026
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;1,724;0,026
SP00510;SP;6209,000;4329,000;1880,000;3594,000;3,000;0,083;5,172;0,069
SP00542;SP;4842,000;3391,000;1451,000;2867,000;2,000;0,070;3,448;0,059
SP00543;SP;8077,000;5459,000;2618,000;4653,000;5,000;0,107;8,621;0,092
SP00717;SP;5351,000;4130,000;1221,000;3567,000;1,000;0,028;1,724;0,024
SP00747;SP;4941,000;3778,000;1163,000;3217,000;1,000;0,031;1,724;0,026
SP00825;SP;3960,000;3079,000;881,000;2727,000;1,000;0,037;1,724;0,032
SP00880;SP;4156,000;3214,000;942,000;2672,000;1,000;0,037;1,724;0,031
SP00907;SP;3598,000;2756,000;842,000;2283,000;1,000;0,044;1,724;0,036
SP00913;SP;3776,000;2897,000;879,000;2382,000;1,000;0,042;1,724;0,035
SP01058;SP;5074,000;3597,000;1477,000;3098,000;2,000;0,065;3,448;0,056
SP01093;SP;5944,000;4192,000;1752,000;3670,000;1,000;0,027;1,724;0,024
SP01235;SP;7584,000;5463,000;2121,000;4460,000;1,000;0,022;1,724;0,018
SP01261;SP;4017,000;2950,000;1067,000;2362,000;1,000;0,042;1,724;0,034
SP01295;SP;3038,000;2368,000;670,000;2000,000;1,000;0,050;1,724;0,042
SP01297;SP;5073,000;3989,000;1084,000;3288,000;1,000;0,030;1,724;0,025
SP01315;SP;5836,000;4110,000;1726,000;3568,000;1,000;0,028;1,724;0,024
SP01339;SP;6726,000;4990,000;1736,000;3954,000;1,000;0,025;1,724;0,020
SP01346;SP;4333,000;3268,000;1065,000;2784,000;1,000;0,036;1,724;0,031
SP01352;SP;9339,000;6776,000;2563,000;5651,000;1,000;0,018;1,724;0,015
SP01354;SP;7702,000;5819,000;1883,000;4593,000;1,000;0,022;1,724;0,017
SP01474;SP;7185,000;5083,000;2102,000;4320,000;1,000;0,023;1,724;0,020
SP01497;SP;5264,000;3875,000;1389,000;3261,000;1,000;0,031;1,724;0,026
SP01504;SP;3973,000;2869,000;1104,000;2402,000;1,000;0,042;1,724;0,035
SP01686;SP;7314,000;5422,000;1892,000;4542,000;1,000;0,022;1,724;0,018
SP01733;SP;4951,000;3567,000;1384,000;2964,000;1,000;0,034;1,724;0,028
SP01741;SP;2084,000;1633,000;451,000;1382,000;1,000;0,072;1,724;0,061
SP01769;SP;4801,000;3442,000;1359,000;2891,000;1,000;0,035;1,724;0,029
SP01778;SP;5530,000;4135,000;1395,000;3487,000;1,000;0,029;1,724;0,024
SP01804;SP;6591,000;4968,000;1623,000;4178,000;1,000;0,024;1,724;0,020
SP01811;SP;6412,000;4710,000;1702,000;3911,000;2,000;0,051;3,448;0,042
SP01894;SP;7264,000;5494,000;1770,000;4613,000;1,000;0,022;1,724;0,018
SP01896;SP;4681,000;3529,000;1152,000;2874,000;1,000;0,035;1,724;0,028
SP01906;SP;4600,000;3470,000;1130,000;2856,000;1,000;0,035;1,724;0,029
SP01964;SP;5289,000;3773,000;1516,000;3360,000;1,000;0,030;1,724;0,027
SP01970;SP;5176,000;3902,000;1274,000;3434,000;1,000;0,029;1,724;0,026
SP01972;SP;4287,000;3177,000;1110,000;2711,000;1,000;0,037;1,724;0,031
SP01973;SP;4606,000;3323,000;1283,000;2903,000;1,000;0,034;1,724;0,030
