CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,422;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,422;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,422;0,024
SP00029;SP;17797,000;12599,000;5198,000;11769,000;3,000;0,025;1,266;0,024
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,422;0,012
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,844;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,844;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;3,000;0,058;1,266;0,053
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,422;0,023
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,422;0,016
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,844;0,067
SP00072;SP;4862,000;3103,000;1759,000;2736,000;2,000;0,073;0,844;0,064
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,422;0,018
SP00088;SP;8110,000;5666,000;2444,000;5056,000;3,000;0,059;1,266;0,053
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,422;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,422;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,422;0,018
SP00103;SP;2478,000;1733,000;745,000;1529,000;2,000;0,131;0,844;0,115
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,422;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,844;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,422;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,422;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,422;0,013
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,422;0,015
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,422;0,020
SP00171;SP;6293,000;4730,000;1563,000;3938,000;1,000;0,025;0,422;0,021
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,422;0,014
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,422;0,012
SP00272;SP;3513,000;2773,000;740,000;2324,000;4,000;0,172;1,688;0,144
SP00274;SP;5083,000;4027,000;1056,000;3417,000;1,000;0,029;0,422;0,025
