CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;2,151;0,030
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;1,075;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;1,075;0,008
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;1,075;0,018
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;1,075;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;1,075;0,027
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;1,075;0,012
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;1,075;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;1,075;0,015
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;1,075;0,026
SP00146;SP;7336,000;5404,000;1932,000;4752,000;2,000;0,042;2,151;0,037
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;1,075;0,018
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;1,075;0,021
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;1,075;0,018
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;1,075;0,030
SP00308;SP;4601,000;3237,000;1364,000;2784,000;1,000;0,036;1,075;0,031
SP00311;SP;4745,000;3212,000;1533,000;2868,000;1,000;0,035;1,075;0,031
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;1,075;0,055
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;1,075;0,030
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;1,075;0,024
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;1,075;0,026
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;1,075;0,028
