CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;4,000;0,109;2,381;0,097
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,595;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,595;0,037
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;1,190;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;1,190;0,045
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,595;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;1,190;0,048
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,595;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,595;0,026
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,595;0,069
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,595;0,019
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,595;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,595;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,595;0,010
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,595;0,065
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,595;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,595;0,021
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,595;0,018
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,595;0,013
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,595;0,016
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,595;0,021
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,595;0,020
SP00280;SP;6493,000;4855,000;1638,000;3966,000;2,000;0,050;1,190;0,041
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,595;0,030
SP00403;SP;6930,000;5024,000;1906,000;4268,000;1,000;0,023;0,595;0,020
SP00421;SP;3048,000;2181,000;867,000;1947,000;1,000;0,051;0,595;0,046
SP00480;SP;1874,000;1351,000;523,000;1236,000;2,000;0,162;1,190;0,148
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,595;0,021
SP00674;SP;3396,000;2582,000;814,000;2220,000;2,000;0,090;1,190;0,077
SP00693;SP;4634,000;3251,000;1383,000;2869,000;1,000;0,035;0,595;0,031
SP00706;SP;5478,000;3976,000;1502,000;3402,000;1,000;0,029;0,595;0,025
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,595;0,021
SP01037;SP;5057,000;3801,000;1256,000;3294,000;2,000;0,061;1,190;0,053
SP01079;SP;8588,000;6157,000;2431,000;5169,000;3,000;0,058;1,786;0,049
SP01085;SP;3957,000;3131,000;826,000;2527,000;1,000;0,040;0,595;0,032
SP01135;SP;5468,000;3955,000;1513,000;3382,000;2,000;0,059;1,190;0,051
SP01138;SP;3414,000;2601,000;813,000;2219,000;1,000;0,045;0,595;0,038
SP01154;SP;7187,000;5411,000;1776,000;4524,000;2,000;0,044;1,190;0,037
SP01160;SP;1821,000;1402,000;419,000;1139,000;1,000;0,088;0,595;0,071
SP01192;SP;5481,000;3973,000;1508,000;3323,000;1,000;0,030;0,595;0,025
SP01195;SP;5991,000;4371,000;1620,000;3710,000;4,000;0,108;2,381;0,092
SP01196;SP;6441,000;4626,000;1815,000;3945,000;1,000;0,025;0,595;0,022
SP01198;SP;4394,000;3400,000;994,000;2835,000;1,000;0,035;0,595;0,029
SP01199;SP;4561,000;3429,000;1132,000;2819,000;5,000;0,177;2,976;0,146
SP01203;SP;5224,000;4036,000;1188,000;3388,000;2,000;0,059;1,190;0,050
SP01205;SP;6483,000;4885,000;1598,000;4000,000;6,000;0,150;3,571;0,123
SP01206;SP;4510,000;3346,000;1164,000;2819,000;1,000;0,035;0,595;0,030
SP01214;SP;5318,000;3918,000;1400,000;3148,000;4,000;0,127;2,381;0,102
SP01216;SP;4894,000;3798,000;1096,000;2945,000;1,000;0,034;0,595;0,026
SP01218;SP;1256,000;984,000;272,000;793,000;1,000;0,126;0,595;0,102
SP01220;SP;2623,000;2080,000;543,000;1725,000;10,000;0,580;5,952;0,481
SP01238;SP;4275,000;3201,000;1074,000;2644,000;1,000;0,038;0,595;0,031
SP01252;SP;3905,000;2982,000;923,000;2358,000;3,000;0,127;1,786;0,101
SP01254;SP;7148,000;5309,000;1839,000;4294,000;1,000;0,023;0,595;0,019
SP01255;SP;5145,000;3807,000;1338,000;3011,000;3,000;0,100;1,786;0,079
SP01256;SP;6264,000;4532,000;1732,000;3688,000;1,000;0,027;0,595;0,022
SP01363;SP;5696,000;3998,000;1698,000;3277,000;1,000;0,031;0,595;0,025
SP01374;SP;3027,000;2274,000;753,000;1892,000;1,000;0,053;0,595;0,044
SP01392;SP;5417,000;4157,000;1260,000;3419,000;1,000;0,029;0,595;0,024
SP01438;SP;7108,000;5103,000;2005,000;4345,000;1,000;0,023;0,595;0,020
SP01453;SP;6778,000;5078,000;1700,000;4140,000;1,000;0,024;0,595;0,020
SP01459;SP;4391,000;3272,000;1119,000;2705,000;3,000;0,111;1,786;0,092
SP01462;SP;7003,000;5161,000;1842,000;4135,000;2,000;0,048;1,190;0,039
SP01558;SP;4788,000;3601,000;1187,000;2955,000;2,000;0,068;1,190;0,056
SP01629;SP;3617,000;2806,000;811,000;2389,000;1,000;0,042;0,595;0,036
SP01642;SP;2330,000;1658,000;672,000;1391,000;1,000;0,072;0,595;0,060
SP01677;SP;6587,000;4822,000;1765,000;4008,000;1,000;0,025;0,595;0,021
SP01689;SP;4779,000;3653,000;1126,000;2960,000;3,000;0,101;1,786;0,082
