CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;1,000;0,034
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;1,000;0,028
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;2,000;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;2,000;0,037
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;1,000;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;1,000;0,039
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;1,000;0,024
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;1,000;0,031
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;1,000;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;2,000;0,051;2,000;0,047
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;1,000;0,015
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;1,000;0,035
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;1,000;0,014
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;1,000;0,061
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;1,000;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;1,000;0,028
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;1,000;0,015
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;1,000;0,020
SP00175;SP;4700,000;3395,000;1305,000;2728,000;1,000;0,037;1,000;0,029
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;1,000;0,033
SP00308;SP;4601,000;3237,000;1364,000;2784,000;2,000;0,072;2,000;0,062
SP00315;SP;5861,000;4276,000;1585,000;3850,000;1,000;0,026;1,000;0,023
SP00316;SP;8808,000;6530,000;2278,000;5921,000;2,000;0,034;2,000;0,031
