CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,015;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,015;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,045;0,084
SP00004;SP;6071,000;4117,000;1954,000;3653,000;7,000;0,192;0,105;0,170
SP00005;SP;7574,000;4851,000;2723,000;4286,000;7,000;0,163;0,105;0,144
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,030;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;4,000;0,079;0,060;0,070
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,030;0,074
SP00012;SP;9441,000;6116,000;3325,000;5498,000;7,000;0,127;0,105;0,114
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,030;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;6,000;0,153;0,090;0,135
SP00015;SP;4890,000;3200,000;1690,000;2777,000;5,000;0,180;0,075;0,156
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,030;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,015;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;2,000;0,069;0,030;0,061
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,015;0,028
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,030;0,189
SP00021;SP;3914,000;2744,000;1170,000;2386,000;4,000;0,168;0,060;0,146
SP00022;SP;5474,000;3858,000;1616,000;3218,000;6,000;0,186;0,090;0,156
SP00023;SP;2029,000;1448,000;581,000;1264,000;3,000;0,237;0,045;0,207
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,015;0,220
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,015;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,015;0,095
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,015;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;2,000;0,017;0,030;0,016
SP00033;SP;7735,000;5271,000;2464,000;4792,000;4,000;0,083;0,060;0,076
SP00034;SP;5401,000;3246,000;2155,000;2941,000;2,000;0,068;0,030;0,062
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,030;0,052
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,030;0,035
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,015;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,015;0,039
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,015;0,030
