CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,008;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,004;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;5,000;0,137;0,021;0,121
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,004;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,008;0,035
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,004;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,004;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,008;0,038
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,004;0,023
SP00016;SP;4976,000;3125,000;1851,000;2763,000;4,000;0,145;0,017;0,128
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,004;0,031
SP00029;SP;17797,000;12599,000;5198,000;11769,000;5,000;0,042;0,021;0,040
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,004;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;3,000;0,079;0,012;0,070
SP00032;SP;11991,000;8507,000;3484,000;8030,000;3,000;0,037;0,012;0,035
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,004;0,026
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,004;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,008;0,051
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,004;0,023
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,008;0,068
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,004;0,046
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,004;0,016
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,004;0,030
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,004;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,004;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;4,000;0,125;0,017;0,107
SP00055;SP;8226,000;5391,000;2835,000;4660,000;8,000;0,172;0,033;0,148
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,008;0,055
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,004;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,004;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;3,000;0,084;0,012;0,072
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,004;0,029
SP00062;SP;4386,000;2971,000;1415,000;2589,000;2,000;0,077;0,008;0,067
SP00063;SP;2961,000;1817,000;1144,000;1572,000;5,000;0,318;0,021;0,275
SP00065;SP;3705,000;2327,000;1378,000;1980,000;2,000;0,101;0,008;0,086
SP00066;SP;2941,000;1926,000;1015,000;1623,000;2,000;0,123;0,008;0,104
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,004;0,108
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,004;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,004;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;3,000;0,110;0,012;0,097
SP00073;SP;14871,000;9817,000;5054,000;8895,000;4,000;0,045;0,017;0,041
SP00075;SP;2374,000;1530,000;844,000;1347,000;2,000;0,148;0,008;0,131
SP00076;SP;7781,000;5170,000;2611,000;4521,000;3,000;0,066;0,012;0,058
SP00077;SP;5316,000;3714,000;1602,000;3239,000;4,000;0,123;0,017;0,108
SP00079;SP;6753,000;5126,000;1627,000;4484,000;3,000;0,067;0,012;0,059
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,004;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;6,000;0,072;0,025;0,065
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,004;0,017
SP00085;SP;7942,000;5522,000;2420,000;4861,000;4,000;0,082;0,017;0,072
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,004;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,004;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,008;0,047
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,004;0,023
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,004;0,034
SP00102;SP;4710,000;2822,000;1888,000;2446,000;1,000;0,041;0,004;0,035
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,004;0,058
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,004;0,028
SP00114;SP;11524,000;7280,000;4244,000;6663,000;3,000;0,045;0,012;0,041
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,004;0,021
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,008;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,004;0,013
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,004;0,038
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,004;0,027
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,008;0,036
