CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,071;0,030
SP00002;SP;8476,000;5539,000;2937,000;5059,000;3,000;0,059;0,106;0,054
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,035;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;4,000;0,093;0,142;0,082
SP00006;SP;6187,000;4196,000;1991,000;3800,000;3,000;0,079;0,106;0,071
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,035;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,071;0,033
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,035;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;3,000;0,109;0,106;0,101
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;0,106;0,068
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,035;0,032
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,035;0,024
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,035;0,094
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,035;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;0,142;0,032
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,035;0,023
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,071;0,038
SP00034;SP;5401,000;3246,000;2155,000;2941,000;3,000;0,102;0,106;0,092
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,106;0,078
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,071;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,035;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,035;0,017
SP00046;SP;8211,000;6097,000;2114,000;5678,000;6,000;0,106;0,213;0,098
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,071;0,060
