CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,125;0,015
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,125;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,125;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,251;0,048
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,251;0,074
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,251;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;3,000;0,055;0,376;0,049
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,125;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;2,000;0,072;0,251;0,062
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,251;0,056
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,125;0,094
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,125;0,026
SP00023;SP;2029,000;1448,000;581,000;1264,000;2,000;0,158;0,251;0,138
SP00025;SP;3193,000;2227,000;966,000;2052,000;2,000;0,097;0,251;0,090
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,125;0,095
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,125;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,125;0,008
SP00032;SP;11991,000;8507,000;3484,000;8030,000;2,000;0,025;0,251;0,024
SP00033;SP;7735,000;5271,000;2464,000;4792,000;2,000;0,042;0,251;0,038
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,251;0,035
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,125;0,016
SP00047;SP;4672,000;3348,000;1324,000;3050,000;2,000;0,066;0,251;0,060
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,251;0,046
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,125;0,016
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,125;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,125;0,028
SP00054;SP;5696,000;3753,000;1943,000;3197,000;3,000;0,094;0,376;0,080
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,125;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,125;0,034
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,125;0,025
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,125;0,024
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,251;0,067
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,125;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,125;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,376;0,031
