CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,606;0,034
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,606;0,020
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,606;0,032
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,606;0,021
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,606;0,023
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,606;0,031
SP00407;SP;4191,000;3035,000;1156,000;2536,000;1,000;0,039;0,606;0,033
SP00411;SP;1750,000;1339,000;411,000;1163,000;1,000;0,086;0,606;0,075
SP00412;SP;2247,000;1715,000;532,000;1480,000;1,000;0,068;0,606;0,058
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,606;0,013
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,606;0,020
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,606;0,027
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,606;0,036
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,606;0,031
SP00434;SP;5194,000;3618,000;1576,000;3183,000;17,000;0,534;10,303;0,470
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,606;0,019
SP00437;SP;4783,000;3440,000;1343,000;3049,000;5,000;0,164;3,030;0,145
SP00438;SP;3263,000;2333,000;930,000;2012,000;10,000;0,497;6,061;0,429
SP00439;SP;3746,000;2751,000;995,000;2414,000;2,000;0,083;1,212;0,073
SP00440;SP;4147,000;2940,000;1207,000;2548,000;30,000;1,177;18,182;1,020
SP00441;SP;4817,000;3411,000;1406,000;2965,000;3,000;0,101;1,818;0,088
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,606;0,055
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,606;0,018
