CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;2,000;0,047;0,291;0,041
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,146;0,031
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,146;0,052
SP00071;SP;6547,000;4082,000;2465,000;3615,000;3,000;0,083;0,437;0,073
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,146;0,021
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,146;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,146;0,034
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,146;0,058
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,146;0,028
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,146;0,014
SP00115;SP;6789,000;4670,000;2119,000;4276,000;2,000;0,047;0,291;0,043
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,146;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,146;0,012
SP00124;SP;5471,000;3750,000;1721,000;3417,000;5,000;0,146;0,728;0,133
SP00125;SP;8768,000;6055,000;2713,000;5539,000;3,000;0,054;0,437;0,050
SP00126;SP;3970,000;2788,000;1182,000;2578,000;2,000;0,078;0,291;0,072
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,291;0,039
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,146;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;8,000;0,155;1,164;0,143
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,146;0,019
SP00132;SP;4938,000;3378,000;1560,000;3079,000;2,000;0,065;0,291;0,059
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,146;0,034
SP00134;SP;5615,000;3841,000;1774,000;3504,000;2,000;0,057;0,291;0,052
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,146;0,047
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,291;0,036
SP00141;SP;4594,000;3186,000;1408,000;2804,000;4,000;0,143;0,582;0,126
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,146;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;3,000;0,059;0,437;0,053
SP00144;SP;5788,000;3963,000;1825,000;3611,000;3,000;0,083;0,437;0,076
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,291;0,056
SP00146;SP;7336,000;5404,000;1932,000;4752,000;3,000;0,063;0,437;0,056
SP00147;SP;7272,000;5483,000;1789,000;5016,000;4,000;0,080;0,582;0,073
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,146;0,027
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,146;0,039
SP00195;SP;3523,000;2306,000;1217,000;2013,000;1,000;0,050;0,146;0,043
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,146;0,014
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,146;0,018
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,146;0,021
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,146;0,037
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,146;0,032
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,146;0,037
SP00428;SP;5397,000;3698,000;1699,000;3296,000;2,000;0,061;0,291;0,054
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,146;0,024
SP00455;SP;4145,000;2936,000;1209,000;2668,000;1,000;0,037;0,146;0,034
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,146;0,031
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;0,146;0,042
SP00490;SP;1981,000;1328,000;653,000;1121,000;1,000;0,089;0,146;0,075
SP00534;SP;4351,000;3409,000;942,000;3003,000;2,000;0,067;0,291;0,059
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,146;0,029
SP00581;SP;5307,000;3773,000;1534,000;3338,000;3,000;0,090;0,437;0,080
SP00590;SP;7580,000;5281,000;2299,000;4546,000;3,000;0,066;0,437;0,057
SP00610;SP;4996,000;3877,000;1119,000;3393,000;1,000;0,029;0,146;0,026
SP00623;SP;5777,000;3983,000;1794,000;3670,000;1,000;0,027;0,146;0,025
SP00627;SP;7090,000;4763,000;2327,000;4286,000;4,000;0,093;0,582;0,084
SP00629;SP;3705,000;2452,000;1253,000;2194,000;1,000;0,046;0,146;0,041
SP00641;SP;6983,000;4703,000;2280,000;4242,000;1,000;0,024;0,146;0,021
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,146;0,027
SP00643;SP;3354,000;2459,000;895,000;2145,000;1,000;0,047;0,146;0,041
SP00646;SP;3531,000;2581,000;950,000;2320,000;2,000;0,086;0,291;0,077
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,146;0,033
SP00659;SP;4066,000;2843,000;1223,000;2587,000;2,000;0,077;0,291;0,070
SP00660;SP;1900,000;1365,000;535,000;1239,000;1,000;0,081;0,146;0,073
SP00661;SP;3498,000;2295,000;1203,000;2021,000;2,000;0,099;0,291;0,087
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,146;0,031
SP00663;SP;4883,000;3374,000;1509,000;3029,000;2,000;0,066;0,291;0,059
SP00665;SP;4690,000;3236,000;1454,000;2925,000;1,000;0,034;0,146;0,031
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,146;0,019
SP00670;SP;5766,000;4219,000;1547,000;3799,000;7,000;0,184;1,019;0,166
SP00671;SP;7344,000;4961,000;2383,000;4380,000;12,000;0,274;1,747;0,242
SP00672;SP;5404,000;3859,000;1545,000;3453,000;3,000;0,087;0,437;0,078
SP00673;SP;3585,000;2570,000;1015,000;2364,000;5,000;0,212;0,728;0,195
SP00675;SP;2186,000;1721,000;465,000;1556,000;2,000;0,129;0,291;0,116
SP00676;SP;3751,000;2837,000;914,000;2529,000;1,000;0,040;0,146;0,035
SP00677;SP;1922,000;1504,000;418,000;1376,000;1,000;0,073;0,146;0,066
SP00679;SP;4304,000;3017,000;1287,000;2683,000;2,000;0,075;0,291;0,066
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,146;0,012
SP00683;SP;5169,000;3990,000;1179,000;3629,000;3,000;0,083;0,437;0,075
SP00684;SP;1542,000;1148,000;394,000;1039,000;1,000;0,096;0,146;0,087
SP00685;SP;329,000;273,000;56,000;250,000;1,000;0,400;0,146;0,366
SP00686;SP;9715,000;6586,000;3129,000;5733,000;7,000;0,122;1,019;0,106
SP00687;SP;5282,000;3669,000;1613,000;3211,000;7,000;0,218;1,019;0,191
SP00688;SP;4013,000;2804,000;1209,000;2484,000;4,000;0,161;0,582;0,143
SP00689;SP;6259,000;4395,000;1864,000;3885,000;5,000;0,129;0,728;0,114
SP00690;SP;5510,000;3819,000;1691,000;3318,000;6,000;0,181;0,873;0,157
SP00691;SP;2030,000;1356,000;674,000;1186,000;3,000;0,253;0,437;0,221
SP00692;SP;8151,000;5848,000;2303,000;5192,000;4,000;0,077;0,582;0,068
SP00693;SP;4634,000;3251,000;1383,000;2869,000;2,000;0,070;0,291;0,062
SP00694;SP;8474,000;6228,000;2246,000;5583,000;9,000;0,161;1,310;0,145
SP00695;SP;5738,000;3934,000;1804,000;3443,000;6,000;0,174;0,873;0,153
SP00697;SP;4338,000;3181,000;1157,000;2881,000;7,000;0,243;1,019;0,220
SP00698;SP;4269,000;3022,000;1247,000;2595,000;3,000;0,116;0,437;0,099
SP00699;SP;2845,000;1980,000;865,000;1691,000;27,000;1,597;3,930;1,364
SP00700;SP;2038,000;1296,000;742,000;1148,000;21,000;1,829;3,057;1,620
SP00701;SP;4091,000;3020,000;1071,000;2626,000;34,000;1,295;4,949;1,126
SP00702;SP;3281,000;2263,000;1018,000;2012,000;28,000;1,392;4,076;1,237
SP00703;SP;3713,000;2640,000;1073,000;2200,000;9,000;0,409;1,310;0,341
SP00704;SP;5896,000;4329,000;1567,000;3685,000;12,000;0,326;1,747;0,277
SP00705;SP;2464,000;1689,000;775,000;1474,000;9,000;0,611;1,310;0,533
SP00706;SP;5478,000;3976,000;1502,000;3402,000;9,000;0,265;1,310;0,226
SP00707;SP;6988,000;4980,000;2008,000;4238,000;2,000;0,047;0,291;0,040
SP00708;SP;5710,000;3952,000;1758,000;3354,000;2,000;0,060;0,291;0,051
SP00710;SP;3923,000;2817,000;1106,000;2427,000;5,000;0,206;0,728;0,177
SP00711;SP;4783,000;3500,000;1283,000;3017,000;1,000;0,033;0,146;0,029
SP00712;SP;7054,000;5112,000;1942,000;4323,000;3,000;0,069;0,437;0,059
SP00713;SP;5464,000;4097,000;1367,000;3538,000;6,000;0,170;0,873;0,146
SP00714;SP;3081,000;2248,000;833,000;1931,000;2,000;0,104;0,291;0,089
SP00715;SP;4628,000;3619,000;1009,000;3057,000;3,000;0,098;0,437;0,083
SP00716;SP;6085,000;4740,000;1345,000;4111,000;6,000;0,146;0,873;0,127
SP00717;SP;5351,000;4130,000;1221,000;3567,000;2,000;0,056;0,291;0,048
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;0,146;0,040
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,146;0,023
SP00720;SP;2043,000;1618,000;425,000;1422,000;1,000;0,070;0,146;0,062
SP00721;SP;3054,000;2197,000;857,000;1978,000;1,000;0,051;0,146;0,046
SP00722;SP;3108,000;2416,000;692,000;2060,000;3,000;0,146;0,437;0,124
SP00723;SP;5496,000;4095,000;1401,000;3502,000;7,000;0,200;1,019;0,171
SP00768;SP;4292,000;2930,000;1362,000;2636,000;1,000;0,038;0,146;0,034
SP00789;SP;1625,000;1189,000;436,000;1067,000;1,000;0,094;0,146;0,084
SP00796;SP;1001,000;710,000;291,000;595,000;1,000;0,168;0,146;0,141
SP00804;SP;1445,000;1087,000;358,000;869,000;1,000;0,115;0,146;0,092
SP00873;SP;5220,000;3631,000;1589,000;3139,000;2,000;0,064;0,291;0,055
SP00890;SP;6506,000;4670,000;1836,000;4087,000;2,000;0,049;0,291;0,043
SP00913;SP;3776,000;2897,000;879,000;2382,000;1,000;0,042;0,146;0,035
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;0,146;0,021
SP01020;SP;1678,000;1325,000;353,000;1100,000;1,000;0,091;0,146;0,075
SP01068;SP;3742,000;2791,000;951,000;2367,000;1,000;0,042;0,146;0,036
SP01098;SP;5642,000;4016,000;1626,000;3546,000;1,000;0,028;0,146;0,025
SP01126;SP;6161,000;4278,000;1883,000;3664,000;1,000;0,027;0,146;0,023
SP01127;SP;7942,000;5676,000;2266,000;4893,000;1,000;0,020;0,146;0,018
SP01134;SP;4563,000;3326,000;1237,000;2843,000;1,000;0,035;0,146;0,030
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;0,146;0,025
SP01138;SP;3414,000;2601,000;813,000;2219,000;1,000;0,045;0,146;0,038
SP01141;SP;6662,000;5002,000;1660,000;4271,000;1,000;0,023;0,146;0,020
SP01142;SP;5011,000;3854,000;1157,000;3252,000;1,000;0,031;0,146;0,026
SP01145;SP;5008,000;3768,000;1240,000;3211,000;1,000;0,031;0,146;0,027
SP01165;SP;3908,000;2796,000;1112,000;2440,000;1,000;0,041;0,146;0,036
SP01171;SP;6620,000;4759,000;1861,000;3966,000;1,000;0,025;0,146;0,021
SP01176;SP;8236,000;5751,000;2485,000;4720,000;3,000;0,064;0,437;0,052
SP01184;SP;4359,000;3297,000;1062,000;2764,000;1,000;0,036;0,146;0,030
SP01187;SP;2356,000;1723,000;633,000;1366,000;1,000;0,073;0,146;0,058
SP01275;SP;8215,000;5845,000;2370,000;4919,000;1,000;0,020;0,146;0,017
SP01314;SP;4826,000;3450,000;1376,000;2922,000;1,000;0,034;0,146;0,029
SP01320;SP;8209,000;6019,000;2190,000;5015,000;3,000;0,060;0,437;0,050
SP01322;SP;6445,000;4994,000;1451,000;4166,000;1,000;0,024;0,146;0,020
SP01327;SP;5676,000;4019,000;1657,000;3252,000;1,000;0,031;0,146;0,025
SP01329;SP;3596,000;2704,000;892,000;2290,000;1,000;0,044;0,146;0,037
SP01338;SP;10511,000;7553,000;2958,000;6278,000;1,000;0,016;0,146;0,013
SP01343;SP;2274,000;1747,000;527,000;1438,000;1,000;0,070;0,146;0,057
SP01345;SP;3443,000;2632,000;811,000;2198,000;1,000;0,045;0,146;0,038
SP01394;SP;3196,000;2477,000;719,000;2018,000;2,000;0,099;0,291;0,081
SP01414;SP;11881,000;8889,000;2992,000;7501,000;1,000;0,013;0,146;0,011
SP01466;SP;5214,000;3923,000;1291,000;3163,000;1,000;0,032;0,146;0,025
