CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,175;0,015
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,351;0,036
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,175;0,019
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,175;0,024
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,175;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;3,000;0,102;0,526;0,094
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,175;0,034
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,175;0,016
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,175;0,030
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,175;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,175;0,034
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,175;0,028
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,175;0,029
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,175;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,175;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;3,000;0,034;0,526;0,031
SP00078;SP;6145,000;4471,000;1674,000;4014,000;2,000;0,050;0,351;0,045
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,175;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,175;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,175;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;0,351;0,034
SP00088;SP;8110,000;5666,000;2444,000;5056,000;2,000;0,040;0,351;0,035
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,175;0,024
SP00090;SP;5982,000;4272,000;1710,000;3906,000;2,000;0,051;0,351;0,047
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,175;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;2,000;0,063;0,351;0,057
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,175;0,035
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,175;0,034
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,351;0,023
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,175;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,175;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,175;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;2,000;0,034;0,351;0,031
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,175;0,018
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,175;0,028
SP00133;SP;4191,000;2905,000;1286,000;2648,000;1,000;0,038;0,175;0,034
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,175;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,351;0,040
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,175;0,018
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,175;0,026
SP00146;SP;7336,000;5404,000;1932,000;4752,000;2,000;0,042;0,351;0,037
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,175;0,039
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,175;0,021
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,175;0,089
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,175;0,016
SP00198;SP;9846,000;7057,000;2789,000;6333,000;3,000;0,047;0,526;0,043
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,351;0,030
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,175;0,021
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,175;0,029
SP00206;SP;3004,000;2207,000;797,000;2000,000;2,000;0,100;0,351;0,091
SP00211;SP;6388,000;4682,000;1706,000;4168,000;2,000;0,048;0,351;0,043
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,175;0,029
SP00221;SP;3925,000;2950,000;975,000;2531,000;2,000;0,079;0,351;0,068
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,175;0,035
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,175;0,020
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,175;0,025
SP00274;SP;5083,000;4027,000;1056,000;3417,000;2,000;0,059;0,351;0,050
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,175;0,020
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,175;0,058
SP00294;SP;5157,000;3659,000;1498,000;3309,000;1,000;0,030;0,175;0,027
SP00298;SP;4475,000;3118,000;1357,000;2813,000;1,000;0,036;0,175;0,032
SP00299;SP;2182,000;1568,000;614,000;1389,000;2,000;0,144;0,351;0,128
SP00300;SP;5119,000;3795,000;1324,000;3340,000;1,000;0,030;0,175;0,026
SP00301;SP;3036,000;2157,000;879,000;1924,000;4,000;0,208;0,702;0,185
SP00303;SP;3512,000;2379,000;1133,000;2163,000;1,000;0,046;0,175;0,042
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,175;0,056
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,175;0,027
SP00308;SP;4601,000;3237,000;1364,000;2784,000;2,000;0,072;0,351;0,062
SP00314;SP;2699,000;1861,000;838,000;1628,000;1,000;0,061;0,175;0,054
SP00315;SP;5861,000;4276,000;1585,000;3850,000;2,000;0,052;0,351;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;4,000;0,068;0,702;0,061
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,175;0,055
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,175;0,037
SP00331;SP;3036,000;2191,000;845,000;2021,000;1,000;0,049;0,175;0,046
SP00338;SP;4592,000;3124,000;1468,000;2780,000;3,000;0,108;0,526;0,096
