CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,128;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;0,255;0,035
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,128;0,026
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,128;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,255;0,042
SP00049;SP;2731,000;2018,000;713,000;1902,000;2,000;0,105;0,255;0,099
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,128;0,028
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,128;0,033
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,128;0,011
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,255;0,036
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,128;0,058
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,128;0,028
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,128;0,011
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,128;0,018
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,128;0,021
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,128;0,020
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,128;0,016
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,128;0,015
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,128;0,025
SP00233;SP;2180,000;1518,000;662,000;1306,000;1,000;0,077;0,128;0,066
SP00239;SP;5869,000;4516,000;1353,000;3700,000;1,000;0,027;0,128;0,022
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,128;0,035
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,128;0,030
SP00269;SP;4567,000;3317,000;1250,000;2813,000;1,000;0,036;0,128;0,030
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,128;0,058
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,128;0,063
SP00302;SP;5488,000;4163,000;1325,000;3804,000;2,000;0,053;0,255;0,048
SP00308;SP;4601,000;3237,000;1364,000;2784,000;2,000;0,072;0,255;0,062
SP00309;SP;3845,000;2727,000;1118,000;2377,000;4,000;0,168;0,511;0,147
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,128;0,055
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,128;0,018
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,128;0,078
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,128;0,044
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,128;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,128;0,027
SP00345;SP;7886,000;5416,000;2470,000;4892,000;1,000;0,020;0,128;0,018
SP00355;SP;1892,000;1470,000;422,000;1316,000;1,000;0,076;0,128;0,068
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,128;0,030
SP00402;SP;4338,000;3200,000;1138,000;2741,000;1,000;0,036;0,128;0,031
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,128;0,013
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,128;0,029
SP00426;SP;6948,000;4982,000;1966,000;4433,000;2,000;0,045;0,255;0,040
SP00442;SP;3055,000;2335,000;720,000;2045,000;2,000;0,098;0,255;0,086
SP00456;SP;4320,000;3095,000;1225,000;2792,000;2,000;0,072;0,255;0,065
SP00458;SP;8529,000;5970,000;2559,000;5339,000;2,000;0,037;0,255;0,034
SP00462;SP;5168,000;3650,000;1518,000;3226,000;1,000;0,031;0,128;0,027
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,128;0,026
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,128;0,026
SP00475;SP;5821,000;4091,000;1730,000;3609,000;1,000;0,028;0,128;0,024
SP00490;SP;1981,000;1328,000;653,000;1121,000;1,000;0,089;0,128;0,075
SP00499;SP;6834,000;4904,000;1930,000;4285,000;3,000;0,070;0,383;0,061
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,128;0,021
SP00502;SP;6808,000;4910,000;1898,000;4207,000;4,000;0,095;0,511;0,081
SP00504;SP;4008,000;3045,000;963,000;2673,000;1,000;0,037;0,128;0,033
SP00507;SP;9953,000;7335,000;2618,000;6265,000;2,000;0,032;0,255;0,027
SP00508;SP;5317,000;3827,000;1490,000;3334,000;3,000;0,090;0,383;0,078
SP00509;SP;4399,000;3005,000;1394,000;2554,000;1,000;0,039;0,128;0,033
SP00510;SP;6209,000;4329,000;1880,000;3594,000;4,000;0,111;0,511;0,092
SP00511;SP;6942,000;4878,000;2064,000;4132,000;2,000;0,048;0,255;0,041
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,128;0,019
SP00513;SP;4106,000;2993,000;1113,000;2609,000;1,000;0,038;0,128;0,033
SP00514;SP;5514,000;3990,000;1524,000;3430,000;2,000;0,058;0,255;0,050
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,128;0,028
SP00516;SP;6938,000;4877,000;2061,000;4090,000;2,000;0,049;0,255;0,041
SP00519;SP;5846,000;4121,000;1725,000;3509,000;18,000;0,513;2,299;0,437
SP00521;SP;5002,000;3490,000;1512,000;2901,000;4,000;0,138;0,511;0,115
SP00522;SP;4695,000;3519,000;1176,000;2921,000;1,000;0,034;0,128;0,028
SP00523;SP;4290,000;3229,000;1061,000;2690,000;2,000;0,074;0,255;0,062
SP00525;SP;5945,000;4545,000;1400,000;3796,000;2,000;0,053;0,255;0,044
SP00526;SP;3210,000;2393,000;817,000;2007,000;1,000;0,050;0,128;0,042
SP00529;SP;3155,000;2369,000;786,000;2087,000;1,000;0,048;0,128;0,042
SP00531;SP;6972,000;5267,000;1705,000;4395,000;2,000;0,046;0,255;0,038
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,128;0,052
SP00534;SP;4351,000;3409,000;942,000;3003,000;2,000;0,067;0,255;0,059
SP00535;SP;4936,000;3367,000;1569,000;2995,000;2,000;0,067;0,255;0,059
SP00536;SP;6329,000;4580,000;1749,000;3965,000;3,000;0,076;0,383;0,066
SP00537;SP;4344,000;3031,000;1313,000;2660,000;7,000;0,263;0,894;0,231
