CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,170;0,024
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;0,509;0,068
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,170;0,031
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,170;0,069
SP00031;SP;6412,000;4268,000;2144,000;3816,000;3,000;0,079;0,509;0,070
SP00032;SP;11991,000;8507,000;3484,000;8030,000;1,000;0,012;0,170;0,012
SP00035;SP;5608,000;3859,000;1749,000;3432,000;2,000;0,058;0,340;0,052
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,170;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,340;0,051
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,170;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,170;0,018
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,340;0,035
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,170;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,340;0,055
SP00059;SP;6072,000;4040,000;2032,000;3525,000;2,000;0,057;0,340;0,050
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,170;0,033
SP00076;SP;7781,000;5170,000;2611,000;4521,000;5,000;0,111;0,849;0,097
SP00078;SP;6145,000;4471,000;1674,000;4014,000;3,000;0,075;0,509;0,067
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,340;0,063
SP00083;SP;12710,000;9298,000;3412,000;8373,000;7,000;0,084;1,188;0,075
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,170;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,340;0,048
SP00088;SP;8110,000;5666,000;2444,000;5056,000;7,000;0,138;1,188;0,124
SP00090;SP;5982,000;4272,000;1710,000;3906,000;2,000;0,051;0,340;0,047
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,170;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,170;0,028
SP00095;SP;7262,000;5378,000;1884,000;4657,000;3,000;0,064;0,509;0,056
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,170;0,035
SP00099;SP;4550,000;3344,000;1206,000;2841,000;2,000;0,070;0,340;0,060
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,170;0,034
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,340;0,029
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,340;0,071
SP00112;SP;5370,000;3564,000;1806,000;3242,000;2,000;0,062;0,340;0,056
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,170;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,170;0,036
