CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,161;0,024
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,161;0,016
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,161;0,031
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,161;0,019
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,161;0,031
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,161;0,046
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,161;0,027
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,161;0,028
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,161;0,029
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,161;0,049
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,161;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,161;0,010
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,161;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;5,000;0,060;0,805;0,054
SP00085;SP;7942,000;5522,000;2420,000;4861,000;2,000;0,041;0,322;0,036
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,161;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;2,000;0,046;0,322;0,041
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,161;0,023
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,161;0,021
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,161;0,037
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,161;0,019
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,161;0,027
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,161;0,030
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,161;0,034
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,161;0,057
SP00134;SP;5615,000;3841,000;1774,000;3504,000;1,000;0,029;0,161;0,026
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,161;0,027
SP00152;SP;857,000;541,000;316,000;441,000;1,000;0,227;0,161;0,185
SP00153;SP;6503,000;4705,000;1798,000;3830,000;4,000;0,104;0,644;0,085
SP00154;SP;6876,000;4799,000;2077,000;4025,000;2,000;0,050;0,322;0,042
SP00155;SP;6109,000;4286,000;1823,000;3668,000;2,000;0,055;0,322;0,047
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,161;0,021
SP00157;SP;1487,000;928,000;559,000;782,000;2,000;0,256;0,322;0,216
SP00159;SP;8207,000;5759,000;2448,000;4847,000;2,000;0,041;0,322;0,035
SP00160;SP;7072,000;5254,000;1818,000;4369,000;7,000;0,160;1,127;0,133
SP00161;SP;7454,000;5453,000;2001,000;4461,000;7,000;0,157;1,127;0,128
SP00163;SP;6612,000;4970,000;1642,000;4153,000;3,000;0,072;0,483;0,060
