CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,227;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,227;0,028
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,227;0,026
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,227;0,019
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,227;0,028
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,227;0,052
SP00032;SP;11991,000;8507,000;3484,000;8030,000;3,000;0,037;0,680;0,035
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,227;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,227;0,034
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,227;0,039
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,227;0,050
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,227;0,055
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,227;0,010
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,227;0,024
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,227;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,227;0,021
SP00106;SP;4729,000;3001,000;1728,000;2772,000;2,000;0,072;0,454;0,067
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,227;0,028
SP00113;SP;4368,000;2914,000;1454,000;2731,000;1,000;0,037;0,227;0,034
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,454;0,027
SP00116;SP;13458,000;8809,000;4649,000;8195,000;3,000;0,037;0,680;0,034
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,227;0,020
SP00123;SP;2390,000;1759,000;631,000;1653,000;2,000;0,121;0,454;0,114
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,227;0,017
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,227;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,227;0,027
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,227;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;1,000;0,030;0,227;0,025
SP00159;SP;8207,000;5759,000;2448,000;4847,000;2,000;0,041;0,454;0,035
SP00191;SP;4893,000;3386,000;1507,000;3120,000;3,000;0,096;0,680;0,089
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,227;0,040
SP00212;SP;5586,000;4124,000;1462,000;3719,000;1,000;0,027;0,227;0,024
SP00228;SP;3772,000;2679,000;1093,000;2265,000;2,000;0,088;0,454;0,075
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,227;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;2,000;0,109;0,454;0,091
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,227;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,227;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,227;0,025
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,227;0,021
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,227;0,040
SP00307;SP;3529,000;2356,000;1173,000;2055,000;1,000;0,049;0,227;0,042
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,227;0,015
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,227;0,036
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,227;0,044
SP00344;SP;5849,000;4118,000;1731,000;3729,000;1,000;0,027;0,227;0,024
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,227;0,030
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,227;0,082
SP00370;SP;7693,000;5691,000;2002,000;5410,000;3,000;0,055;0,680;0,053
SP00375;SP;4721,000;3317,000;1404,000;3093,000;1,000;0,032;0,227;0,030
SP00385;SP;3955,000;2825,000;1130,000;2607,000;2,000;0,077;0,454;0,071
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,227;0,040
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,227;0,032
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,227;0,020
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,227;0,026
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,227;0,031
SP00474;SP;5075,000;3543,000;1532,000;3133,000;1,000;0,032;0,227;0,028
SP00479;SP;2742,000;2051,000;691,000;1807,000;1,000;0,055;0,227;0,049
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;0,227;0,042
SP00496;SP;4579,000;3372,000;1207,000;3009,000;2,000;0,066;0,454;0,059
SP00500;SP;6586,000;4736,000;1850,000;4014,000;1,000;0,025;0,227;0,021
SP00507;SP;9953,000;7335,000;2618,000;6265,000;3,000;0,048;0,680;0,041
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,227;0,038
SP00521;SP;5002,000;3490,000;1512,000;2901,000;3,000;0,103;0,680;0,086
SP00531;SP;6972,000;5267,000;1705,000;4395,000;1,000;0,023;0,227;0,019
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,227;0,021
SP00547;SP;3238,000;2322,000;916,000;2051,000;2,000;0,098;0,454;0,086
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,227;0,025
SP00550;SP;4742,000;3413,000;1329,000;2933,000;1,000;0,034;0,227;0,029
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;0,227;0,034
SP00568;SP;4355,000;3188,000;1167,000;2856,000;1,000;0,035;0,227;0,031
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,227;0,017
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,227;0,027
SP00597;SP;5301,000;3798,000;1503,000;3190,000;1,000;0,031;0,227;0,026
SP00621;SP;7468,000;5058,000;2410,000;4641,000;1,000;0,022;0,227;0,020
SP00622;SP;8525,000;5893,000;2632,000;5358,000;1,000;0,019;0,227;0,017
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,227;0,013
SP00633;SP;3955,000;2796,000;1159,000;2560,000;2,000;0,078;0,454;0,072
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,227;0,026
SP00641;SP;6983,000;4703,000;2280,000;4242,000;2,000;0,047;0,454;0,043
SP00642;SP;5042,000;3746,000;1296,000;3356,000;1,000;0,030;0,227;0,027
SP00647;SP;7403,000;5083,000;2320,000;4634,000;1,000;0,022;0,227;0,020
SP00648;SP;3841,000;2877,000;964,000;2605,000;1,000;0,038;0,227;0,035
SP00650;SP;4689,000;3535,000;1154,000;3191,000;1,000;0,031;0,227;0,028
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,227;0,033
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,227;0,025
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,227;0,033
SP00678;SP;3777,000;2815,000;962,000;2493,000;1,000;0,040;0,227;0,036
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,227;0,026
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,227;0,017
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,227;0,024
SP00732;SP;3768,000;2783,000;985,000;2391,000;1,000;0,042;0,227;0,036
SP00770;SP;6150,000;4203,000;1947,000;3615,000;1,000;0,028;0,227;0,024
SP00785;SP;1882,000;1434,000;448,000;1271,000;1,000;0,079;0,227;0,070
SP00788;SP;6979,000;5171,000;1808,000;4203,000;1,000;0,024;0,227;0,019
SP00807;SP;4221,000;2943,000;1278,000;2555,000;2,000;0,078;0,454;0,068
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,227;0,033
SP00817;SP;5075,000;3549,000;1526,000;2989,000;1,000;0,033;0,227;0,028
SP00822;SP;1894,000;1440,000;454,000;1247,000;2,000;0,160;0,454;0,139
SP00837;SP;2272,000;1787,000;485,000;1553,000;1,000;0,064;0,227;0,056
SP00848;SP;5251,000;3634,000;1617,000;3006,000;1,000;0,033;0,227;0,028
SP00850;SP;5224,000;3817,000;1407,000;3220,000;1,000;0,031;0,227;0,026
SP00876;SP;4758,000;3686,000;1072,000;3039,000;1,000;0,033;0,227;0,027
SP00878;SP;4052,000;3009,000;1043,000;2553,000;1,000;0,039;0,227;0,033
SP00885;SP;3760,000;2696,000;1064,000;2288,000;1,000;0,044;0,227;0,037
SP00887;SP;2549,000;1778,000;771,000;1536,000;1,000;0,065;0,227;0,056
SP00889;SP;4118,000;2831,000;1287,000;2529,000;1,000;0,040;0,227;0,035
SP00890;SP;6506,000;4670,000;1836,000;4087,000;1,000;0,024;0,227;0,021
SP00891;SP;6195,000;4624,000;1571,000;4037,000;2,000;0,050;0,454;0,043
SP00892;SP;4485,000;3072,000;1413,000;2701,000;1,000;0,037;0,227;0,033
SP00898;SP;4477,000;3114,000;1363,000;2686,000;1,000;0,037;0,227;0,032
SP00900;SP;4799,000;3561,000;1238,000;2989,000;2,000;0,067;0,454;0,056
SP00907;SP;3598,000;2756,000;842,000;2283,000;1,000;0,044;0,227;0,036
SP00913;SP;3776,000;2897,000;879,000;2382,000;1,000;0,042;0,227;0,035
SP00915;SP;1861,000;1401,000;460,000;1187,000;2,000;0,168;0,454;0,143
SP00920;SP;6672,000;4828,000;1844,000;3916,000;3,000;0,077;0,680;0,062
SP00922;SP;8638,000;6089,000;2549,000;5158,000;2,000;0,039;0,454;0,033
SP00923;SP;5779,000;3898,000;1881,000;3357,000;2,000;0,060;0,454;0,051
SP00924;SP;5898,000;4232,000;1666,000;3558,000;6,000;0,169;1,361;0,142
SP00926;SP;5575,000;3935,000;1640,000;3387,000;2,000;0,059;0,454;0,051
SP00928;SP;5132,000;3949,000;1183,000;3288,000;1,000;0,030;0,227;0,025
SP00929;SP;2588,000;2013,000;575,000;1723,000;1,000;0,058;0,227;0,050
SP00930;SP;2858,000;2200,000;658,000;1854,000;1,000;0,054;0,227;0,045
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,227;0,019
SP00944;SP;6614,000;4784,000;1830,000;3934,000;1,000;0,025;0,227;0,021
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,227;0,012
SP00965;SP;6230,000;4373,000;1857,000;3908,000;2,000;0,051;0,454;0,046
SP00981;SP;4660,000;3036,000;1624,000;2763,000;1,000;0,036;0,227;0,033
SP00982;SP;5546,000;3870,000;1676,000;3467,000;1,000;0,029;0,227;0,026
SP00983;SP;4483,000;3313,000;1170,000;2925,000;1,000;0,034;0,227;0,030
SP00985;SP;3154,000;2348,000;806,000;2069,000;2,000;0,097;0,454;0,085
SP00994;SP;3170,000;2321,000;849,000;2062,000;2,000;0,097;0,454;0,086
