CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,658;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,658;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,658;0,031
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,658;0,017
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,658;0,027
SP00077;SP;5316,000;3714,000;1602,000;3239,000;2,000;0,062;1,316;0,054
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,658;0,018
SP00093;SP;4638,000;3524,000;1114,000;3163,000;1,000;0,032;0,658;0,028
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,658;0,020
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,658;0,047
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;1,316;0,037
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,658;0,020
SP00270;SP;6129,000;4512,000;1617,000;3803,000;1,000;0,026;0,658;0,022
SP00305;SP;2904,000;1801,000;1103,000;1620,000;3,000;0,185;1,974;0,167
SP00309;SP;3845,000;2727,000;1118,000;2377,000;1,000;0,042;0,658;0,037
SP00312;SP;3428,000;2474,000;954,000;2235,000;2,000;0,089;1,316;0,081
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,658;0,015
SP00318;SP;2552,000;1822,000;730,000;1585,000;3,000;0,189;1,974;0,165
SP00330;SP;4062,000;2873,000;1189,000;2547,000;4,000;0,157;2,632;0,139
SP00339;SP;3299,000;2272,000;1027,000;2075,000;1,000;0,048;0,658;0,044
SP00401;SP;6075,000;4286,000;1789,000;3723,000;3,000;0,081;1,974;0,070
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,658;0,028
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,658;0,019
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,658;0,020
SP00427;SP;4605,000;3414,000;1191,000;3042,000;1,000;0,033;0,658;0,029
SP00438;SP;3263,000;2333,000;930,000;2012,000;1,000;0,050;0,658;0,043
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,658;0,026
SP00444;SP;4038,000;3031,000;1007,000;2708,000;2,000;0,074;1,316;0,066
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,658;0,030
SP00502;SP;6808,000;4910,000;1898,000;4207,000;2,000;0,048;1,316;0,041
