CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;1,389;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;1,389;0,017
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;1,389;0,021
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;1,389;0,025
SP00123;SP;2390,000;1759,000;631,000;1653,000;2,000;0,121;2,778;0,114
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;1,389;0,018
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;1,389;0,016
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;1,389;0,012
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;1,389;0,026
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;1,389;0,028
SP00393;SP;3958,000;2809,000;1149,000;2404,000;2,000;0,083;2,778;0,071
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;1,389;0,036
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;1,389;0,032
SP00595;SP;3557,000;2586,000;971,000;2244,000;1,000;0,045;1,389;0,039
SP00701;SP;4091,000;3020,000;1071,000;2626,000;1,000;0,038;1,389;0,033
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;1,389;0,017
SP00827;SP;7530,000;5704,000;1826,000;4991,000;1,000;0,020;1,389;0,018
SP00858;SP;6096,000;4589,000;1507,000;3794,000;1,000;0,026;1,389;0,022
SP00868;SP;4537,000;3375,000;1162,000;2769,000;2,000;0,072;2,778;0,059
SP00875;SP;4489,000;3490,000;999,000;2842,000;1,000;0,035;1,389;0,029
SP01006;SP;5115,000;3831,000;1284,000;3413,000;1,000;0,029;1,389;0,026
SP01100;SP;4090,000;2819,000;1271,000;2441,000;1,000;0,041;1,389;0,035
SP01124;SP;6479,000;4476,000;2003,000;3780,000;1,000;0,026;1,389;0,022
SP01191;SP;7205,000;5151,000;2054,000;4314,000;1,000;0,023;1,389;0,019
SP01193;SP;6918,000;4893,000;2025,000;4015,000;2,000;0,050;2,778;0,041
SP01197;SP;6065,000;4526,000;1539,000;3795,000;1,000;0,026;1,389;0,022
SP01202;SP;6413,000;4790,000;1623,000;3995,000;8,000;0,200;11,111;0,167
SP01207;SP;4349,000;3294,000;1055,000;2669,000;2,000;0,075;2,778;0,061
SP01208;SP;6891,000;5231,000;1660,000;4256,000;3,000;0,070;4,167;0,057
SP01215;SP;6563,000;4951,000;1612,000;3868,000;1,000;0,026;1,389;0,020
SP01227;SP;4013,000;2907,000;1106,000;2421,000;1,000;0,041;1,389;0,034
SP01241;SP;6681,000;4962,000;1719,000;3929,000;1,000;0,025;1,389;0,020
SP01276;SP;5814,000;4245,000;1569,000;3567,000;1,000;0,028;1,389;0,024
SP01397;SP;8800,000;6245,000;2555,000;5280,000;1,000;0,019;1,389;0,016
SP01404;SP;6132,000;4322,000;1810,000;3778,000;1,000;0,026;1,389;0,023
SP01422;SP;3948,000;3053,000;895,000;2612,000;1,000;0,038;1,389;0,033
SP01493;SP;3722,000;2712,000;1010,000;2272,000;1,000;0,044;1,389;0,037
SP01574;SP;7876,000;5506,000;2370,000;4641,000;1,000;0,022;1,389;0,018
SP01576;SP;4532,000;3498,000;1034,000;2944,000;1,000;0,034;1,389;0,029
SP01579;SP;3634,000;2823,000;811,000;2348,000;1,000;0,043;1,389;0,035
SP01688;SP;5851,000;4458,000;1393,000;3814,000;1,000;0,026;1,389;0,022
SP01704;SP;4240,000;3111,000;1129,000;2402,000;1,000;0,042;1,389;0,032
SP01719;SP;5072,000;3667,000;1405,000;3138,000;1,000;0,032;1,389;0,027
SP01741;SP;2084,000;1633,000;451,000;1382,000;1,000;0,072;1,389;0,061
SP01748;SP;3372,000;2550,000;822,000;2096,000;1,000;0,048;1,389;0,039
SP01764;SP;5036,000;3884,000;1152,000;3281,000;1,000;0,030;1,389;0,026
SP01777;SP;4580,000;3464,000;1116,000;2911,000;1,000;0,034;1,389;0,029
SP01822;SP;6815,000;4948,000;1867,000;4153,000;1,000;0,024;1,389;0,020
SP01825;SP;5132,000;3457,000;1675,000;3002,000;1,000;0,033;1,389;0,029
SP01837;SP;3345,000;2573,000;772,000;2095,000;1,000;0,048;1,389;0,039
SP01879;SP;5975,000;4650,000;1325,000;3979,000;1,000;0,025;1,389;0,022
SP01887;SP;11149,000;7662,000;3487,000;6482,000;1,000;0,015;1,389;0,013
SP01902;SP;4700,000;3678,000;1022,000;3083,000;1,000;0,032;1,389;0,027
SP01935;SP;6268,000;4538,000;1730,000;3717,000;1,000;0,027;1,389;0,022
SP01954;SP;2478,000;1836,000;642,000;1560,000;1,000;0,064;1,389;0,054
SP02020;SP;5169,000;3750,000;1419,000;3142,000;1,000;0,032;1,389;0,027
SP02027;SP;5306,000;3655,000;1651,000;3143,000;1,000;0,032;1,389;0,027
SP02035;SP;4577,000;3611,000;966,000;3053,000;1,000;0,033;1,389;0,028
