CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,282;0,030
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,141;0,018
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,141;0,024
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,141;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,141;0,017
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,141;0,037
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,282;0,038
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,282;0,045
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,141;0,026
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,282;0,047
SP00042;SP;3797,000;2921,000;876,000;2677,000;2,000;0,075;0,282;0,068
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,141;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,141;0,016
SP00057;SP;4525,000;2909,000;1616,000;2485,000;5,000;0,201;0,706;0,172
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,141;0,028
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,141;0,025
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,282;0,067
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,141;0,033
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,141;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;0,282;0,022
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,141;0,019
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,282;0,071
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,141;0,011
SP00119;SP;8699,000;5629,000;3070,000;5241,000;2,000;0,038;0,282;0,036
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,141;0,020
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,141;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;0,282;0,033
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,141;0,030
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,282;0,029
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,141;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;2,000;0,045;0,282;0,040
SP00138;SP;3114,000;2129,000;985,000;1891,000;2,000;0,106;0,282;0,094
SP00139;SP;7945,000;5514,000;2431,000;4905,000;4,000;0,082;0,565;0,073
SP00140;SP;5793,000;3889,000;1904,000;3467,000;6,000;0,173;0,847;0,154
SP00141;SP;4594,000;3186,000;1408,000;2804,000;9,000;0,321;1,271;0,282
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,141;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;4,000;0,078;0,565;0,070
SP00146;SP;7336,000;5404,000;1932,000;4752,000;5,000;0,105;0,706;0,093
SP00148;SP;4985,000;3706,000;1279,000;3293,000;2,000;0,061;0,282;0,054
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,141;0,021
SP00154;SP;6876,000;4799,000;2077,000;4025,000;6,000;0,149;0,847;0,125
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,141;0,021
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,141;0,108
SP00165;SP;5151,000;3881,000;1270,000;3088,000;2,000;0,065;0,282;0,052
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,141;0,033
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,141;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;3,000;0,054;0,424;0,048
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,141;0,033
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,141;0,018
SP00204;SP;4526,000;3486,000;1040,000;3183,000;2,000;0,063;0,282;0,057
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,141;0,029
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,141;0,035
SP00261;SP;5727,000;3983,000;1744,000;3376,000;2,000;0,059;0,282;0,050
SP00290;SP;2127,000;1639,000;488,000;1389,000;1,000;0,072;0,141;0,061
SP00331;SP;3036,000;2191,000;845,000;2021,000;3,000;0,148;0,424;0,137
SP00332;SP;3054,000;2284,000;770,000;2099,000;1,000;0,048;0,141;0,044
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,141;0,051
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,141;0,035
SP00420;SP;1442,000;1026,000;416,000;925,000;1,000;0,108;0,141;0,097
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,141;0,013
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,141;0,019
SP00436;SP;2845,000;1967,000;878,000;1697,000;1,000;0,059;0,141;0,051
SP00443;SP;5342,000;3920,000;1422,000;3502,000;2,000;0,057;0,282;0,051
SP00475;SP;5821,000;4091,000;1730,000;3609,000;1,000;0,028;0,141;0,024
SP00513;SP;4106,000;2993,000;1113,000;2609,000;2,000;0,077;0,282;0,067
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,141;0,021
SP00517;SP;3694,000;2650,000;1044,000;2223,000;1,000;0,045;0,141;0,038
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,141;0,024
SP00537;SP;4344,000;3031,000;1313,000;2660,000;1,000;0,038;0,141;0,033
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,141;0,025
SP00577;SP;8415,000;5842,000;2573,000;5257,000;1,000;0,019;0,141;0,017
SP00586;SP;2592,000;1953,000;639,000;1703,000;1,000;0,059;0,141;0,051
SP00589;SP;4702,000;3299,000;1403,000;2808,000;1,000;0,036;0,141;0,030
SP00598;SP;4844,000;3433,000;1411,000;2954,000;2,000;0,068;0,282;0,058
SP00599;SP;6251,000;4342,000;1909,000;3651,000;1,000;0,027;0,141;0,023
SP00601;SP;6122,000;4375,000;1747,000;3842,000;1,000;0,026;0,141;0,023
SP00602;SP;3850,000;2848,000;1002,000;2482,000;1,000;0,040;0,141;0,035
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,141;0,013
SP00632;SP;9851,000;7134,000;2717,000;6537,000;2,000;0,031;0,282;0,028
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,141;0,022
SP00637;SP;5885,000;3783,000;2102,000;3470,000;2,000;0,058;0,282;0,053
SP00650;SP;4689,000;3535,000;1154,000;3191,000;2,000;0,063;0,282;0,057
SP00651;SP;4603,000;3022,000;1581,000;2669,000;1,000;0,037;0,141;0,033
SP00652;SP;4711,000;3356,000;1355,000;2915,000;1,000;0,034;0,141;0,030
SP00656;SP;7540,000;5423,000;2117,000;4936,000;1,000;0,020;0,141;0,018
SP00657;SP;6658,000;4729,000;1929,000;4302,000;3,000;0,070;0,424;0,063
SP00658;SP;4399,000;3055,000;1344,000;2774,000;2,000;0,072;0,282;0,065
SP00659;SP;4066,000;2843,000;1223,000;2587,000;3,000;0,116;0,424;0,106
SP00661;SP;3498,000;2295,000;1203,000;2021,000;1,000;0,049;0,141;0,044
SP00662;SP;4467,000;3192,000;1275,000;2948,000;1,000;0,034;0,141;0,031
SP00663;SP;4883,000;3374,000;1509,000;3029,000;5,000;0,165;0,706;0,148
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,141;0,034
SP00667;SP;7365,000;5371,000;1994,000;4835,000;2,000;0,041;0,282;0,037
SP00669;SP;4307,000;3090,000;1217,000;2819,000;3,000;0,106;0,424;0,097
SP00670;SP;5766,000;4219,000;1547,000;3799,000;4,000;0,105;0,565;0,095
SP00671;SP;7344,000;4961,000;2383,000;4380,000;15,000;0,342;2,119;0,302
SP00672;SP;5404,000;3859,000;1545,000;3453,000;3,000;0,087;0,424;0,078
SP00673;SP;3585,000;2570,000;1015,000;2364,000;3,000;0,127;0,424;0,117
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;0,141;0,039
SP00676;SP;3751,000;2837,000;914,000;2529,000;2,000;0,079;0,282;0,070
SP00678;SP;3777,000;2815,000;962,000;2493,000;3,000;0,120;0,424;0,107
SP00679;SP;4304,000;3017,000;1287,000;2683,000;4,000;0,149;0,565;0,133
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,141;0,012
SP00681;SP;5137,000;3903,000;1234,000;3542,000;2,000;0,056;0,282;0,051
SP00682;SP;2306,000;1759,000;547,000;1584,000;2,000;0,126;0,282;0,114
SP00686;SP;9715,000;6586,000;3129,000;5733,000;37,000;0,645;5,226;0,562
SP00687;SP;5282,000;3669,000;1613,000;3211,000;7,000;0,218;0,989;0,191
