CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,248;0,028
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,248;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,248;0,019
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,248;0,019
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,248;0,016
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,248;0,019
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,248;0,025
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,248;0,052
SP00076;SP;7781,000;5170,000;2611,000;4521,000;2,000;0,044;0,496;0,039
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,248;0,022
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,248;0,044
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,248;0,012
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,248;0,015
SP00183;SP;1181,000;745,000;436,000;604,000;1,000;0,166;0,248;0,134
SP00186;SP;1134,000;804,000;330,000;667,000;1,000;0,150;0,248;0,124
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,248;0,021
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,248;0,021
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,248;0,037
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,248;0,066
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,248;0,020
SP00262;SP;6791,000;4838,000;1953,000;4128,000;1,000;0,024;0,248;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,248;0,026
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,248;0,023
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,248;0,023
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,248;0,030
SP00276;SP;4234,000;3269,000;965,000;2704,000;1,000;0,037;0,248;0,031
SP00281;SP;5656,000;4194,000;1462,000;3612,000;1,000;0,028;0,248;0,024
SP00283;SP;4282,000;3227,000;1055,000;2653,000;2,000;0,075;0,496;0,062
SP00288;SP;2503,000;1898,000;605,000;1542,000;1,000;0,065;0,248;0,053
SP00305;SP;2904,000;1801,000;1103,000;1620,000;1,000;0,062;0,248;0,056
SP00327;SP;1859,000;1362,000;497,000;1164,000;2,000;0,172;0,496;0,147
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,248;0,027
SP00391;SP;3539,000;2437,000;1102,000;2119,000;2,000;0,094;0,496;0,082
SP00392;SP;4859,000;3569,000;1290,000;3137,000;2,000;0,064;0,496;0,056
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,248;0,035
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,248;0,025
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,248;0,020
SP00439;SP;3746,000;2751,000;995,000;2414,000;1,000;0,041;0,248;0,036
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,248;0,031
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,248;0,021
SP00518;SP;4780,000;3303,000;1477,000;2826,000;1,000;0,035;0,248;0,030
SP00528;SP;2366,000;1777,000;589,000;1569,000;1,000;0,064;0,248;0,056
SP00547;SP;3238,000;2322,000;916,000;2051,000;1,000;0,049;0,248;0,043
SP00566;SP;3965,000;2993,000;972,000;2499,000;1,000;0,040;0,248;0,033
SP00593;SP;5605,000;4143,000;1462,000;3635,000;1,000;0,028;0,248;0,024
SP00594;SP;3522,000;2548,000;974,000;2172,000;1,000;0,046;0,248;0,039
SP00595;SP;3557,000;2586,000;971,000;2244,000;1,000;0,045;0,248;0,039
SP00616;SP;3937,000;3054,000;883,000;2687,000;1,000;0,037;0,248;0,033
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,248;0,022
SP00652;SP;4711,000;3356,000;1355,000;2915,000;2,000;0,069;0,496;0,060
SP00659;SP;4066,000;2843,000;1223,000;2587,000;1,000;0,039;0,248;0,035
