CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,104;0,021
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;0,208;0,033
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,104;0,031
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,104;0,094
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,104;0,069
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,104;0,095
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,104;0,032
SP00054;SP;5696,000;3753,000;1943,000;3197,000;1,000;0,031;0,104;0,027
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,104;0,025
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,104;0,024
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,104;0,018
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,104;0,027
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,104;0,034
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,104;0,015
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,104;0,018
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,104;0,028
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,104;0,031
SP00207;SP;4643,000;3544,000;1099,000;3043,000;1,000;0,033;0,104;0,028
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,104;0,034
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,104;0,021
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,104;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;2,000;0,051;0,208;0,043
SP00241;SP;3798,000;2913,000;885,000;2413,000;2,000;0,083;0,208;0,069
SP00245;SP;1860,000;1458,000;402,000;1167,000;1,000;0,086;0,104;0,069
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,104;0,035
