CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,194;0,023
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,194;0,031
SP00063;SP;2961,000;1817,000;1144,000;1572,000;1,000;0,064;0,194;0,055
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,194;0,024
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,194;0,020
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;0,388;0,048
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,194;0,034
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,388;0,029
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,194;0,011
SP00127;SP;7300,000;5121,000;2179,000;4725,000;2,000;0,042;0,388;0,039
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,194;0,019
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,194;0,030
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,194;0,015
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,194;0,020
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,194;0,016
SP00221;SP;3925,000;2950,000;975,000;2531,000;2,000;0,079;0,388;0,068
SP00222;SP;5627,000;4034,000;1593,000;3525,000;8,000;0,227;1,550;0,198
SP00223;SP;2666,000;1909,000;757,000;1662,000;6,000;0,361;1,163;0,314
SP00224;SP;4682,000;3295,000;1387,000;2841,000;7,000;0,246;1,357;0,212
SP00225;SP;4793,000;3416,000;1377,000;2882,000;2,000;0,069;0,388;0,059
SP00226;SP;6504,000;4681,000;1823,000;3905,000;8,000;0,205;1,550;0,171
SP00227;SP;5078,000;3646,000;1432,000;3077,000;9,000;0,292;1,744;0,247
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,194;0,037
SP00229;SP;6362,000;4716,000;1646,000;4007,000;4,000;0,100;0,775;0,085
SP00231;SP;4477,000;3485,000;992,000;2989,000;4,000;0,134;0,775;0,115
SP00232;SP;6760,000;5102,000;1658,000;4371,000;15,000;0,343;2,907;0,294
SP00233;SP;2180,000;1518,000;662,000;1306,000;2,000;0,153;0,388;0,132
SP00235;SP;6359,000;4733,000;1626,000;4005,000;6,000;0,150;1,163;0,127
SP00236;SP;4570,000;3488,000;1082,000;2996,000;5,000;0,167;0,969;0,143
SP00237;SP;4589,000;3414,000;1175,000;2908,000;3,000;0,103;0,581;0,088
SP00238;SP;6012,000;4671,000;1341,000;3951,000;4,000;0,101;0,775;0,086
SP00239;SP;5869,000;4516,000;1353,000;3700,000;6,000;0,162;1,163;0,133
SP00240;SP;3251,000;2449,000;802,000;2056,000;1,000;0,049;0,194;0,041
SP00241;SP;3798,000;2913,000;885,000;2413,000;2,000;0,083;0,388;0,069
SP00242;SP;4031,000;3017,000;1014,000;2461,000;4,000;0,163;0,775;0,133
SP00243;SP;3895,000;2713,000;1182,000;2275,000;2,000;0,088;0,388;0,074
SP00245;SP;1860,000;1458,000;402,000;1167,000;3,000;0,257;0,581;0,206
SP00246;SP;730,000;578,000;152,000;471,000;2,000;0,425;0,388;0,346
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,194;0,042
SP00249;SP;3623,000;2627,000;996,000;2284,000;1,000;0,044;0,194;0,038
SP00250;SP;4023,000;3125,000;898,000;2566,000;2,000;0,078;0,388;0,064
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,194;0,035
SP00252;SP;4288,000;3078,000;1210,000;2638,000;1,000;0,038;0,194;0,032
SP00253;SP;6617,000;5105,000;1512,000;4218,000;2,000;0,047;0,388;0,039
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,194;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,194;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;10,000;0,316;1,938;0,245
SP00258;SP;2237,000;1521,000;716,000;1192,000;1,000;0,084;0,194;0,066
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,194;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;2,000;0,050;0,388;0,042
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,194;0,023
SP00271;SP;6516,000;4689,000;1827,000;3929,000;7,000;0,178;1,357;0,149
SP00274;SP;5083,000;4027,000;1056,000;3417,000;3,000;0,088;0,581;0,074
SP00275;SP;4248,000;3284,000;964,000;2804,000;2,000;0,071;0,388;0,061
SP00277;SP;4274,000;3219,000;1055,000;2691,000;2,000;0,074;0,388;0,062
SP00279;SP;3855,000;2853,000;1002,000;2307,000;2,000;0,087;0,388;0,070
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,194;0,021
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,194;0,020
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,194;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;2,000;0,072;0,388;0,059
SP00289;SP;3751,000;2887,000;864,000;2359,000;3,000;0,127;0,581;0,104
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,194;0,024
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,194;0,036
SP00373;SP;5182,000;3550,000;1632,000;3328,000;1,000;0,030;0,194;0,028
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,194;0,020
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,194;0,050
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,194;0,020
SP00427;SP;4605,000;3414,000;1191,000;3042,000;3,000;0,099;0,581;0,088
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,194;0,027
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,194;0,017
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,194;0,033
SP00446;SP;7010,000;5463,000;1547,000;4823,000;1,000;0,021;0,194;0,018
SP00465;SP;7597,000;5474,000;2123,000;4737,000;3,000;0,063;0,581;0,055
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,194;0,023
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,194;0,023
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,194;0,020
SP00509;SP;4399,000;3005,000;1394,000;2554,000;1,000;0,039;0,194;0,033
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,194;0,030
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,194;0,023
SP00593;SP;5605,000;4143,000;1462,000;3635,000;1,000;0,028;0,194;0,024
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,194;0,013
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,194;0,039
SP00670;SP;5766,000;4219,000;1547,000;3799,000;1,000;0,026;0,194;0,024
SP00687;SP;5282,000;3669,000;1613,000;3211,000;1,000;0,031;0,194;0,027
SP00772;SP;5664,000;4117,000;1547,000;3538,000;2,000;0,057;0,388;0,049
SP00774;SP;7854,000;5792,000;2062,000;5026,000;1,000;0,020;0,194;0,017
SP00784;SP;3105,000;2329,000;776,000;1939,000;1,000;0,052;0,194;0,043
SP00848;SP;5251,000;3634,000;1617,000;3006,000;1,000;0,033;0,194;0,028
